Time,BER,Ch 00 (Mag),Ch 00 (Pha),Ch 01 (Mag),Ch 01 (Pha),Ch 02 (Mag),Ch 02 (Pha),Ch 03 (Mag),Ch 03 (Pha),Ch 04 (Mag),Ch 04 (Pha),Ch 05 (Mag),Ch 05 (Pha),Ch 06 (Mag),Ch 06 (Pha),Ch 07 (Mag),Ch 07 (Pha),Ch 08 (Mag),Ch 08 (Pha),Ch 09 (Mag),Ch 09 (Pha),Ch 10 (Mag),Ch 10 (Pha),Ch 11 (Mag),Ch 11 (Pha),Ch 12 (Mag),Ch 12 (Pha),Ch 13 (Mag),Ch 13 (Pha),Ch 14 (Mag),Ch 14 (Pha),Ch 15 (Mag),Ch 15 (Pha),Ch 16 (Mag),Ch 16 (Pha),Ch 17 (Mag),Ch 17 (Pha),Ch 18 (Mag),Ch 18 (Pha),Ch 19 (Mag),Ch 19 (Pha),Ch 20 (Mag),Ch 20 (Pha),Ch 21 (Mag),Ch 21 (Pha),Ch 22 (Mag),Ch 22 (Pha),Ch 23 (Mag),Ch 23 (Pha),Ch 24 (Mag),Ch 24 (Pha),Ch 25 (Mag),Ch 25 (Pha),Ch 26 (Mag),Ch 26 (Pha),Ch 27 (Mag),Ch 27 (Pha),Ch 28 (Mag),Ch 28 (Pha),Ch 29 (Mag),Ch 29 (Pha),Ch 30 (Mag),Ch 30 (Pha),Ch 31 (Mag),Ch 31 (Pha)
3684275760.709353,0.464844,2002.037938,-0.366944,2152.668079,0.668275,1944.863713,-0.813618,2924.041032,3.120235,2286.220339,2.734768,3027.404722,-3.108601,1609.092689,0.921409,987.845603,-2.616361,718.906019,-2.327235,1326.613749,-0.308374,1614.919765,-2.678904,924.140449,-1.903921,2102.681517,-0.456916,2580.099248,-1.825371,603.129460,2.982279,1274.492182,-0.734828,3683.913686,2.287682,1431.616443,-2.201656,1980.102044,0.194051,1939.010749,1.866702,1654.080665,2.639595,1732.784101,-0.578891,1630.997093,2.571551,1241.604469,-0.186369,841.645642,-1.298295,1683.684998,-0.212621,7882.024124,2.808739,1522.234182,-2.956335,1110.836983,-2.304077,1220.505264,0.004327,1279.205230,2.436697,1360.730347,-0.855863
3684275760.809087,0.058594,476.606683,-1.841814,499.587907,-1.378056,603.224774,-1.896877,485.171161,-1.771122,637.529477,-1.935457,290.675329,-1.501273,390.261763,-1.509355,440.095787,-1.332575,371.566547,-1.346506,332.681158,-0.753779,520.172421,-1.360457,278.518441,-0.882828,322.556061,-1.163705,421.957022,-1.717514,301.951652,-1.085153,328.153459,-0.942296,372.065231,-1.677262,337.917111,-0.918588,495.458615,-1.211274,356.765998,-1.488713,245.295033,-1.101406,499.995685,-1.113386,656.883923,-0.994125,419.713301,-1.466200,479.421592,-0.718960,327.564294,-1.325859,367.511223,-1.037817,243.743143,-1.175524,380.077401,-0.887891,759.650183,-0.538176,403.801523,-0.818251,364.602388,-0.276170
3684275760.910841,0.105469,1507.893796,-0.673553,1383.529585,-1.958569,622.537499,-1.034183,568.956561,-1.149123,1955.372443,-2.253702,648.062169,-1.186372,845.942117,-1.572249,924.052138,-0.281785,417.656747,-0.835979,714.218125,-0.731520,1039.764897,-1.684577,748.509821,-0.824842,598.710184,-0.581526,1492.523111,-0.493079,811.604462,-0.516352,528.784079,-0.660777,4558.097450,0.736674,497.552911,-1.287781,638.477140,-1.015163,1081.251797,0.011784,916.038735,-0.975138,1332.018757,-0.522483,627.943709,-1.015350,1277.616166,-0.742953,700.663735,-0.508962,532.292439,-0.421286,544.182209,-1.056871,617.943832,-0.519117,427.690719,-0.408509,2455.254012,-0.641867,510.874238,-0.336876,707.747412,-0.050647
3684275761.010549,0.207031,691.994562,-0.761825,538.320351,-1.404044,680.234855,-1.372283,458.799759,-1.864223,410.003978,-1.872145,390.914562,-2.048984,563.542837,-2.339392,1128.485270,-1.925514,480.480829,-2.039177,662.460984,-1.547815,759.829227,-0.936971,404.138268,-1.438020,677.510578,-0.762446,554.676263,-2.085899,421.134994,-0.933736,470.861983,-1.104904,571.942315,-1.710211,397.027773,-1.346343,568.598685,-0.977308,572.216332,-1.513099,552.468401,-1.056871,1575.866005,-1.687802,562.369957,-1.128672,1105.452639,-1.917395,1064.197568,-0.615878,794.820156,-1.799271,490.386920,-1.400746,429.136029,-1.350246,336.390022,-1.196359,2921.747121,0.669028,753.076075,-0.511938,784.721589,-0.426048
3684275761.110282,0.222656,901.531533,-3.054020,740.057028,-2.365311,1641.821506,-1.666536,588.121638,-2.620059,741.719877,-2.464909,410.870282,-2.134683,834.374603,-2.298979,1519.777163,-1.991309,430.837977,-2.109047,450.924862,-1.554834,515.605102,-1.151882,654.340002,-1.536204,424.355454,-1.554834,501.695360,-2.400033,434.799307,-1.334472,768.496008,-1.285235,620.878821,-2.693087,360.090095,-1.730664,1088.561180,-1.387464,505.403382,-2.759178,550.917250,-1.430054,1227.555326,-1.627271,1029.613903,-1.200582,1020.083479,-2.843433,928.852486,-1.539249,651.398067,-2.376863,593.494296,-2.073094,467.690715,-1.862982,417.323587,-1.691068,1176.057411,-1.619629,465.906307,-1.075893,510.015882,-1.233651
3684275761.210015,0.140625,397.802105,-1.887966,624.204622,-2.030088,707.544781,-1.445452,489.317847,-2.467406,362.650119,-2.768673,285.533530,-2.197068,326.283535,-2.383070,539.957251,-1.875262,250.737848,-2.713872,296.826711,-1.703408,1021.334909,-1.484724,298.098322,-1.618506,333.956041,-1.646917,292.714034,-2.469247,364.486333,-1.584513,456.594736,-1.608638,463.382954,-3.005096,275.591827,-1.703454,688.851559,-2.095665,422.403912,-2.274331,288.689888,-1.804892,778.716520,-1.717199,693.705864,-1.073619,351.277831,-2.316386,585.980000,-1.641928,391.887233,-2.151741,392.588338,-2.068225,293.312163,-1.696055,393.471155,-1.566326,577.270077,-1.540272,323.853232,-1.019245,342.679591,-1.249310
3684275761.310751,0.316406,1284.535379,1.053344,743.000480,2.173314,3467.884821,2.294850,1673.370756,3.060162,870.506124,1.921850,806.462546,1.532051,3384.577748,-1.933038,1020.584773,-2.483978,592.242806,-3.071018,1137.406843,-2.535336,886.323899,-2.828458,662.293122,-2.146103,836.633127,-1.050744,2074.980999,-2.591053,666.941273,-1.324015,671.411068,-1.212199,5073.513985,-0.612654,582.233810,-0.693157,1528.654115,0.417823,722.990897,-0.137287,607.018890,-0.042422,3200.388597,-2.469687,14601.899184,0.922290,1956.755235,-1.028648,1011.436126,1.317757,1697.766226,1.596788,718.303536,-0.155249,1065.633895,2.471327,1200.710700,2.043688,1233.279230,2.676219,645.802595,2.827729,1338.977586,2.423770
3684275761.410481,0.566406,1022.459449,-2.503493,1678.616636,-0.384111,1661.036527,-1.916000,1230.744819,-1.214320,585.065959,-0.919568,704.366157,-0.245086,2094.607122,-0.221077,1534.565604,2.163931,587.062204,0.831031,699.993636,2.156407,1674.684442,1.544453,957.934333,2.301768,1462.833158,2.316080,1512.537004,1.304911,826.923044,-2.321679,943.661071,0.031790,2500.091886,-0.361459,789.036542,1.338396,2699.778283,0.192412,1284.065890,0.014153,754.904695,0.746211,2678.807918,2.899183,4835.135481,-2.688148,885.414671,0.481028,1178.538943,-3.121844,3035.903521,2.177231,5252.194159,-2.022919,2358.273961,-2.952945,2660.558026,2.680543,863.603749,-0.166861,805.914997,-0.441023,1435.849421,0.794528
3684275761.510214,0.476562,4359.176910,-1.514572,2216.379332,-1.472457,1476.853906,-0.192910,1782.131661,-2.767821,2321.808218,-0.686238,850.753973,-2.631349,3012.524681,-0.945619,1676.598007,-1.399805,1142.167791,-2.575256,883.865086,-2.695751,1486.118912,-0.577084,749.840413,-2.324417,950.555568,-2.069070,1210.012999,2.007571,1468.959642,-1.622721,1668.734746,1.422703,1340.398412,0.414633,609.243437,0.965167,1975.552549,2.673056,1483.903883,0.877460,1140.236054,0.480490,1659.091117,-1.353131,1424.503470,1.482836,1957.443444,0.864383,1350.902496,-1.025334,19901.414829,2.319119,938.130916,1.908876,617.349193,0.549540,1431.803940,0.213862,2763.818531,1.075406,2626.466254,0.174636,970.313990,0.770830
3684275761.610945,0.144531,403.468895,-1.773606,564.247340,-2.192566,657.097244,-2.498325,499.949373,-2.737304,405.694225,-2.683638,298.299006,-2.543328,423.112711,-2.904761,473.628518,-1.989225,324.557349,-2.168256,309.516409,-1.814737,426.133008,-1.512803,340.606696,-1.735211,302.118537,-1.829512,526.202703,3.029833,350.287151,-1.687101,340.660209,-1.757360,462.640386,-2.871166,439.055481,-1.482535,2357.893486,-0.954079,687.309750,-2.286115,287.395681,-2.068153,822.945942,-1.467752,540.705756,-1.698942,457.015121,-2.312764,1468.297642,-0.612002,594.835710,-2.319436,607.066345,-2.214342,304.231068,-1.848617,211.675568,-1.748614,589.276426,-1.790573,386.806884,-1.258509,380.236064,-1.085682
3684275761.711674,0.097656,942.884806,-0.754425,3631.028684,-0.671584,874.645752,-0.250320,1164.078666,-1.017935,511.547933,-0.323871,555.792771,-0.393662,818.475683,-0.232844,581.262841,-0.329899,377.311402,0.277087,626.678818,0.625527,465.118009,0.047321,485.599072,-0.095746,635.000821,0.275497,441.622459,0.266490,510.194646,0.498836,550.338702,0.618038,1084.449904,-0.552900,460.260274,-0.028031,719.641250,0.586736,879.595140,-0.672466,486.631918,0.564045,473.638452,0.187589,741.350737,-0.097769,515.533793,0.661579,784.964460,-0.409173,694.247907,-0.379824,787.957704,0.180650,688.707733,0.053558,834.286792,0.668889,586.542682,-0.213627,634.786929,-0.273379,698.722568,0.443589
3684275761.811409,0.179687,2422.897577,2.099594,957.212226,1.672536,924.103597,1.250356,441.141610,0.977978,847.297853,1.764015,416.723337,2.268185,584.619069,1.715305,1538.412342,1.092799,349.444099,2.466642,742.459268,2.892752,1215.337041,1.450144,1374.363296,2.200159,1052.564115,-2.930485,629.561689,1.739300,834.767826,-2.787593,1194.658084,2.931238,332.039289,2.025759,512.312663,2.668919,922.780803,1.180180,464.132644,1.852538,325.247716,2.541336,1447.479198,0.891748,791.676119,1.949085,427.105389,1.698906,1077.203584,1.702301,805.565069,2.540965,498.632185,2.055116,281.974774,2.582622,467.725452,2.555737,1892.630690,1.459559,1198.069772,2.789401,1218.792757,3.043150
3684275761.911142,0.015625,356.896728,-1.540869,406.986570,-1.305532,430.525086,-1.364552,239.926783,-1.571937,286.708817,-1.677215,169.385836,-1.457359,275.523065,-1.690332,325.497767,-1.215989,152.283452,-1.339787,177.619175,-1.128815,431.779774,-1.102960,209.755315,-1.139258,225.160096,-1.058563,211.582118,-1.508230,190.682386,-0.676668,202.550282,-0.813495,248.362062,-1.586047,193.083344,-0.720839,327.582697,-1.060311,214.515610,-1.451378,156.841732,-0.968344,296.652448,-1.168190,275.945135,-1.087727,215.469620,-1.209313,305.155298,-0.975452,190.785860,-1.296547,212.907480,-1.284819,149.548497,-0.981155,196.214723,-0.821323,447.367808,-0.871858,238.167770,-0.389850,203.323669,-0.581836
3684275762.011872,0.070312,743.965981,-2.150257,430.327707,-2.212588,569.805697,-2.081982,326.685304,-2.970125,402.524403,-2.774260,321.053847,-2.647879,315.294181,-2.652410,337.396785,-2.272433,300.072783,-2.402988,307.819391,-2.077287,422.297863,-2.124075,391.513211,-1.861919,338.900365,-1.809704,425.558405,-2.508523,287.083682,-1.878469,282.083560,-1.666643,336.026781,-2.438248,306.829960,-1.860300,620.483463,-2.092439,344.867873,-2.462096,249.721365,-1.963406,904.355714,-1.809708,552.424855,-1.392182,428.922911,-2.026217,331.536903,-1.808845,405.624244,-2.577860,296.424297,-2.325526,358.008006,-1.954294,317.344777,-1.894853,412.337273,-1.862614,604.930074,-1.621929,398.197042,-1.552928
