Time,BER,Ch 00 (Mag),Ch 00 (Pha),Ch 01 (Mag),Ch 01 (Pha),Ch 02 (Mag),Ch 02 (Pha),Ch 03 (Mag),Ch 03 (Pha),Ch 04 (Mag),Ch 04 (Pha),Ch 05 (Mag),Ch 05 (Pha),Ch 06 (Mag),Ch 06 (Pha),Ch 07 (Mag),Ch 07 (Pha),Ch 08 (Mag),Ch 08 (Pha),Ch 09 (Mag),Ch 09 (Pha),Ch 10 (Mag),Ch 10 (Pha),Ch 11 (Mag),Ch 11 (Pha),Ch 12 (Mag),Ch 12 (Pha),Ch 13 (Mag),Ch 13 (Pha),Ch 14 (Mag),Ch 14 (Pha),Ch 15 (Mag),Ch 15 (Pha),Ch 16 (Mag),Ch 16 (Pha),Ch 17 (Mag),Ch 17 (Pha),Ch 18 (Mag),Ch 18 (Pha),Ch 19 (Mag),Ch 19 (Pha),Ch 20 (Mag),Ch 20 (Pha),Ch 21 (Mag),Ch 21 (Pha),Ch 22 (Mag),Ch 22 (Pha),Ch 23 (Mag),Ch 23 (Pha),Ch 24 (Mag),Ch 24 (Pha),Ch 25 (Mag),Ch 25 (Pha),Ch 26 (Mag),Ch 26 (Pha),Ch 27 (Mag),Ch 27 (Pha),Ch 28 (Mag),Ch 28 (Pha),Ch 29 (Mag),Ch 29 (Pha),Ch 30 (Mag),Ch 30 (Pha),Ch 31 (Mag),Ch 31 (Pha)
3684274228.544374,0.187500,1019.974411,2.511868,1838.158103,-0.845526,1522.337389,2.448284,1097.903018,2.630595,725.339820,2.052944,680.112453,3.047876,1410.309885,2.405439,2621.640258,2.761892,552.346605,2.985322,464.461988,-2.860757,1194.913136,2.023022,774.749525,-2.432417,947.698817,-2.475023,552.219036,2.462882,507.843953,-2.731299,540.517423,-3.124812,434.539732,3.053845,773.280438,-2.214416,15184.650750,1.152805,639.659253,-2.723958,617.887448,-2.798616,882.212821,-2.711624,775.429671,2.846834,703.061436,2.688739,1704.275404,2.072618,739.459516,-3.000259,454.819209,2.698017,519.369862,-3.121765,1007.066031,-2.890580,903.588974,-2.658587,1240.736396,-2.312751,655.409297,-2.471403
3684274228.644107,0.183594,654.125004,2.195356,4760.530232,0.505323,955.074530,2.935360,546.302335,2.332265,782.503216,1.742354,395.393466,2.896805,886.483289,2.479087,2282.924042,-3.035874,486.246241,2.802325,652.027483,-2.778467,1724.596927,-1.445120,704.194396,-2.916191,371.396500,3.001963,477.787114,2.271061,519.581215,3.111679,3380.473747,-2.601473,1173.784644,2.055355,547.023192,-2.767445,656.431979,2.581503,668.288722,2.655591,388.242190,2.550433,1149.642633,-2.767458,2635.512594,2.032880,489.641684,3.082521,778.941814,-2.628520,648.119067,2.622124,380.630026,2.561022,717.943752,-3.008904,424.272785,-2.817464,932.773126,1.943082,598.502500,-2.620117,809.354049,-2.720441
3684274228.744838,0.140625,967.853504,-3.026942,1121.129238,-2.707494,877.942997,2.723011,625.474780,2.474463,890.716064,2.049722,512.292339,2.700062,578.180468,2.675495,853.646110,-2.619717,404.214466,2.687596,571.544213,2.781077,1053.489381,1.764147,449.667936,-2.493589,807.700065,-3.069765,456.327064,2.927511,507.320746,-3.054928,447.239871,-2.629391,595.870652,2.627314,531.985928,-2.353344,1507.072599,3.130315,802.566190,1.788324,518.037738,3.136431,818.766564,3.049678,915.136178,2.796016,498.944454,2.404787,1288.456470,-1.911811,725.309447,2.498610,415.246570,2.438995,423.511667,-3.078206,452.535011,-2.647071,1747.866039,-3.014351,785.295867,-2.834416,838.546490,3.117698
3684274228.844571,0.109375,1028.740278,2.989546,1047.663155,-3.104460,738.949269,3.087581,452.336938,2.538529,373.409092,2.173277,307.652736,2.792069,406.765070,2.196915,565.511430,2.936354,419.528446,2.879064,436.846904,3.024694,434.927278,2.661654,338.815869,2.967902,536.583818,3.124543,474.094383,2.459424,549.018053,-3.137918,466.347765,-2.836682,498.500865,2.395531,600.666691,-2.862336,1164.045071,-2.846197,416.159058,2.735995,420.819810,-2.955844,1103.800102,-3.051779,1101.629662,-2.794032,466.207336,2.862386,1777.797356,-2.740913,521.054269,2.906176,527.553968,2.710474,373.174837,-2.818984,339.105126,-2.969294,737.283430,-2.737469,657.646164,-1.981152,402.568188,-2.872049
3684274228.944306,0.109375,746.544341,2.726617,537.246189,2.700293,786.723568,2.763620,445.410685,2.764259,451.691526,2.342078,315.938876,2.647454,475.645895,2.517653,736.371308,2.384783,511.285791,2.600496,402.858465,3.056719,524.234960,2.694297,417.046520,-2.906402,336.494728,3.076666,388.376819,2.260387,449.655152,-2.842045,378.794021,-2.667955,417.394990,2.560986,519.742394,-2.906553,693.530655,2.965955,529.815345,2.520910,361.641473,3.073359,807.008115,-2.862213,1021.026250,2.971646,408.279788,3.051976,617.967328,3.128999,607.278218,2.511155,426.128660,3.042008,422.857672,-3.126703,396.925398,-3.093974,1465.323453,2.513061,605.269539,-2.729677,554.812178,-2.757091
3684274229.044040,0.128906,639.335376,2.345292,1179.450969,2.210708,1234.449851,1.745420,570.201915,2.586165,630.279428,2.390318,454.570185,2.783777,474.538992,2.335050,1292.800309,2.221152,413.066777,2.783359,586.530029,-2.902242,1289.886022,-3.112080,512.006624,-2.777100,487.162767,-2.794424,577.416517,2.217310,338.225700,-3.058319,488.819031,3.132375,538.033211,2.265266,374.743764,-2.793358,673.884817,-2.781281,373.936127,2.648244,406.470963,2.924654,687.641023,2.687042,2462.466114,-2.583766,476.330753,2.601175,458.152119,2.952701,498.781672,2.339434,342.047655,2.563042,347.592892,-3.012075,612.756108,-3.064295,2660.058220,2.252462,607.821192,-2.378688,579.793785,3.058528
3684274229.144145,0.089844,900.538938,2.071925,1318.733706,2.448360,494.908729,2.484734,540.537430,2.374698,632.507503,1.670945,327.113549,2.669320,769.584363,2.215636,729.408106,-3.045400,353.387225,2.707050,471.049983,2.964528,591.503615,2.928851,382.706947,-3.008284,478.589506,2.949037,553.170473,2.438266,542.543947,3.037674,556.629298,-2.927517,450.328954,2.743033,407.386017,-2.950667,1216.608669,2.531676,671.908281,2.732356,422.328251,2.983855,870.572035,3.043776,1038.338501,2.622123,377.931716,2.715111,684.355352,-2.900514,879.649546,2.820344,910.385382,3.015326,337.848159,-3.018276,417.233637,3.040319,760.298096,2.977130,453.692600,-2.889991,997.989176,-2.617840
3684274229.244877,0.320312,1281.630534,2.675592,720.209273,2.617739,671.584788,3.068405,415.138564,2.422207,741.768754,2.101585,357.116001,2.834427,510.120783,2.563282,1797.674567,2.654039,583.649356,3.132969,448.516247,3.092159,540.851685,2.457565,495.231474,3.072102,422.577775,-3.029518,488.319154,-3.071955,487.653255,-2.767561,834.100960,-2.913419,529.550368,2.663732,417.702238,-2.770475,862.073012,-2.721009,447.026890,2.193278,495.933728,2.918266,966.749584,-2.321176,718.749539,-2.329699,546.425221,2.501298,1075.357407,2.542980,586.205604,2.659583,452.616347,3.093993,498.085819,-2.752504,510.280910,-2.728320,496.888981,-2.894814,748.087857,3.071470,713.667130,-2.555320
3684274229.344609,0.140625,1022.729143,2.663997,695.225851,3.079336,1509.342710,2.958155,788.290157,2.124123,528.873844,2.574554,401.921110,2.898556,602.637773,2.644938,641.252295,-2.757971,384.121532,2.581368,403.847737,2.840820,731.466711,2.977088,476.679712,-2.845470,380.796532,-3.078367,648.229831,2.109780,415.642928,-2.583575,448.503986,-2.915427,527.616478,2.707203,433.115198,-2.613015,824.958338,3.138842,704.368829,2.345167,325.311637,-2.910448,581.484343,-3.104456,960.766966,-2.922555,444.309426,3.125533,730.845607,2.659731,723.862093,2.516227,509.822188,2.868684,275.060081,-2.998262,378.249020,-3.105965,887.109931,-2.929179,563.117081,-2.622833,875.714893,-2.287850
3684274229.444343,0.117187,908.176396,2.673737,637.545511,3.069925,651.204735,2.616918,752.572316,2.736156,657.784801,2.648642,447.117473,2.564231,482.354329,2.534847,730.210568,2.868010,526.153981,2.973382,405.049630,3.113029,760.883285,-2.831482,442.103939,-3.024164,569.632431,-2.849183,809.857413,2.413627,529.283978,2.954368,602.426798,-2.332248,552.369402,2.784534,455.633591,-2.929327,736.799557,-3.135074,414.026543,2.663716,465.209067,2.671715,498.340263,2.863633,1229.080351,3.114161,440.720533,3.075859,1116.337201,2.864267,679.846603,2.785520,426.073939,-3.086249,460.865042,3.100361,404.372906,-2.977181,806.724980,-2.816761,504.572904,-3.013962,655.764359,-2.465526
