Time,BER,Ch 00 (Mag),Ch 00 (Pha),Ch 01 (Mag),Ch 01 (Pha),Ch 02 (Mag),Ch 02 (Pha),Ch 03 (Mag),Ch 03 (Pha),Ch 04 (Mag),Ch 04 (Pha),Ch 05 (Mag),Ch 05 (Pha),Ch 06 (Mag),Ch 06 (Pha),Ch 07 (Mag),Ch 07 (Pha),Ch 08 (Mag),Ch 08 (Pha),Ch 09 (Mag),Ch 09 (Pha),Ch 10 (Mag),Ch 10 (Pha),Ch 11 (Mag),Ch 11 (Pha),Ch 12 (Mag),Ch 12 (Pha),Ch 13 (Mag),Ch 13 (Pha),Ch 14 (Mag),Ch 14 (Pha),Ch 15 (Mag),Ch 15 (Pha),Ch 16 (Mag),Ch 16 (Pha),Ch 17 (Mag),Ch 17 (Pha),Ch 18 (Mag),Ch 18 (Pha),Ch 19 (Mag),Ch 19 (Pha),Ch 20 (Mag),Ch 20 (Pha),Ch 21 (Mag),Ch 21 (Pha),Ch 22 (Mag),Ch 22 (Pha),Ch 23 (Mag),Ch 23 (Pha),Ch 24 (Mag),Ch 24 (Pha),Ch 25 (Mag),Ch 25 (Pha),Ch 26 (Mag),Ch 26 (Pha),Ch 27 (Mag),Ch 27 (Pha),Ch 28 (Mag),Ch 28 (Pha),Ch 29 (Mag),Ch 29 (Pha),Ch 30 (Mag),Ch 30 (Pha),Ch 31 (Mag),Ch 31 (Pha)
3684274413.943475,0.000000,123.802886,-2.328908,124.635245,-2.109243,129.897968,-2.041424,86.015830,-2.256244,87.754896,-2.292981,70.773031,-1.938290,84.683819,-2.262034,131.436532,-2.200453,70.833673,-1.871350,86.807521,-1.608842,122.739891,-2.103645,97.136552,-1.534881,99.608547,-1.468877,80.304553,-2.199026,92.354678,-1.509917,98.365229,-1.537122,80.282783,-2.070216,92.874185,-1.498982,125.452810,-1.985247,81.688806,-1.936179,71.391813,-1.639853,122.839081,-1.959291,109.295800,-1.836938,83.769875,-1.857319,122.153561,-1.860408,75.575316,-1.853254,77.972705,-1.815109,70.040843,-1.535044,72.836670,-1.505454,123.437606,-1.750779,102.119002,-1.164840,100.832509,-1.266150
3684274414.043214,0.003906,115.684249,-2.083569,134.156613,-2.189764,132.265853,-2.113494,87.452017,-2.266616,85.583355,-2.273259,73.379497,-1.940062,86.465773,-2.307217,119.769665,-2.199768,70.196723,-1.924572,95.182370,-1.596289,126.969538,-1.977642,97.310473,-1.468885,88.252857,-1.476537,79.446643,-2.175496,90.808844,-1.455176,95.799277,-1.583782,76.870705,-2.044205,96.959648,-1.434291,124.104911,-1.996788,77.991190,-1.984686,69.873156,-1.617658,122.517569,-1.802749,118.828219,-1.766343,74.602224,-1.907473,115.797390,-1.785099,80.301829,-1.791712,80.455328,-1.860354,71.064182,-1.487404,74.026315,-1.436888,131.834947,-1.826073,112.314145,-1.265121,115.619155,-1.255267
3684274414.143798,0.003906,123.680090,-2.217277,127.932257,-2.221293,127.390240,-1.961782,90.109891,-2.227822,88.831217,-2.291688,73.445819,-1.902108,85.734465,-2.233639,128.640191,-2.049735,71.626825,-1.910848,90.944021,-1.619012,142.826684,-1.999661,92.958724,-1.443383,95.582810,-1.481832,78.799458,-2.083367,92.029713,-1.427611,92.226338,-1.458317,77.162177,-2.020020,98.831818,-1.404008,134.511903,-1.909565,78.410808,-1.941592,69.296653,-1.585858,123.799213,-1.822579,109.585411,-1.710493,80.107143,-1.780821,128.226044,-1.852911,78.671415,-1.858429,79.602252,-1.834255,77.461728,-1.416445,73.493701,-1.379842,120.287139,-1.691247,104.751462,-1.211278,108.319869,-1.235400
3684274414.243531,0.000000,137.081353,-2.292370,124.018209,-2.139589,125.816263,-2.182666,97.871659,-2.304715,85.787395,-2.170549,68.755732,-1.893572,82.052166,-2.208128,121.281227,-2.137029,71.502049,-1.918061,94.313502,-1.656641,146.588669,-2.039913,95.698062,-1.536977,91.340640,-1.508694,82.825688,-2.152301,94.068109,-1.433485,92.812390,-1.444229,78.284917,-2.007057,95.889094,-1.362364,125.448934,-1.872064,83.150973,-1.963575,71.550132,-1.639286,138.251623,-1.864237,112.939445,-1.775332,81.528922,-1.880048,124.536119,-1.848304,79.747768,-1.857605,77.354017,-1.775522,73.916997,-1.423865,73.604118,-1.396792,138.441908,-1.731394,109.067771,-1.180150,109.394523,-1.173421
3684274414.343288,0.000000,124.903402,-2.207743,123.211783,-2.098042,126.215009,-2.029703,97.225606,-2.231524,90.059721,-2.320661,71.513429,-1.960092,82.635652,-2.233920,131.588873,-2.109320,71.997078,-1.891565,101.542264,-1.637040,145.404696,-2.009547,93.331003,-1.599931,96.098989,-1.489334,82.146018,-2.148547,94.062020,-1.501453,100.378591,-1.432259,81.028407,-2.000844,99.484794,-1.420736,116.391121,-1.903007,89.439494,-1.956687,77.799058,-1.563384,126.935606,-1.860144,117.098484,-1.806722,79.059448,-1.853611,114.501969,-1.759296,83.151130,-1.783308,82.143011,-1.753014,72.149802,-1.469463,70.636524,-1.406220,131.366966,-1.701178,123.720186,-1.257777,111.426952,-1.172877
3684274414.443027,0.000000,127.071001,-2.108781,117.102840,-2.127340,129.468939,-2.129441,88.314576,-2.230926,83.760402,-2.141024,72.819632,-1.924776,85.247010,-2.178348,127.481918,-2.044758,71.498126,-1.825051,94.833218,-1.560700,134.971422,-2.059767,95.480542,-1.634964,94.960513,-1.493594,78.966352,-2.103924,98.622313,-1.492797,91.792662,-1.473901,82.938644,-2.029884,98.022342,-1.355158,113.735318,-1.913454,76.451970,-1.897729,72.193852,-1.581301,125.096163,-1.798276,119.451460,-1.840965,79.678174,-1.767119,115.830782,-1.708152,87.075042,-1.768020,81.646157,-1.761196,75.300141,-1.451620,72.406489,-1.462590,127.162516,-1.702981,96.934453,-1.159594,113.622168,-1.148331
3684274414.543786,0.000000,121.049127,-2.281470,114.347827,-2.159062,120.116391,-2.061890,84.647608,-2.317492,90.523192,-2.307588,71.909820,-2.019842,78.085702,-2.318733,131.485625,-2.117257,70.242950,-1.909048,90.376583,-1.661751,136.678579,-2.032395,95.810173,-1.603157,98.462977,-1.502212,77.854791,-2.178212,94.740234,-1.557283,86.017191,-1.476409,81.430663,-2.038879,97.239541,-1.515613,127.100499,-1.933878,77.084026,-1.951983,77.082992,-1.626633,113.584946,-1.928266,127.762734,-1.848602,76.420092,-1.872168,118.072836,-1.872105,76.011847,-1.838193,77.888108,-1.754869,76.759232,-1.431759,73.570732,-1.409073,133.545734,-1.783610,99.140152,-1.071172,97.362281,-1.168378
3684274414.643689,0.000000,121.971358,-2.103335,125.926444,-2.026374,105.337306,-1.983864,93.330480,-2.220194,85.050474,-2.246430,75.260321,-1.998678,88.503230,-2.219749,131.553331,-2.014724,71.196643,-1.861944,94.183065,-1.604630,122.774984,-2.002393,87.373035,-1.536526,96.834720,-1.526220,81.093200,-2.115279,87.447421,-1.505804,95.067619,-1.530268,81.306988,-2.073251,88.988783,-1.420973,113.747595,-1.883650,82.225918,-1.870322,75.441376,-1.539496,126.918776,-1.767769,116.523793,-1.834904,80.608509,-1.879718,131.066292,-1.787922,83.084199,-1.890221,77.752062,-1.759392,76.677388,-1.408412,70.239393,-1.483424,123.068373,-1.605076,110.144133,-1.208923,96.876052,-1.160436
3684274414.743839,0.000000,141.075291,-2.128445,133.875887,-2.109076,137.050680,-2.152615,88.573591,-2.278168,85.216814,-2.246271,70.703042,-1.964700,83.712573,-2.332407,129.331020,-2.081239,67.386026,-1.882370,93.891575,-1.530591,119.964214,-2.042158,100.254122,-1.573952,99.043057,-1.488977,78.699551,-2.119055,96.072827,-1.457059,89.325019,-1.435947,80.793998,-2.022236,92.533544,-1.533612,121.088849,-1.900026,80.254551,-1.874170,68.646371,-1.597789,123.994922,-1.800046,120.582858,-1.855138,73.713075,-1.792916,118.255500,-1.813834,77.495092,-1.804954,77.952789,-1.852229,71.317123,-1.441914,73.772386,-1.480625,120.934193,-1.749570,106.733646,-1.179750,107.827623,-1.124994
3684274414.843849,0.000000,132.252084,-2.195049,116.953062,-2.145128,121.724380,-2.061784,84.456069,-2.307438,90.745941,-2.251305,73.021170,-1.924746,87.625858,-2.349114,119.538591,-2.055636,68.853112,-1.822135,91.918005,-1.630771,137.713102,-2.065449,97.120553,-1.483081,96.270242,-1.536732,79.719951,-2.130822,94.334695,-1.407884,97.759458,-1.451336,77.733089,-2.091977,96.058497,-1.378314,141.158895,-2.028898,81.956823,-1.965873,74.795746,-1.646605,112.559197,-1.801996,118.352134,-1.775113,80.728371,-1.833112,124.842813,-1.815360,79.465041,-1.845483,75.948589,-1.861554,73.101073,-1.405162,71.227886,-1.489325,127.013179,-1.796508,109.929316,-1.202910,110.333013,-1.070314
