Time,BER,Ch 00 (Mag),Ch 00 (Pha),Ch 01 (Mag),Ch 01 (Pha),Ch 02 (Mag),Ch 02 (Pha),Ch 03 (Mag),Ch 03 (Pha),Ch 04 (Mag),Ch 04 (Pha),Ch 05 (Mag),Ch 05 (Pha),Ch 06 (Mag),Ch 06 (Pha),Ch 07 (Mag),Ch 07 (Pha),Ch 08 (Mag),Ch 08 (Pha),Ch 09 (Mag),Ch 09 (Pha),Ch 10 (Mag),Ch 10 (Pha),Ch 11 (Mag),Ch 11 (Pha),Ch 12 (Mag),Ch 12 (Pha),Ch 13 (Mag),Ch 13 (Pha),Ch 14 (Mag),Ch 14 (Pha),Ch 15 (Mag),Ch 15 (Pha),Ch 16 (Mag),Ch 16 (Pha),Ch 17 (Mag),Ch 17 (Pha),Ch 18 (Mag),Ch 18 (Pha),Ch 19 (Mag),Ch 19 (Pha),Ch 20 (Mag),Ch 20 (Pha),Ch 21 (Mag),Ch 21 (Pha),Ch 22 (Mag),Ch 22 (Pha),Ch 23 (Mag),Ch 23 (Pha),Ch 24 (Mag),Ch 24 (Pha),Ch 25 (Mag),Ch 25 (Pha),Ch 26 (Mag),Ch 26 (Pha),Ch 27 (Mag),Ch 27 (Pha),Ch 28 (Mag),Ch 28 (Pha),Ch 29 (Mag),Ch 29 (Pha),Ch 30 (Mag),Ch 30 (Pha),Ch 31 (Mag),Ch 31 (Pha)
3684275490.504106,0.152344,1091.564935,-2.592759,567.600276,-2.816585,1694.114644,-3.021087,510.533210,-2.921416,457.159794,2.783099,450.283109,2.949202,584.428861,2.830888,1041.764033,-3.012801,344.176904,3.118934,626.815874,-2.433705,854.637273,-3.002956,497.583867,-2.380520,365.717186,-2.447170,350.257561,2.801277,513.116379,-2.885484,536.151348,-2.433154,526.425008,2.943234,471.857372,-2.341628,911.846847,-2.684566,390.322994,-3.002617,467.280323,-2.752083,1411.344882,-2.802734,492.457898,-2.528391,584.516403,-3.136378,813.361667,3.078167,514.749786,-2.822565,575.784195,-3.059943,388.656959,-2.872171,378.312291,-1.994236,741.843474,-2.584344,773.187449,-2.542136,728.641765,-2.497705
3684275490.604837,0.121094,1264.321112,-1.984642,1501.508423,-2.854262,657.238524,3.097644,816.152332,2.986638,714.710443,-3.123842,616.880821,-3.063623,533.970361,3.100465,832.190971,-2.911065,344.973690,-3.056594,556.102879,-2.957869,803.358629,-2.729913,504.969689,-2.473221,741.659301,-2.129227,748.879132,3.034515,536.998492,-2.058327,599.298059,-1.977457,533.620491,2.899729,914.276167,-2.646077,1255.538650,2.284305,409.559722,-2.984383,424.522752,-2.537458,954.699310,-3.120763,498.370631,-3.020891,690.014234,-2.633804,1231.719584,-1.827599,471.717140,-2.912601,747.690760,2.992569,819.252954,-2.788835,439.823552,-2.204036,1115.787892,-1.919337,522.131396,-2.428706,565.857393,-1.412096
3684275490.704578,0.222656,394.417007,2.839906,1335.971738,-2.797693,1011.710945,3.032749,341.187050,2.987923,488.023860,-2.891117,360.359477,-2.854531,553.231261,2.974816,687.186292,-2.795964,399.788498,-2.903008,644.125873,-1.926923,2711.348195,1.872994,521.500243,-1.880820,686.326481,-2.096567,641.980702,2.873824,992.072746,-1.926966,427.391258,-2.271126,507.515760,-2.735634,621.145359,-1.875325,629.652702,3.128480,645.265100,-3.131292,469.106949,-2.718848,1503.700982,-2.177592,486.481223,-2.339060,451.394041,-2.532136,571.547980,-2.310683,393.412539,-2.936983,424.564139,-2.973775,526.876593,-2.177469,593.311681,-2.328567,1346.221539,-1.860925,837.572513,-1.603599,465.438315,-1.472830
3684275490.804315,0.113281,755.038950,-3.004558,779.619787,-2.800711,1670.687058,-2.399032,392.703197,-3.037519,629.685283,-2.352763,301.921473,-2.900742,563.141839,-3.140740,517.504323,-2.118623,511.368611,-2.492852,381.880368,-2.308205,856.560074,-2.715603,623.280405,-1.930466,554.428927,-1.835662,750.670785,-2.970951,452.345957,-2.092630,481.633342,-2.036555,418.495897,-2.818361,435.004244,-2.350812,941.462633,-2.391507,569.392938,-2.584691,355.128697,-2.440576,699.279777,-2.862752,733.256612,-2.870471,685.893713,3.137048,929.310265,-2.117111,474.155811,-1.879362,636.827561,-3.033394,387.524766,-2.079972,409.521117,-2.359412,479.411202,-2.045263,491.809807,-1.571912,522.003396,-1.570334
3684275490.904057,0.164062,608.410028,-2.706800,957.661923,-3.067951,875.060386,-2.838157,457.803684,2.529120,455.137481,2.599891,605.059929,-2.771012,348.264611,3.018703,580.413783,2.832495,303.431488,-2.905544,398.480369,-2.949490,1707.271235,2.126623,523.364499,-2.327326,543.409523,-2.595438,545.312345,-2.937438,699.631849,-2.866774,571.872919,-2.472092,563.684329,3.041431,375.722313,-2.060142,1257.921016,-2.688947,748.130403,-2.607436,320.798197,-2.591795,606.014876,-2.382208,1443.411767,-2.271266,358.628396,-3.140824,773.951088,-2.857818,616.874717,-2.933710,341.726338,3.131953,586.184392,-2.296975,508.687305,-2.244377,602.034527,-2.463444,560.409605,-2.270408,592.022939,-2.071948
3684275491.004655,0.160156,621.480585,-2.735258,1533.867847,3.123119,1104.996848,2.432498,410.409379,3.015840,694.366558,3.004987,413.674990,-2.558929,537.719237,2.830291,1576.142000,2.947229,417.379744,-3.000906,650.572811,-2.374681,776.281981,-2.750620,562.964819,-2.482795,300.817619,-2.120403,617.371032,2.343438,433.774466,-2.183689,440.336721,-2.846940,409.541615,3.039038,486.526244,-2.489306,1014.713359,-2.832409,556.396713,-3.076309,385.493631,-2.602439,950.913194,3.110504,1006.238739,-2.867285,422.207970,-3.018331,743.933955,-3.010663,382.203980,-2.948204,422.947408,-2.762888,329.467260,-2.357906,360.047694,-2.088824,2127.752822,-1.823535,665.690759,-1.910468,851.178384,-2.276098
3684275491.104405,0.078125,923.564224,2.639236,446.180244,3.126236,620.397930,-3.024977,418.344005,3.135500,538.176398,-3.137748,454.544936,-2.893736,636.174233,2.987586,722.892117,2.855445,374.016074,-2.739560,652.858711,-2.473849,2112.618941,-2.155939,686.408388,-2.413950,552.435373,-1.878381,576.481641,3.064587,702.232527,-2.497535,977.370205,-1.911414,517.126123,-2.837049,656.251008,-2.328129,1518.669006,-2.973363,396.016846,-3.052917,317.479834,-2.399033,868.851372,-2.918184,598.251792,-2.503401,706.805108,-2.765844,1182.339460,-2.461370,538.616380,-2.476775,633.686664,-2.778023,541.134244,-2.431311,449.314275,-2.269212,2301.285100,-1.839201,586.298796,-1.661328,696.328830,-2.263903
3684275491.204123,0.136719,763.169860,2.873900,469.752105,2.969336,1684.048667,-2.409959,680.959046,-2.984560,580.438145,2.660859,442.995026,-2.958559,528.946223,-2.804974,1211.229252,-2.428320,358.146525,-3.054733,486.240487,-1.795689,851.908307,-2.749736,392.919805,-2.207262,426.915078,-2.132782,375.951794,3.076010,517.176085,-2.236268,379.809922,-2.425471,496.911380,-2.692523,370.571825,-2.192326,726.313940,-1.956121,423.830484,-2.845692,384.667766,-2.489909,1290.293488,-2.782928,580.120231,-2.982650,775.726355,-2.626158,647.939897,-2.754589,706.196950,-2.718109,495.385908,-2.347233,714.603693,-2.025622,371.781334,-2.332879,986.126699,2.965383,555.476514,-1.475696,571.503260,-2.017114
3684275491.305198,0.128906,680.649855,2.644027,1221.580832,-2.463988,1024.041493,-3.051274,816.628313,3.025261,514.121098,2.848271,502.022887,3.089829,370.624644,2.158657,878.999006,-3.105611,484.209140,-3.093763,669.236862,-2.633807,1078.240304,-2.748993,440.901490,-2.007690,600.176119,-2.578194,510.493329,-3.088814,429.924770,-2.491286,1026.623871,-1.950103,460.885206,3.121384,402.792690,-1.969041,1076.996118,2.689033,525.224323,-2.939366,337.792895,-2.514392,966.529201,-2.863488,523.474981,-3.004937,585.516070,-2.660642,1417.306003,-1.979689,432.863413,-2.773041,458.720281,-2.696751,416.477285,-2.454485,480.436999,-2.653094,923.517096,-1.461103,481.018883,-2.178210,1154.954424,-2.001976
3684275491.405917,0.128906,4696.025173,-2.024942,494.618131,-2.456722,926.797563,3.069080,538.405759,3.100722,417.072304,2.858214,560.862797,-3.067254,725.610970,3.104707,1350.487631,-1.804828,440.308281,-3.053944,621.907609,-2.150926,773.281628,2.905037,649.439769,-2.299360,613.684497,-1.983490,478.046998,3.085335,685.746264,-1.985252,428.125687,-2.519869,772.927118,-2.408857,507.491729,-1.866073,534.506974,-2.347151,481.173306,-2.949600,386.303757,-2.664445,822.649868,-2.619300,2353.128982,-1.861976,845.155859,-2.318841,687.796511,-2.135903,435.768689,-3.098095,741.647575,-2.663059,334.003402,-2.345504,476.401696,-2.263942,629.374537,-2.660381,432.424393,-1.928945,493.840795,-1.810472
