Time,BER,Ch 00 (Mag),Ch 00 (Pha),Ch 01 (Mag),Ch 01 (Pha),Ch 02 (Mag),Ch 02 (Pha),Ch 03 (Mag),Ch 03 (Pha),Ch 04 (Mag),Ch 04 (Pha),Ch 05 (Mag),Ch 05 (Pha),Ch 06 (Mag),Ch 06 (Pha),Ch 07 (Mag),Ch 07 (Pha),Ch 08 (Mag),Ch 08 (Pha),Ch 09 (Mag),Ch 09 (Pha),Ch 10 (Mag),Ch 10 (Pha),Ch 11 (Mag),Ch 11 (Pha),Ch 12 (Mag),Ch 12 (Pha),Ch 13 (Mag),Ch 13 (Pha),Ch 14 (Mag),Ch 14 (Pha),Ch 15 (Mag),Ch 15 (Pha),Ch 16 (Mag),Ch 16 (Pha),Ch 17 (Mag),Ch 17 (Pha),Ch 18 (Mag),Ch 18 (Pha),Ch 19 (Mag),Ch 19 (Pha),Ch 20 (Mag),Ch 20 (Pha),Ch 21 (Mag),Ch 21 (Pha),Ch 22 (Mag),Ch 22 (Pha),Ch 23 (Mag),Ch 23 (Pha),Ch 24 (Mag),Ch 24 (Pha),Ch 25 (Mag),Ch 25 (Pha),Ch 26 (Mag),Ch 26 (Pha),Ch 27 (Mag),Ch 27 (Pha),Ch 28 (Mag),Ch 28 (Pha),Ch 29 (Mag),Ch 29 (Pha),Ch 30 (Mag),Ch 30 (Pha),Ch 31 (Mag),Ch 31 (Pha)
3684274738.462674,0.355469,501.334070,-0.592892,1209.880858,-1.575643,744.066192,2.470913,690.097654,-0.787528,878.480205,0.988629,973.332117,2.837214,622.847761,-1.735978,966.438366,-0.437545,575.163331,2.544413,1566.332206,-2.017328,906.459692,-1.672966,1508.472119,0.050944,4935.838233,-0.490834,671.014547,-1.825241,1118.452314,-0.967446,3642.566963,-2.271351,800.136537,-0.668433,1443.310262,1.113583,1731.199020,0.698257,714.619586,-1.832229,734.039426,0.683266,1268.045373,1.926325,1166.819386,2.441638,729.179637,-0.973267,940.718716,1.418677,601.772096,-2.808825,968.299478,-1.782444,568.944079,0.315752,619.850674,2.232621,1559.128398,-2.012163,1127.843890,0.784645,4735.309527,1.895218
3684274738.562411,0.250000,883.355122,2.194017,1022.898758,-3.096843,1005.789823,3.000045,1102.664582,-2.683195,1109.129672,-1.799529,21246.722206,-0.110123,1000.556859,1.729122,1044.546951,2.105980,1004.467055,0.742892,892.724904,-0.997575,837.852985,-2.947732,3549.063129,-1.209946,2041.161241,2.425293,877.003748,-3.133107,2481.494428,1.343147,4455.567299,0.640391,851.197383,0.395890,1779.448659,1.787445,1023.118533,-2.640586,998.935565,-0.199274,1889.013334,-2.452946,966.482867,-2.156900,1133.736790,-0.821138,801.233464,2.041685,943.331725,-1.522879,799.757405,-0.453945,482.952129,2.082841,1756.607456,3.078406,2084.781908,-0.869542,1128.435512,0.578823,1236.991047,-2.655960,854.206449,0.365129
3684274738.662154,0.218750,747.843151,1.177327,581.606404,1.097021,1656.655854,1.630777,839.422532,1.099022,520.807342,1.795984,515.775046,2.200132,802.988872,1.117507,943.336591,1.255951,890.732141,1.766784,1045.708951,1.237519,1962.858310,-0.396103,1042.311587,1.721010,940.483554,1.482116,1406.716380,0.547094,854.407687,0.956445,1206.842874,2.130354,641.242058,1.503111,1455.689492,1.581536,1196.401768,0.738133,529.450124,1.409853,804.120249,1.705477,1345.457486,3.089865,1037.761581,1.747968,445.383300,1.844504,739.901339,1.027782,1321.688500,1.434883,1056.053409,1.326664,997.730750,1.978711,927.486495,2.166290,1400.560807,1.312805,2306.985930,2.274935,2502.716955,2.613089
3684274738.762907,0.500000,1017.947124,-1.542430,1083.661096,2.177958,742.778519,1.709058,720.112903,-1.270309,901.930724,-2.587718,1531.980247,1.696360,1985.205510,-2.502964,1349.657203,-2.361134,1037.747926,2.816447,979.486507,0.625522,9508.334229,-0.980534,1241.382780,2.370763,1024.542786,2.240550,2705.844091,3.098455,1269.689349,-1.599982,2521.294774,2.023031,698.202350,2.057045,2436.004060,-2.134332,1528.368305,-2.341038,1384.531403,-3.088182,2547.540878,0.854903,1196.885287,-1.665429,858.648738,2.912187,978.255034,1.706203,666.468379,-1.422650,996.417195,-1.604802,3115.555129,-0.927521,1378.887134,0.737958,1129.688069,-2.566396,980.115197,2.222807,1290.644586,0.486520,2806.975360,-2.585568
3684274738.862604,0.378906,882.834416,3.124349,19220.341911,0.050770,1284.726290,-2.908360,1091.150508,1.138077,737.090683,0.004344,574.124896,0.107573,879.246921,-2.573033,1992.574158,-1.755839,843.659916,-2.760889,1825.966542,2.110419,2415.032090,1.244814,1409.164440,-1.330587,774.195522,-0.110211,396.204406,-2.717300,1336.323675,-2.253151,1000.134183,2.939926,3103.036506,1.089253,1974.965090,1.409983,2250.681240,-1.448609,729.297920,-0.865085,2066.835338,-1.649518,1452.504627,3.089035,831.388253,1.392515,666.734036,1.960128,1166.380568,2.105147,465.413635,0.360739,779.251304,-1.725557,1630.544392,1.487026,2036.998770,-2.753090,1006.854038,0.163595,3507.948504,-0.323694,1969.331641,-3.103656
3684274738.962340,0.269531,794.367146,1.730760,1421.197887,2.003767,837.106719,2.071577,582.247814,2.042772,3353.775771,1.617059,667.237798,2.639939,994.281784,1.489251,768.829997,1.302055,989.202500,2.587638,921.701554,2.849972,1384.169113,-2.099910,928.403621,-2.723984,816.873682,2.655878,920.245260,1.909417,1130.003511,-2.540604,1559.513663,2.276177,892.785946,2.362934,1496.818467,-1.308881,698.744829,2.670605,872.813149,2.406411,611.036645,-3.048742,1218.276657,1.763644,1226.573294,1.416750,904.694608,2.672997,1597.737344,1.577521,628.851803,1.924679,1198.896703,2.104257,496.686193,3.057109,812.929070,2.893364,831.444957,2.329334,923.032444,-2.156362,775.252172,-2.656790
3684274739.062179,0.214844,722.036904,1.556892,1310.358996,2.236142,1477.248804,-3.110362,487.295054,2.019538,4200.795612,1.938011,804.349490,2.836173,563.250082,2.580535,2926.681557,-0.541759,544.025510,2.882906,1827.246776,-2.723094,2246.372675,2.170303,768.237689,2.901722,1410.657659,2.840784,615.102761,1.980975,5577.612128,2.498832,623.791022,-2.810221,988.799858,2.369352,981.649568,-2.695354,2377.518814,0.843573,623.002184,2.410145,431.260787,2.930726,2356.144743,-2.970479,1541.819870,2.009020,630.414717,2.423528,1097.538067,-3.034877,675.101614,3.103121,431.708437,2.556674,642.572294,2.832177,2920.922626,2.523634,884.107046,1.975554,787.190935,-2.640743,1720.876272,-2.487996
3684274739.162906,0.187500,2623.916671,-0.972912,760.937079,-1.872578,466.499228,-2.536952,630.004733,3.078360,527.775166,-2.739761,818.604794,-2.390310,443.718269,-3.014879,925.301552,-2.365640,491.031167,-3.134025,534.168829,-1.986811,1951.702483,-0.414846,427.163452,-2.481102,428.047703,-2.700094,569.323116,2.424612,518.379791,-2.805935,535.144160,-2.549042,427.856868,1.829956,485.553380,2.906271,2513.282674,1.721367,365.939407,1.641027,485.412605,2.576006,1733.896775,2.125356,2336.468204,1.892773,532.764324,1.397278,4132.667627,0.930707,409.860308,0.973240,551.344004,1.400117,533.567645,1.498136,480.603481,1.167451,1285.810959,0.162610,660.690886,0.646471,612.631601,1.162275
3684274739.262648,0.097656,2248.325897,-2.573580,1532.566418,1.925680,586.236844,-2.177757,335.755530,-2.698570,341.885485,-2.776801,318.998425,-2.387499,428.425406,-2.902329,1855.017316,-1.883484,309.145948,-2.710431,389.490207,-2.265274,986.503795,-3.038182,505.055096,-2.324442,406.171926,-2.308410,313.133703,2.590557,386.770145,-2.460268,313.529350,-2.565453,337.230320,1.898472,393.708923,2.894333,625.945078,-3.018829,362.621771,1.832472,393.819121,2.660043,1421.589737,2.086452,842.723088,1.885326,460.600833,1.588694,795.407970,1.196963,388.108802,1.486488,299.619053,1.274611,369.234722,1.706606,361.692864,1.587328,2187.597103,1.777016,358.221518,1.486983,288.172688,1.843946
3684274739.362379,0.308594,609.208363,2.455281,966.804011,2.764107,598.928627,2.951592,329.223377,2.007470,286.246621,2.382451,284.363531,2.686238,542.051325,2.210072,902.704697,2.721977,259.677475,2.626803,448.443180,-2.879863,1501.387735,2.880599,454.809474,-2.994843,367.944683,-2.919203,386.535797,2.644447,468.778298,-3.076610,310.158182,-2.681815,343.112237,2.655989,340.731588,-2.946147,875.121865,-2.478783,375.055720,2.510375,245.433406,2.967013,1640.404650,3.130693,951.737429,-2.736899,369.678265,2.684555,913.218546,-3.117939,444.474942,2.521353,569.611223,2.820897,242.555793,-2.823285,353.930362,-2.916414,810.005557,-3.113156,595.884764,-2.521121,570.814474,-2.763181
