Time,BER,Ch 00 (Mag),Ch 00 (Pha),Ch 01 (Mag),Ch 01 (Pha),Ch 02 (Mag),Ch 02 (Pha),Ch 03 (Mag),Ch 03 (Pha),Ch 04 (Mag),Ch 04 (Pha),Ch 05 (Mag),Ch 05 (Pha),Ch 06 (Mag),Ch 06 (Pha),Ch 07 (Mag),Ch 07 (Pha),Ch 08 (Mag),Ch 08 (Pha),Ch 09 (Mag),Ch 09 (Pha),Ch 10 (Mag),Ch 10 (Pha),Ch 11 (Mag),Ch 11 (Pha),Ch 12 (Mag),Ch 12 (Pha),Ch 13 (Mag),Ch 13 (Pha),Ch 14 (Mag),Ch 14 (Pha),Ch 15 (Mag),Ch 15 (Pha),Ch 16 (Mag),Ch 16 (Pha),Ch 17 (Mag),Ch 17 (Pha),Ch 18 (Mag),Ch 18 (Pha),Ch 19 (Mag),Ch 19 (Pha),Ch 20 (Mag),Ch 20 (Pha),Ch 21 (Mag),Ch 21 (Pha),Ch 22 (Mag),Ch 22 (Pha),Ch 23 (Mag),Ch 23 (Pha),Ch 24 (Mag),Ch 24 (Pha),Ch 25 (Mag),Ch 25 (Pha),Ch 26 (Mag),Ch 26 (Pha),Ch 27 (Mag),Ch 27 (Pha),Ch 28 (Mag),Ch 28 (Pha),Ch 29 (Mag),Ch 29 (Pha),Ch 30 (Mag),Ch 30 (Pha),Ch 31 (Mag),Ch 31 (Pha)
3684276430.176938,0.085937,472.884358,-2.848997,594.129618,-2.765696,424.559517,-2.559705,579.243010,-3.064128,273.738131,-2.937183,230.192073,-2.691968,331.062111,3.041504,666.617378,-2.561587,346.073023,-2.550554,304.315304,-2.036993,716.887816,-2.431535,306.979241,-2.015338,435.830096,-2.031788,536.309412,-2.872844,370.845762,-1.893146,392.137299,-1.629089,363.460327,-2.829323,353.538979,-1.946110,839.837577,-2.972209,273.905176,-2.612705,285.793368,-2.172772,507.015200,-2.037589,641.721790,-2.114486,483.097780,-2.936335,542.156531,-2.102428,314.905421,-2.350862,414.812768,-2.661897,224.777852,-1.937981,270.839775,-2.205736,406.435210,-2.137126,363.291841,-1.905159,432.242964,-1.357157
3684276430.276818,0.058594,786.466791,-2.598893,615.863398,-2.063950,884.275991,-1.936602,355.502323,-2.955561,473.243099,-3.014410,274.346904,-2.400918,407.164385,3.067352,608.386658,-2.395029,311.633799,-2.489145,349.334423,-2.102457,995.262795,-2.942571,270.531394,-2.020144,620.580522,-1.723345,382.072499,-2.586377,387.020403,-1.986238,310.166403,-2.194374,406.424630,-2.456850,372.869916,-1.702287,605.312338,-2.447422,527.962936,-2.707642,272.982652,-2.097043,572.015325,-1.891015,758.014117,-1.898969,338.438958,-2.607648,571.616831,-2.318880,323.852744,-2.386261,366.386005,-2.067156,265.893300,-1.744038,255.515361,-2.236336,1082.205475,-1.976749,407.329800,-1.001251,528.215369,-1.594914
3684276430.376549,0.082031,1560.108684,-2.830835,728.150725,-2.617304,710.921557,3.100132,422.476735,-2.982603,494.529764,-3.067042,257.187967,-2.554496,307.096582,-2.842121,551.653439,-2.328970,253.755425,-2.346509,269.838659,-2.040455,723.135811,-2.134500,358.322337,-1.885943,388.812572,-1.801006,397.623637,-2.805656,330.846118,-2.107893,422.665754,-1.954196,385.228308,-2.584540,316.215655,-1.700047,742.205949,-2.245898,358.463028,-2.806660,245.790699,-2.084939,891.186442,-1.900670,647.665319,-2.259360,309.342275,-2.449666,669.629995,-1.882149,671.722928,-2.701617,363.375332,-2.457531,258.561146,-2.217753,301.530603,-2.053814,755.649124,-2.329601,571.675390,-1.512778,498.966817,-1.563323
3684276430.476252,0.125000,709.138857,-2.698747,659.647890,-2.749691,437.190003,3.033717,373.529924,3.135209,422.559905,-2.930559,306.401349,-2.807758,462.138571,-3.129636,613.780281,-2.871271,314.698679,-2.752549,284.814215,-2.126736,883.221309,-2.539446,483.572278,-2.198463,343.394449,-1.762025,392.527421,2.976246,330.013761,-2.154780,281.526479,-1.851788,373.010684,-2.863591,400.883377,-2.313056,713.054189,-2.560753,473.165801,-2.864563,331.194889,-2.238734,642.952430,-2.428767,840.349227,-2.100395,570.117941,-2.322166,971.114662,-2.341997,352.956718,-2.445432,342.149119,-2.686761,380.256964,-2.271341,330.115245,-1.712054,997.403869,-2.509406,322.844096,-1.692514,592.985559,-1.437175
3684276430.575986,0.027344,566.044574,-2.976205,665.178227,-3.139602,813.239223,-2.734782,376.886024,2.379741,411.406916,2.668587,226.516210,2.885130,423.611709,2.451412,465.650946,2.790718,338.673777,-3.004066,323.173436,-2.963071,663.298870,3.003860,477.769790,-2.998184,328.488928,-2.757791,304.679404,3.001421,329.256790,-2.697282,338.695757,-2.420880,370.183996,2.793701,372.662941,-2.659339,348.994955,2.982070,418.404226,-3.121401,296.220373,-3.035662,660.832059,-2.935601,902.281343,-2.935337,350.284182,2.997141,1092.484069,-2.091328,322.166424,-3.099020,401.822766,-2.814819,316.103000,-2.574903,416.391976,-2.769307,1169.931845,2.912623,408.270541,-2.068053,356.816687,-2.151497
3684276430.676805,0.070312,500.016229,-3.049153,582.028883,-2.887918,624.593418,-3.005550,401.860419,2.910632,397.877954,2.497882,324.085825,-2.826343,373.373133,2.879819,643.975014,-2.556228,261.897746,-2.863058,389.491225,-2.672028,573.634459,-2.982699,316.847244,-2.276139,335.749025,-2.436467,450.561353,3.092468,449.582139,-2.361175,454.910326,-2.401008,373.363612,3.133598,381.650880,-2.460007,493.655925,3.093122,348.681643,-3.068323,348.265533,-2.736682,1041.786916,-2.493059,722.487328,-2.688708,292.272321,-3.114113,445.127493,-2.552475,480.635228,-2.713193,439.999133,-2.697110,321.036069,-2.345414,285.199746,-2.389711,726.481950,2.980121,825.475684,-2.395312,395.720957,-2.203188
3684276430.776450,0.027344,458.666979,-3.103331,492.624887,-2.692195,645.025476,-2.894296,368.407022,3.080138,368.318824,-2.902665,214.842139,-2.794756,357.251450,-2.823683,785.023138,-2.391628,247.392377,-2.496480,383.089849,-2.322243,822.945064,-2.687812,347.891238,-2.100165,302.030219,-2.163732,299.403010,-2.929566,292.513740,-1.983141,245.044535,-2.072982,345.086054,-2.915760,443.495175,-2.109976,358.044445,-2.601325,272.549592,-2.602827,262.210872,-2.292167,372.116968,-2.307893,558.859793,-2.775319,302.960397,-2.711964,463.387574,-2.277211,361.274152,-2.741696,246.121900,-2.556860,266.425787,-2.141763,234.030163,-2.179922,425.541264,-2.532445,516.406713,-2.020353,427.071506,-2.163243
3684276430.876866,0.031250,389.166201,-2.707359,326.157080,-2.543105,326.167843,-2.656307,264.085862,-2.786257,281.291216,3.120218,262.549330,-2.559626,247.663197,-2.872976,585.634560,-2.885068,200.025855,-2.558618,301.591995,-2.099278,487.049790,-2.544775,323.383906,-2.225238,312.317776,-1.724053,230.730544,-2.661960,253.289154,-1.906177,244.246283,-2.099694,240.279164,-2.623679,278.184799,-1.870740,529.538888,-2.378806,219.817736,-2.581884,192.117275,-2.051587,707.508992,-2.344537,393.274518,-2.116376,282.269611,-2.533625,419.888858,-2.490032,224.144834,-2.417362,274.421095,-2.424188,251.578707,-1.986186,214.223638,-1.850909,425.238082,-2.190602,284.247062,-1.790075,315.839385,-1.675528
3684276430.976601,0.019531,443.030247,-2.771250,363.670205,-2.510552,434.039767,-2.577499,293.913259,-2.918889,249.640715,-2.929933,204.535702,-2.552410,224.180950,-2.616319,360.866351,-2.403583,226.874619,-2.449070,230.433555,-1.854297,666.316810,-2.426370,250.596474,-1.866767,233.626538,-2.029518,214.596586,-2.795586,230.330091,-1.931305,294.904823,-2.044169,197.482522,-2.811981,217.714708,-1.961739,490.100048,-2.460063,212.089119,-2.623361,184.502752,-2.185446,330.324116,-2.231510,462.994534,-2.101168,205.340363,-2.574804,555.580929,-2.212061,246.468413,-2.600129,248.005980,-2.406264,224.125460,-1.824954,216.585305,-1.828004,385.568058,-2.289818,211.287586,-1.672321,279.668954,-1.651675
3684276431.076334,0.007812,256.643243,-2.709787,273.715223,-2.570176,285.877075,-2.608986,206.072078,-2.930037,202.787805,-3.013383,169.862652,-2.497481,185.904272,-2.748286,292.118075,-2.284063,145.676209,-2.482271,181.009336,-2.179225,236.911487,-2.219180,218.746810,-2.202143,194.030927,-2.020832,185.420064,-2.829328,201.180450,-2.081033,224.645226,-2.055982,223.094044,-2.666310,230.440991,-1.852969,290.321477,-2.677043,212.909071,-2.603134,154.771699,-2.055006,367.770033,-2.613903,269.960491,-2.283112,186.467251,-2.465734,286.672872,-2.378921,214.468216,-2.513012,188.431746,-2.386122,203.262212,-2.080849,151.920943,-2.024467,352.921407,-2.023913,272.778564,-1.648227,248.768637,-1.901630
