Time,BER,Ch 00 (Mag),Ch 00 (Pha),Ch 01 (Mag),Ch 01 (Pha),Ch 02 (Mag),Ch 02 (Pha),Ch 03 (Mag),Ch 03 (Pha),Ch 04 (Mag),Ch 04 (Pha),Ch 05 (Mag),Ch 05 (Pha),Ch 06 (Mag),Ch 06 (Pha),Ch 07 (Mag),Ch 07 (Pha),Ch 08 (Mag),Ch 08 (Pha),Ch 09 (Mag),Ch 09 (Pha),Ch 10 (Mag),Ch 10 (Pha),Ch 11 (Mag),Ch 11 (Pha),Ch 12 (Mag),Ch 12 (Pha),Ch 13 (Mag),Ch 13 (Pha),Ch 14 (Mag),Ch 14 (Pha),Ch 15 (Mag),Ch 15 (Pha),Ch 16 (Mag),Ch 16 (Pha),Ch 17 (Mag),Ch 17 (Pha),Ch 18 (Mag),Ch 18 (Pha),Ch 19 (Mag),Ch 19 (Pha),Ch 20 (Mag),Ch 20 (Pha),Ch 21 (Mag),Ch 21 (Pha),Ch 22 (Mag),Ch 22 (Pha),Ch 23 (Mag),Ch 23 (Pha),Ch 24 (Mag),Ch 24 (Pha),Ch 25 (Mag),Ch 25 (Pha),Ch 26 (Mag),Ch 26 (Pha),Ch 27 (Mag),Ch 27 (Pha),Ch 28 (Mag),Ch 28 (Pha),Ch 29 (Mag),Ch 29 (Pha),Ch 30 (Mag),Ch 30 (Pha),Ch 31 (Mag),Ch 31 (Pha)
3684275070.992938,0.101562,712.896282,-0.957828,412.370526,-0.923300,564.261630,-1.268542,411.645172,-1.511423,369.525063,-2.104622,251.361626,-1.726184,424.740445,-1.600938,377.953021,-0.879207,225.629893,-1.358510,232.257211,-1.176481,523.135521,-0.758292,276.002124,-1.168744,255.185524,-1.122150,374.626668,-1.865265,263.778836,-1.028958,285.815410,-0.941750,406.153943,-1.646639,281.826654,-0.818232,670.855787,-0.676604,532.790719,-1.742375,228.939529,-1.338798,403.001862,-0.661780,546.372898,-0.596812,330.648037,-1.290516,409.879707,-0.729431,366.499336,-1.010662,388.450703,-1.305062,220.373140,-1.209042,279.673885,-0.722611,580.284956,-1.649633,299.324266,-0.545537,311.634044,-1.030508
3684275071.092698,0.496094,980.629005,0.309719,912.149082,-1.325548,2409.739045,-0.628891,1064.933390,-2.609502,1741.792140,1.069302,4394.267793,-1.609559,1163.958308,0.970562,1200.205162,0.507451,1529.126533,-1.372523,591.084073,-1.117304,2002.259537,-2.965305,766.874593,-3.030168,1477.605413,-2.623785,1496.361864,0.753749,2002.065771,2.260760,958.492769,2.952825,8685.815996,2.496133,1151.349215,2.015223,853.364736,2.884808,1795.955397,-0.934711,1824.783129,-3.132132,1400.115659,0.273303,4451.518861,-0.838823,1723.375088,-1.287560,1775.166030,-2.669254,1074.606480,3.089440,590.921788,1.725674,1355.169774,0.261589,1450.705943,-2.702906,1036.217801,0.346585,1138.424941,-2.759209,611.776480,-2.970381
3684275071.192407,0.058594,461.890462,-1.299650,475.816246,-1.401583,463.700789,-1.053796,293.791281,-1.678591,384.557740,-1.411519,211.755787,-1.239095,298.920942,-1.414905,364.712493,-1.197925,221.254911,-1.197690,275.139012,-0.834593,481.448559,-0.752620,261.398892,-0.685485,244.185904,-0.820156,312.693598,-1.444035,314.942210,-0.799584,231.907573,-0.614973,224.393227,-1.110452,221.474852,-0.677503,392.496701,-0.840405,325.339028,-1.532556,201.905407,-0.867581,341.097860,-0.769040,454.483300,-1.035428,281.729982,-1.103035,394.245380,-0.863660,307.461766,-1.020358,340.722606,-0.931269,230.647227,-0.802608,213.029558,-0.772440,601.363797,-0.909558,238.393064,-0.328243,305.029789,-0.137561
3684275071.292139,0.066406,603.714784,-0.495766,612.569280,-0.140093,882.238822,-0.886308,631.193217,-0.449772,550.364945,-0.752145,320.765232,-0.105754,324.995716,-0.505789,646.926289,-0.398209,335.433200,0.119838,423.866515,-0.066147,655.825717,-0.428462,456.191224,0.339525,455.569553,0.268966,428.700982,-0.700004,311.169849,0.208889,654.361500,-0.037629,319.462217,-0.794461,617.107907,-0.018232,548.793217,0.255138,573.531532,-0.393782,352.063296,-0.030790,562.869088,-0.223019,519.294424,0.215473,362.482538,-0.357115,639.469160,-0.326360,381.643301,-0.274244,443.724643,0.002863,290.760487,-0.049193,421.552842,-0.108438,488.227386,-0.090793,644.357722,0.460184,359.286639,0.181133
3684275071.393902,0.039062,1367.777131,-0.759132,892.569981,-1.063768,535.735632,-0.473498,644.843629,-1.007032,806.194889,-0.229743,566.902110,-0.720647,663.354666,-0.905425,649.071606,-0.523002,908.866972,-0.576951,709.243519,-0.144040,684.424781,-0.509287,464.994208,-0.441718,691.162018,-0.263332,754.408415,-0.646529,467.274303,-0.344927,807.814488,-0.197597,480.193402,-0.635915,721.559341,-0.244562,615.927062,-0.810727,616.885929,-0.722899,670.002660,-0.180438,534.120897,-0.522866,636.418845,-0.871259,659.127556,-0.805374,593.222834,-0.104818,486.207235,-0.510260,418.627965,-0.303679,311.157416,-0.501356,385.459984,-0.309720,967.656205,-0.823332,501.587645,0.381710,465.755406,-0.622600
3684275071.493600,0.125000,658.068369,-0.859761,539.568225,-0.111239,648.328426,-0.199694,495.052334,-0.680988,810.922297,-0.795570,420.316819,-0.348472,566.249547,-0.457545,695.777016,-0.382673,440.097767,-0.770984,417.548784,0.119799,510.092820,0.054038,435.433207,0.003304,419.908895,0.291899,509.321355,-0.950015,300.640587,0.087246,607.180828,0.088682,352.552053,-0.408996,457.332381,-0.015855,580.249965,0.392953,458.307266,-0.581485,348.596615,-0.186306,565.123010,-0.143049,917.774190,-0.049409,318.238988,-0.354207,454.413718,-0.042377,556.885259,-0.012079,743.572119,-0.218610,354.440554,0.009551,563.206723,-0.031750,725.992645,-0.054190,633.531283,-0.023833,345.687137,0.322682
3684275071.593359,0.050781,581.499638,-0.055140,507.544170,-0.039807,399.047111,0.174291,332.262929,-0.778872,383.509723,-0.401581,204.493535,-0.278728,291.669950,-0.763244,427.400011,0.046531,198.183880,-0.222794,224.646799,0.120783,375.241323,-0.014760,239.223285,0.113205,340.041308,0.326070,298.509626,-0.212420,260.320405,0.169482,229.590683,0.285179,295.086011,-0.536401,365.772318,-0.052301,575.169756,0.117567,404.072609,-0.301139,201.045842,-0.066367,302.057117,0.032296,422.370541,0.030899,325.672014,-0.111455,339.222617,-0.064596,355.419524,0.045937,291.957356,-0.357991,187.666214,0.026228,231.885903,0.282474,390.582657,0.102395,256.672543,0.365755,331.965297,0.494503
3684275071.693067,0.019531,364.196689,-0.596321,394.462829,-0.600074,319.839268,-0.155361,395.334336,-0.417883,335.084166,-0.765000,226.573374,-0.279607,260.871584,-0.618212,318.796238,-0.386460,224.516543,-0.162405,213.827234,0.137709,331.863826,-0.429460,206.895086,0.153038,190.372573,0.299292,254.036016,-0.633877,266.813782,0.349669,244.676978,0.223225,259.195391,-0.349677,233.824458,0.231276,350.002254,0.058118,198.331503,-0.102890,191.377282,0.143693,319.693125,-0.052672,354.074406,0.024349,241.753099,-0.186203,279.664118,0.160041,258.701840,-0.235284,285.398281,-0.212808,185.882722,0.100978,183.397634,0.188755,258.105102,0.268283,239.487809,0.265624,288.858556,0.691705
3684275071.793798,0.015625,332.025259,-0.019215,316.835447,-0.113552,373.535204,0.212637,253.764086,-0.392276,302.222423,-0.399063,233.216940,-0.066989,286.814931,-0.381546,411.429791,0.069176,210.299409,-0.228627,261.449422,0.342150,402.261814,-0.004080,269.624461,0.080620,233.077327,0.425280,265.846934,-0.093679,194.208113,0.231213,259.168125,0.579658,318.629504,-0.287646,286.328712,0.485535,462.035893,0.185000,261.001458,-0.245068,210.603164,0.093863,293.418660,0.391100,375.342043,0.282859,264.007730,-0.048464,357.518962,0.274811,270.441215,-0.070074,260.978151,0.125131,181.781388,0.319281,207.692776,0.304704,361.796419,0.311643,337.127369,0.264384,414.997517,0.817625
3684275071.893531,0.039062,530.102872,0.253370,344.899861,-0.340136,477.490860,-0.280830,370.713861,-0.196389,404.820970,-0.344872,255.190517,-0.192944,356.052197,-0.314537,307.265179,0.329660,278.929124,-0.313622,270.044436,0.284015,466.211045,0.178196,250.567774,0.330979,373.315486,0.145941,245.877493,-0.094642,243.580503,0.426308,304.450333,0.709517,290.969910,-0.057356,282.621692,0.379723,438.073235,0.199700,296.253637,0.003976,226.675562,0.234119,375.522831,0.202940,397.848523,0.252995,329.726255,0.176477,359.104822,0.363854,280.116316,-0.183927,322.425444,0.520403,225.872810,0.528399,243.058403,0.334421,398.461921,-0.182111,268.141924,0.703530,350.522804,0.608734
3684275071.994264,0.027344,339.093170,-0.198429,469.423668,0.211108,367.838532,-0.237922,345.244800,-0.077795,298.476580,-0.439241,245.998726,-0.142225,238.392149,-0.218838,346.656765,0.350222,214.317559,-0.039880,231.657565,0.256875,405.392422,0.078117,229.165000,0.345860,253.964611,0.360136,326.464955,-0.448713,208.321245,0.202637,230.386241,0.275655,326.887456,-0.008715,281.078368,0.591702,328.176530,0.243562,263.395832,-0.019863,220.011067,0.170732,446.497142,0.415908,258.943295,0.285166,245.620812,0.102733,332.494192,0.428414,273.718186,0.244595,283.027543,0.107881,243.059565,0.285501,230.615415,0.378168,486.105735,0.196559,240.669080,0.900728,254.155834,0.804654
3684275072.094994,0.046875,622.046560,-0.170643,389.437383,0.257173,468.050145,0.034975,372.093992,0.054083,318.276190,-0.319469,260.242769,-0.195680,268.323636,-0.368716,585.758007,0.336339,236.772282,-0.052839,234.377063,0.311192,410.137827,0.147080,268.567412,0.333215,236.294543,0.384129,319.031923,-0.214855,256.250659,0.358506,259.249707,0.379865,313.218888,0.119176,236.446258,0.523594,347.356050,0.183169,286.138284,0.004864,212.142736,0.309302,559.111997,0.247847,338.414564,0.201155,302.339430,0.048330,360.085576,0.420650,290.488149,0.382921,342.164200,0.134395,222.456631,0.664948,251.265371,0.492863,466.916873,0.271908,280.978857,0.825800,525.216592,1.211103
3684275072.195739,0.019531,293.870780,0.121268,299.149797,0.176356,321.948761,0.231355,266.641860,-0.186303,257.251642,0.129960,218.389115,0.043557,313.714404,-0.056529,346.896456,0.303088,224.026999,0.116494,211.270649,0.730148,355.805890,0.462275,242.332056,0.732679,213.048240,0.700453,225.446809,0.105012,201.055868,0.573729,229.266089,0.348945,228.097698,0.182207,221.999388,0.480081,447.329398,0.495957,248.550597,0.163960,246.758854,0.302791,282.750780,0.443456,318.499988,0.596642,321.777026,0.409656,242.406966,0.497282,364.912707,0.604741,282.499543,0.464983,230.087610,0.363316,287.682835,0.578197,350.369979,0.656084,251.512595,0.991725,243.992860,0.999600
3684275072.295458,0.007812,322.779351,-0.171054,253.221119,0.024405,327.601971,0.003343,256.605769,-0.386617,290.854910,-0.378655,201.941481,-0.032770,231.601413,-0.426650,311.400517,0.337950,190.705011,-0.092303,191.019592,0.342278,257.104083,0.457902,199.394997,0.368975,234.644017,0.288171,251.551039,-0.273867,210.928648,0.526069,204.280053,0.474165,215.243518,-0.026897,225.403785,0.599662,315.518582,0.509376,235.064708,-0.001642,173.846210,0.291021,295.103691,0.528728,347.597563,0.239187,208.560042,0.103452,241.700605,0.383182,235.997694,0.097364,241.291628,0.061643,206.657473,0.506379,179.857421,0.422720,311.664725,0.530481,318.162943,0.628322,226.270241,0.692400
3684275072.395193,0.015625,221.837929,-0.236031,282.726583,-0.169710,321.091096,-0.362143,214.867653,-0.323217,258.647959,-0.409869,159.034348,-0.269233,222.696994,-0.412929,252.992594,-0.031064,174.694635,-0.195934,211.275390,0.073142,240.268121,-0.129245,197.647638,0.200919,209.357575,0.267050,198.427168,-0.348942,211.555730,0.307199,214.304689,0.229648,204.403900,-0.367954,201.816630,0.318271,298.231827,0.161186,188.272388,-0.267172,159.013343,-0.124308,288.422247,0.097363,259.318362,0.115191,236.055191,-0.044237,258.720060,0.143782,200.765529,0.010187,196.589813,-0.096376,165.664368,0.210861,155.939202,0.321996,262.536983,-0.268877,208.041411,0.435921,251.301926,0.479038
3684275072.496954,0.027344,303.443785,-0.501630,236.305091,-0.579466,238.038459,-0.590912,255.795467,-0.763684,212.596716,-0.778999,179.788855,-0.396551,233.974784,-0.817905,277.731201,-0.321288,181.475744,-0.462986,175.667490,-0.128962,292.905196,-0.225783,195.656414,0.089284,189.664745,-0.052060,228.643281,-0.409512,193.126976,0.104803,175.059066,-0.116691,201.171480,-0.501667,189.059847,-0.075888,292.112904,-0.016863,215.189018,-0.442615,175.018614,-0.156995,270.199111,0.080687,253.977237,0.089608,197.532334,-0.128675,297.575358,-0.025612,179.204203,-0.294467,211.314830,-0.242546,165.508530,-0.180662,162.224339,-0.102480,247.987015,0.015371,189.035822,0.436689,246.946975,0.358141
3684275072.596651,0.019531,296.966631,-0.555491,267.053327,-0.673249,317.128256,-0.690174,253.822331,-0.858654,330.706495,-0.907233,185.946492,-0.490040,310.874901,-1.217604,313.612821,-0.157372,170.068423,-0.624046,220.266112,-0.511014,310.394779,-0.295584,177.643364,-0.312856,211.196620,-0.290852,193.024791,-0.784455,209.155707,-0.079238,207.480492,0.018488,233.613146,-0.753669,219.012306,-0.032043,333.615881,-0.137016,231.826323,-0.484684,194.368460,-0.274074,333.008334,-0.149507,259.041408,-0.207013,246.229109,-0.595188,280.160793,-0.143170,263.577443,-0.272026,237.547343,-0.347312,192.735670,-0.234935,188.012800,-0.075770,390.555292,0.020579,210.074117,0.144892,210.875659,0.073253
3684275072.696386,0.027344,465.920535,-0.851400,284.899138,-0.937160,339.263872,-0.730228,248.764301,-1.017890,351.388690,-1.199793,189.053685,-0.975350,278.361800,-1.054989,300.404715,-0.663441,214.466660,-0.829869,190.895782,-0.451674,323.863898,-0.422960,179.974836,-0.568646,210.323096,-0.316540,302.551406,-0.862597,220.745043,-0.461725,204.929848,-0.343278,285.970172,-0.903244,202.996180,-0.267804,268.389261,-0.508041,216.764891,-0.754842,197.284537,-0.546927,279.178242,-0.205540,312.248506,-0.348145,248.784458,-0.802421,262.763305,-0.467441,207.480488,-0.741449,268.168867,-0.599308,219.255084,-0.582510,214.990063,-0.414541,455.791821,-0.384070,230.578384,-0.159900,196.691335,-0.249416
3684275072.796118,0.011719,332.131524,-0.947519,345.703154,-0.807323,301.567569,-0.845773,225.672249,-1.043402,249.684557,-1.086350,163.034259,-0.994657,351.064438,-1.091988,291.080003,-0.699524,177.469813,-0.983672,232.133603,-0.599706,342.334300,-0.630662,198.928241,-0.486903,203.737727,-0.426324,312.317063,-1.091607,173.598680,-0.402047,199.677969,-0.525154,250.481227,-1.039144,198.419416,-0.249587,346.969059,-0.586839,258.539526,-0.799152,162.478151,-0.602466,242.107913,-0.584171,262.746675,-0.353657,179.117248,-0.687959,290.968551,-0.409351,202.500123,-0.596251,214.297520,-0.727922,207.168059,-0.481233,179.401222,-0.459684,327.077400,-0.455666,241.683054,-0.021524,185.411399,0.094195
3684275072.896851,0.066406,413.906308,-1.027992,404.106212,-0.913117,366.171786,-0.763772,419.913343,-0.992486,359.159344,-1.190857,307.273916,-1.203693,373.110836,-1.148232,345.083567,-0.586189,260.500564,-0.830397,315.390898,-0.908744,424.663938,-0.615171,250.590329,-0.650816,233.307542,-0.552013,313.639224,-1.177018,250.324956,-0.528608,224.175284,-0.478232,419.521222,-1.013806,321.427004,-0.600684,299.760428,-0.742141,405.037075,-0.478642,263.811923,-0.585783,597.817146,-0.518721,299.167686,-0.332321,279.418882,-0.951069,507.299982,-0.553296,309.438090,-1.080733,245.453213,-0.884948,228.249607,-0.417538,211.595044,-0.589636,525.451019,-0.271072,242.106290,-0.213489,322.838274,-0.210941
3684275072.996601,0.042969,338.939028,-1.085320,527.706647,-1.076539,392.616478,-1.047339,294.376026,-1.405488,241.494435,-1.447176,244.647937,-1.198415,308.873780,-1.268795,398.488493,-1.169616,261.401589,-0.864623,346.778442,-0.588463,514.780143,-1.026407,222.990656,-0.889903,318.254976,-0.541600,295.278073,-1.324398,219.975855,-0.672353,246.131412,-0.511989,275.830927,-1.228032,228.427816,-0.706028,562.020858,-0.044486,320.008834,-0.901435,204.502259,-0.931679,357.352313,-0.728683,367.860964,-0.643714,268.663238,-0.721674,509.799500,-0.478148,347.387605,-0.874730,406.315165,-0.647361,192.385708,-0.700441,247.935101,-0.574414,320.719436,-0.405380,338.985512,-0.218185,244.565184,-0.088773
3684275073.097661,0.031250,398.383066,-1.428720,532.568208,-0.921494,356.380770,-1.206076,461.423602,-1.434024,349.148853,-1.259506,357.960350,-0.921985,362.164512,-1.540321,530.637191,-0.925325,373.706636,-1.043571,370.260455,-0.839644,479.979304,-0.859824,280.698063,-0.890600,341.320068,-0.954628,349.927365,-0.856728,330.851727,-0.852245,370.502354,-0.762205,332.971119,-1.105403,306.127269,-0.469597,456.535515,-0.398334,361.375111,-1.036202,285.062849,-0.795415,324.153136,-0.557132,474.567359,-0.878432,401.254777,-1.051623,355.520212,-0.596034,289.565249,-0.952627,343.899251,-0.600743,325.726162,-0.651596,330.116295,-0.586449,397.236700,-0.525673,421.445090,-0.067359,383.576833,-0.085761
