Time,BER,Ch 00 (Mag),Ch 00 (Pha),Ch 01 (Mag),Ch 01 (Pha),Ch 02 (Mag),Ch 02 (Pha),Ch 03 (Mag),Ch 03 (Pha),Ch 04 (Mag),Ch 04 (Pha),Ch 05 (Mag),Ch 05 (Pha),Ch 06 (Mag),Ch 06 (Pha),Ch 07 (Mag),Ch 07 (Pha),Ch 08 (Mag),Ch 08 (Pha),Ch 09 (Mag),Ch 09 (Pha),Ch 10 (Mag),Ch 10 (Pha),Ch 11 (Mag),Ch 11 (Pha),Ch 12 (Mag),Ch 12 (Pha),Ch 13 (Mag),Ch 13 (Pha),Ch 14 (Mag),Ch 14 (Pha),Ch 15 (Mag),Ch 15 (Pha),Ch 16 (Mag),Ch 16 (Pha),Ch 17 (Mag),Ch 17 (Pha),Ch 18 (Mag),Ch 18 (Pha),Ch 19 (Mag),Ch 19 (Pha),Ch 20 (Mag),Ch 20 (Pha),Ch 21 (Mag),Ch 21 (Pha),Ch 22 (Mag),Ch 22 (Pha),Ch 23 (Mag),Ch 23 (Pha),Ch 24 (Mag),Ch 24 (Pha),Ch 25 (Mag),Ch 25 (Pha),Ch 26 (Mag),Ch 26 (Pha),Ch 27 (Mag),Ch 27 (Pha),Ch 28 (Mag),Ch 28 (Pha),Ch 29 (Mag),Ch 29 (Pha),Ch 30 (Mag),Ch 30 (Pha),Ch 31 (Mag),Ch 31 (Pha)
3684274546.111299,0.027344,331.906616,-2.055404,302.433995,-2.125840,332.982569,-2.182305,279.766992,-2.252533,231.317329,-2.314928,218.900840,-2.028059,326.776082,-2.100157,271.774564,-2.046736,159.280687,-1.921921,224.730321,-1.728030,418.153310,-1.782033,198.688071,-1.482212,239.031016,-1.516657,204.544953,-2.221990,238.270973,-1.556173,204.681854,-1.507780,218.825702,-2.108819,254.049086,-1.655846,287.832338,-1.519346,226.012961,-1.985059,182.219692,-1.831261,294.780276,-1.854807,366.227502,-1.521352,207.036546,-1.831408,310.807235,-1.657991,201.181295,-1.722122,299.013938,-1.799349,195.316612,-1.625419,193.662539,-1.547680,354.819201,-1.596174,248.625690,-1.259270,239.989674,-1.071245
3684274546.211046,0.023437,266.380534,-2.137759,290.073625,-1.781648,286.171405,-1.842527,228.878243,-2.126223,234.767267,-2.387871,155.870344,-2.095602,237.379376,-2.253575,306.546293,-1.781958,151.932676,-1.889062,209.485148,-1.580085,273.226890,-1.776582,185.562660,-1.693443,244.057391,-1.440863,197.021275,-2.024782,203.583709,-1.532293,214.535950,-1.631589,236.035987,-2.208153,205.494045,-1.408244,254.211205,-1.855928,212.422485,-1.888871,181.167858,-1.691436,349.207601,-1.729141,381.656081,-1.703242,203.749412,-1.943269,322.151639,-1.606485,218.796718,-1.753661,211.784999,-1.814145,197.860832,-1.632039,188.076112,-1.537627,261.867266,-1.767318,276.801573,-1.369889,273.494243,-1.370865
3684274546.312762,0.027344,293.873488,-2.246762,257.753509,-2.043245,233.482306,-2.272025,262.889845,-2.527486,237.115461,-2.670510,173.178205,-2.354542,186.777988,-2.478392,309.723815,-2.484891,162.242595,-2.138283,193.938313,-1.629688,391.276488,-2.076889,196.519139,-1.638169,192.999376,-1.667206,174.490506,-2.363790,210.052742,-1.672310,213.695926,-1.692320,190.079543,-2.377900,210.970343,-1.698518,251.402750,-2.078470,186.699645,-2.201263,155.022345,-1.868550,257.845630,-2.031472,275.588977,-1.942985,209.725711,-1.969736,273.282368,-1.900451,201.163675,-2.083821,179.823848,-1.929914,150.051796,-1.741319,145.619345,-1.648379,273.646964,-1.675155,208.367736,-1.408382,258.941023,-1.258095
3684274546.412494,0.015625,328.709299,-2.301214,293.108640,-2.241571,259.019263,-2.091986,192.651098,-2.591002,204.154963,-2.610626,176.531954,-2.288509,182.389795,-2.533587,270.448714,-2.115625,155.997752,-2.251608,194.909228,-1.888693,289.387054,-2.036091,180.575184,-1.855179,191.531205,-1.937670,178.898753,-2.303592,182.054268,-1.899435,170.206616,-1.666603,206.830624,-2.337117,196.560680,-1.739127,247.775985,-2.054349,196.097824,-2.223094,156.015242,-1.915163,272.618547,-1.898541,282.766366,-2.225372,199.041585,-2.116510,253.515056,-2.069854,233.622606,-2.173531,203.971021,-2.112394,161.895144,-1.668118,169.410074,-1.670344,331.186535,-1.710395,273.794427,-1.540815,204.053669,-1.670583
3684274546.512238,0.015625,236.977981,-2.171984,284.016555,-1.983212,296.043113,-2.224412,262.729914,-2.451071,266.850614,-2.232169,214.642860,-1.966576,214.634272,-2.259427,339.997525,-1.968085,186.356556,-2.060656,218.887854,-1.707974,334.626652,-1.942308,237.284963,-1.522497,226.757876,-1.572074,225.456640,-2.270764,210.106120,-1.578652,228.322166,-1.498314,228.616061,-2.201099,205.911156,-1.359176,333.874364,-2.112864,219.124551,-2.056662,186.784773,-1.637192,257.907727,-1.719481,280.362989,-1.668685,217.244212,-1.866456,272.716149,-1.871433,196.031267,-1.825353,233.029806,-1.622730,183.980275,-1.520879,159.869904,-1.533207,318.886820,-1.690146,250.341971,-1.176128,245.174104,-1.327101
3684274546.613955,0.007812,271.249187,-2.076334,277.819950,-2.129327,274.460386,-2.119232,256.868309,-2.242711,259.604640,-2.253091,154.889653,-2.011938,249.758366,-2.307742,293.211542,-2.049229,153.567460,-1.952817,167.400835,-1.755287,308.400099,-1.745371,238.073796,-1.703723,244.822690,-1.637752,210.730129,-2.302671,229.424535,-1.636221,196.093096,-1.404854,223.090169,-2.168349,198.671002,-1.534197,308.541685,-1.938174,204.665276,-2.035243,184.932170,-1.653364,399.032319,-1.963414,227.419647,-1.848490,238.230771,-2.170895,303.752464,-1.847043,218.071886,-2.064063,194.844499,-1.733631,176.389501,-1.525423,169.506777,-1.394428,303.883815,-2.063938,224.745608,-1.369755,245.188193,-0.994814
3684274546.714726,0.011719,255.350362,-2.144043,269.979722,-1.940057,341.522784,-1.996048,228.816236,-2.332722,228.167772,-2.218606,165.784592,-2.006273,206.789540,-2.229532,262.059566,-2.068527,160.593349,-1.863894,199.933224,-1.613775,321.471714,-1.849407,183.640843,-1.401568,179.849483,-1.461461,198.078717,-2.125741,151.875600,-1.398844,209.912892,-1.460916,207.367863,-1.892108,201.493462,-1.303618,283.131483,-1.661454,176.702329,-1.966079,153.978947,-1.618368,301.452716,-1.614329,212.593556,-1.779083,198.493252,-1.830872,237.111261,-1.318151,181.480435,-1.665553,174.620065,-1.690668,166.411721,-1.250953,149.757309,-1.339366,238.576568,-1.607893,279.157463,-0.980426,232.882692,-0.861934
3684274546.815432,0.015625,250.382836,-2.095828,525.751926,-2.387852,298.030139,-1.528126,231.719604,-2.121993,277.025579,-2.146845,159.129833,-2.032215,241.610179,-2.164988,275.737134,-1.556068,174.401223,-1.902838,215.959744,-1.309090,343.658658,-2.262351,297.739579,-1.318645,264.594589,-1.270543,239.792938,-1.942303,190.724114,-1.253356,211.779192,-1.314032,182.762803,-1.878470,280.385335,-1.286382,347.089141,-1.741980,186.179386,-1.869355,189.887584,-1.562003,344.954219,-1.366701,266.816893,-1.415817,188.211790,-1.541430,303.449580,-1.365848,203.818400,-1.630544,191.357438,-1.467880,187.189233,-1.386397,215.363973,-1.242060,362.575455,-1.373197,236.244604,-0.885451,232.719398,-1.027467
3684274546.916162,0.015625,289.576695,-2.069788,239.056599,-2.250476,254.929891,-2.186011,223.120597,-2.300186,228.071084,-2.312086,167.927872,-2.180180,236.756105,-2.383281,298.580685,-2.129330,166.398453,-2.222394,220.854541,-1.826353,324.772127,-1.682797,199.314076,-1.818381,208.037952,-1.599447,184.349308,-2.309536,205.915839,-1.563798,190.856684,-1.624695,181.404159,-2.116690,228.403139,-1.641347,343.463916,-1.848064,181.219461,-2.094880,176.914982,-1.851681,286.281725,-1.809278,241.082651,-1.759995,220.901405,-1.987407,241.269549,-1.790672,179.544905,-1.945801,202.575540,-2.003440,169.321864,-1.705356,183.569324,-1.618046,267.700037,-1.760431,218.013472,-1.413109,220.078717,-1.295744
3684274547.017890,0.011719,309.853322,-2.392007,241.524150,-2.423105,370.836244,-2.484740,209.417252,-2.504893,249.469537,-2.649536,176.549178,-2.446987,230.800208,-2.670574,353.945050,-2.059063,178.557526,-2.283010,205.605504,-2.008972,262.543543,-2.092808,215.809813,-1.986597,188.803286,-1.986524,236.408137,-2.673103,203.190066,-1.830734,221.218713,-1.985839,193.958381,-2.417472,193.733950,-1.871013,290.400469,-2.007308,252.482706,-2.352399,144.084524,-1.938909,253.727525,-2.021233,253.638873,-2.125389,205.861402,-2.218063,335.191259,-1.946090,201.519758,-2.169898,195.722003,-2.090412,185.589363,-1.950965,151.716538,-1.838615,397.216416,-1.477345,219.286447,-1.513723,225.624784,-1.563087
