Time,BER,Ch 00 (Mag),Ch 00 (Pha),Ch 01 (Mag),Ch 01 (Pha),Ch 02 (Mag),Ch 02 (Pha),Ch 03 (Mag),Ch 03 (Pha),Ch 04 (Mag),Ch 04 (Pha),Ch 05 (Mag),Ch 05 (Pha),Ch 06 (Mag),Ch 06 (Pha),Ch 07 (Mag),Ch 07 (Pha),Ch 08 (Mag),Ch 08 (Pha),Ch 09 (Mag),Ch 09 (Pha),Ch 10 (Mag),Ch 10 (Pha),Ch 11 (Mag),Ch 11 (Pha),Ch 12 (Mag),Ch 12 (Pha),Ch 13 (Mag),Ch 13 (Pha),Ch 14 (Mag),Ch 14 (Pha),Ch 15 (Mag),Ch 15 (Pha),Ch 16 (Mag),Ch 16 (Pha),Ch 17 (Mag),Ch 17 (Pha),Ch 18 (Mag),Ch 18 (Pha),Ch 19 (Mag),Ch 19 (Pha),Ch 20 (Mag),Ch 20 (Pha),Ch 21 (Mag),Ch 21 (Pha),Ch 22 (Mag),Ch 22 (Pha),Ch 23 (Mag),Ch 23 (Pha),Ch 24 (Mag),Ch 24 (Pha),Ch 25 (Mag),Ch 25 (Pha),Ch 26 (Mag),Ch 26 (Pha),Ch 27 (Mag),Ch 27 (Pha),Ch 28 (Mag),Ch 28 (Pha),Ch 29 (Mag),Ch 29 (Pha),Ch 30 (Mag),Ch 30 (Pha),Ch 31 (Mag),Ch 31 (Pha)
3684275910.897818,0.000000,304.738161,-1.399124,390.728293,-1.396424,259.185799,-1.698486,255.592397,-1.674917,216.090444,-1.697740,190.183738,-1.447897,195.924125,-1.655358,290.406285,-1.433082,156.100605,-1.443912,215.199345,-0.975663,381.633414,-1.563887,188.753718,-1.204650,194.812343,-1.178490,206.840409,-1.617395,209.733939,-1.076891,193.095902,-1.060170,193.461373,-1.570576,218.785517,-1.000621,282.065573,-1.310665,208.359554,-1.398938,181.988949,-1.090102,344.479041,-1.201641,256.436197,-1.194241,183.608836,-1.352190,409.856406,-1.367277,176.935180,-1.370802,181.231723,-1.208542,180.533344,-0.904200,222.877678,-1.060277,255.818795,-1.246650,270.224920,-0.823183,253.956167,-0.740439
3684275910.997553,0.000000,315.609000,-1.975376,267.546104,-1.671731,266.019583,-1.732044,208.936026,-2.128788,210.650851,-1.994492,174.112412,-1.857620,206.680334,-2.146786,282.251875,-1.540662,167.012439,-1.564566,168.749899,-1.487059,309.966137,-1.739641,215.656292,-1.407106,199.051521,-1.430125,213.833187,-1.866797,190.078766,-1.249005,196.124486,-1.441555,217.945805,-1.924847,208.979747,-1.267699,248.493815,-1.598948,184.145535,-1.866169,167.028657,-1.498460,279.628644,-1.529107,237.803082,-1.391770,195.325536,-1.641509,242.566884,-1.513733,200.818492,-1.411202,208.672941,-1.600656,166.382576,-1.290419,200.631855,-1.086949,220.380383,-1.643254,210.015191,-1.031970,211.198681,-1.094225
3684275911.098282,0.003906,259.891923,-2.099057,273.557471,-2.222631,260.290194,-1.984277,258.284585,-1.992520,202.609947,-1.989446,151.210306,-1.946808,207.713213,-1.961674,332.979240,-1.932994,165.666896,-1.859677,216.188235,-1.712433,281.241852,-1.966471,202.119598,-1.622587,170.289830,-1.600505,178.425541,-2.057376,189.894733,-1.422627,189.632891,-1.556425,197.370072,-1.909260,228.512192,-1.309547,268.109518,-1.638974,181.765136,-1.794751,170.708247,-1.605318,259.976224,-1.631968,328.350002,-1.688096,230.232088,-1.714765,268.121986,-1.605151,182.613028,-1.706335,195.838673,-1.636086,204.727786,-1.269392,179.148382,-1.408172,244.872602,-1.577996,275.325634,-1.229215,230.089298,-1.344979
3684275911.198315,0.015625,278.261803,-1.925531,234.218986,-2.007769,311.893211,-1.854896,186.305553,-2.135449,207.180002,-2.146676,152.484492,-1.966696,217.986950,-2.304346,236.316813,-2.110357,154.581494,-1.866470,195.106963,-1.585558,276.418764,-2.078015,166.620217,-1.675964,174.161299,-1.564159,185.467515,-2.116952,170.211822,-1.396557,205.241440,-1.461112,192.143020,-2.034782,190.726218,-1.558340,248.601178,-1.891584,220.126237,-2.098668,150.478504,-1.668182,231.606147,-1.726380,224.347913,-1.595151,161.827785,-1.736667,236.575035,-1.664197,169.600589,-1.838326,181.399603,-1.687464,168.978611,-1.496178,162.145572,-1.565106,279.825869,-1.558771,186.820482,-1.164640,233.744022,-1.146308
3684275911.298049,0.011719,291.032964,-1.960845,360.431279,-2.256401,252.292705,-2.019408,186.767417,-2.283984,206.413074,-2.258127,156.404588,-1.850315,196.655686,-2.221261,314.001268,-2.118211,168.565259,-1.731867,201.418306,-1.603856,260.982571,-1.832250,201.927682,-1.411567,154.999542,-1.447946,167.702496,-1.980299,153.891333,-1.437848,188.504234,-1.489581,171.868482,-2.129409,200.262732,-1.464287,268.781625,-1.902063,169.401361,-1.955202,151.619418,-1.579622,230.460250,-1.703016,240.906541,-1.855665,200.794368,-1.731656,245.379701,-1.737801,167.879983,-1.908947,166.339389,-1.632499,174.222029,-1.549700,147.844493,-1.441835,219.310982,-1.620770,244.584446,-0.978610,248.157988,-1.258549
3684275911.398779,0.011719,270.410567,-2.405485,275.994634,-2.314188,322.758016,-2.255637,187.299295,-2.389685,184.125597,-2.253307,143.465358,-2.023529,178.182645,-2.192035,244.594636,-2.218036,127.391206,-2.023141,167.342114,-1.651522,317.716220,-1.938572,195.536802,-1.634177,189.483966,-1.620459,177.496990,-2.160168,181.297548,-1.616265,170.980439,-1.499426,184.192658,-2.116492,179.658781,-1.628560,289.966597,-1.862862,170.361292,-1.996977,149.576113,-1.659349,247.111696,-1.884164,212.458608,-1.791534,169.026061,-1.962544,254.653654,-1.787860,184.870667,-1.829899,173.855192,-1.821371,163.347228,-1.687585,136.807154,-1.528625,252.355061,-1.451267,213.112069,-1.446824,185.732361,-1.242045
3684275911.498512,0.007812,232.832506,-2.159242,281.349209,-1.905954,258.839150,-2.268600,210.193684,-2.276320,225.960118,-2.329396,146.246352,-2.184356,194.494735,-2.259525,379.318032,-2.072507,149.589156,-1.958872,217.048713,-1.629163,347.719829,-2.023598,187.299318,-1.748541,170.805411,-1.542157,173.432077,-2.221237,173.757033,-1.492364,183.068425,-1.719859,181.504347,-2.160465,160.850225,-1.441804,301.739397,-1.751866,204.496412,-2.043489,156.618364,-1.797500,256.488908,-1.648507,213.067356,-1.909137,180.577832,-1.889576,229.809335,-1.936487,178.039763,-1.962343,177.783287,-1.932372,173.653117,-1.543188,161.437391,-1.582475,268.068617,-1.772171,195.942211,-1.350688,220.408719,-1.315255
3684275911.598272,0.007812,216.203737,-2.322601,314.121672,-2.288357,312.002175,-2.438885,178.973587,-2.375986,224.941167,-2.562143,153.738046,-2.064851,185.529317,-2.399221,291.694979,-2.161772,147.281548,-2.055057,205.216618,-1.809302,295.407144,-2.180288,166.374339,-1.770930,197.373633,-1.601093,211.767233,-2.370544,178.173000,-1.618537,166.012253,-1.647819,199.650264,-2.200215,178.422569,-1.562893,248.620793,-1.791866,196.371281,-1.992304,166.615758,-1.703896,288.340021,-1.732517,308.405076,-1.859708,179.744460,-1.836750,265.240254,-1.816295,192.135216,-2.066954,195.219031,-1.702042,148.893578,-1.707943,162.993448,-1.460164,264.460743,-1.911655,249.886416,-1.293520,283.672547,-1.357543
3684275911.698122,0.011719,267.048888,-2.069541,197.999722,-1.905130,224.949483,-1.967962,168.148134,-2.252824,173.446042,-2.291678,129.570374,-2.038957,157.214336,-2.205306,213.380466,-1.908853,110.587260,-1.966610,148.731360,-1.638232,274.803739,-1.914585,154.960827,-1.477335,156.784272,-1.377498,150.581545,-2.149860,144.655943,-1.378333,139.609312,-1.526201,167.377081,-1.976471,150.074636,-1.341376,227.055914,-1.640663,153.830726,-2.020425,122.084246,-1.640149,232.167347,-1.638543,204.394797,-1.764627,162.669539,-1.904655,218.454734,-1.698518,153.760074,-1.844246,157.586633,-1.712515,131.559483,-1.395594,114.639560,-1.374657,229.641629,-1.520121,161.390428,-1.195128,187.283620,-1.083993
3684275911.798969,0.011719,288.033598,-2.117483,279.219759,-2.177046,205.804259,-1.958179,166.392147,-2.194308,172.690435,-2.360959,125.923147,-2.074681,167.649183,-2.333726,198.449590,-1.895037,118.181556,-2.100060,146.946727,-1.710224,304.696626,-2.013967,163.841008,-1.541131,163.162999,-1.437269,154.804935,-2.187422,135.056363,-1.532798,155.610719,-1.447062,174.025618,-2.199084,180.116712,-1.331131,268.974335,-1.873267,148.824128,-1.961389,129.457551,-1.759222,205.519392,-1.553061,197.207243,-1.755252,150.214364,-1.862419,199.063453,-1.693275,138.939661,-1.871454,153.886342,-1.781912,123.244713,-1.381832,154.026579,-1.403764,265.033307,-1.876391,195.142914,-1.185688,166.214181,-0.909227
