Time,BER,Ch 00 (Mag),Ch 00 (Pha),Ch 01 (Mag),Ch 01 (Pha),Ch 02 (Mag),Ch 02 (Pha),Ch 03 (Mag),Ch 03 (Pha),Ch 04 (Mag),Ch 04 (Pha),Ch 05 (Mag),Ch 05 (Pha),Ch 06 (Mag),Ch 06 (Pha),Ch 07 (Mag),Ch 07 (Pha),Ch 08 (Mag),Ch 08 (Pha),Ch 09 (Mag),Ch 09 (Pha),Ch 10 (Mag),Ch 10 (Pha),Ch 11 (Mag),Ch 11 (Pha),Ch 12 (Mag),Ch 12 (Pha),Ch 13 (Mag),Ch 13 (Pha),Ch 14 (Mag),Ch 14 (Pha),Ch 15 (Mag),Ch 15 (Pha),Ch 16 (Mag),Ch 16 (Pha),Ch 17 (Mag),Ch 17 (Pha),Ch 18 (Mag),Ch 18 (Pha),Ch 19 (Mag),Ch 19 (Pha),Ch 20 (Mag),Ch 20 (Pha),Ch 21 (Mag),Ch 21 (Pha),Ch 22 (Mag),Ch 22 (Pha),Ch 23 (Mag),Ch 23 (Pha),Ch 24 (Mag),Ch 24 (Pha),Ch 25 (Mag),Ch 25 (Pha),Ch 26 (Mag),Ch 26 (Pha),Ch 27 (Mag),Ch 27 (Pha),Ch 28 (Mag),Ch 28 (Pha),Ch 29 (Mag),Ch 29 (Pha),Ch 30 (Mag),Ch 30 (Pha),Ch 31 (Mag),Ch 31 (Pha),RSS
0.000000,0.000000,24.082093,-1.283303,24.497581,-1.258099,24.344958,-1.179850,23.597977,-1.164348,23.337002,-1.041314,22.825824,-1.073437,24.365105,-0.975971,23.317835,-0.935635,24.023225,-0.900754,23.041920,-0.873970,23.353966,-0.844060,23.202936,-0.761140,23.404278,-0.761588,22.056878,-0.699598,23.907095,-0.665440,22.833391,-0.581718,23.364817,-0.532204,23.067028,-0.485571,23.086820,-0.457761,22.640856,-0.453176,22.449648,-0.404063,24.558389,-0.325760,23.492812,-0.270416,24.189217,-0.225436,23.247016,-0.228170,23.381278,-0.173961,23.606212,-0.050758,24.782192,-0.063219,24.563274,-0.031411,25.538147,0.029761,24.057214,0.108278,24.845333,0.103150,-31.402475
0.100000,0.000000,24.482007,-1.218589,25.566424,-1.201798,24.452834,-1.107902,24.050923,-1.100788,24.039480,-0.981122,24.426093,-1.035445,25.107287,-0.942300,23.861902,-0.878725,24.843932,-0.840154,23.849181,-0.826781,24.262031,-0.812140,23.836229,-0.734728,23.353354,-0.687707,22.936509,-0.689061,24.398110,-0.607115,24.200930,-0.562519,24.562971,-0.500111,23.953723,-0.456124,24.010573,-0.431662,24.468762,-0.452346,22.541220,-0.355319,24.377563,-0.285070,23.915250,-0.241279,24.503215,-0.213613,23.149583,-0.156760,23.684050,-0.117670,25.492789,-0.031969,24.900253,-0.010398,25.690237,0.050292,25.297691,0.106055,24.608219,0.146486,25.921646,0.137598,-31.680737
0.200000,0.000000,26.339645,-1.088313,25.538805,-1.106789,25.011713,-1.038238,25.246782,-0.962655,24.575233,-0.940450,25.154830,-0.934138,24.755458,-0.797865,24.952102,-0.783548,24.096534,-0.737394,23.855360,-0.714488,24.460484,-0.676085,24.634333,-0.630766,24.277682,-0.568684,23.355275,-0.551477,23.534765,-0.495709,24.647449,-0.412285,25.104257,-0.382483,24.071294,-0.356104,25.271859,-0.266047,24.308669,-0.292866,24.697874,-0.196151,26.085195,-0.193196,23.588409,-0.101892,24.426446,-0.046792,23.928973,-0.037143,24.555215,0.019506,24.422203,0.026723,25.912742,0.103829,26.533941,0.115396,25.078494,0.168864,25.843823,0.261587,25.829523,0.248534,-31.822593
0.301000,0.000000,26.434243,-0.858870,27.437075,-0.782758,26.847867,-0.726355,26.100417,-0.701881,26.885825,-0.604416,26.057360,-0.610357,26.956494,-0.561612,26.480869,-0.502890,25.838597,-0.447127,26.157319,-0.442214,26.570713,-0.413184,25.949010,-0.346089,26.010893,-0.325664,24.479383,-0.295115,26.336846,-0.261780,24.855018,-0.142241,26.627137,-0.100170,24.883589,-0.069125,26.584893,-0.020216,25.233117,-0.005323,25.986803,0.009847,27.000169,0.099863,25.398338,0.131561,26.985467,0.187128,24.637078,0.249669,25.726247,0.287492,26.981290,0.309223,27.150642,0.357295,25.955438,0.431052,26.040300,0.457641,26.811625,0.521856,28.415328,0.547533,-32.286727
0.401000,0.000000,29.066996,-0.655247,29.321641,-0.625578,29.499497,-0.532582,29.020394,-0.522217,28.520043,-0.418123,29.385503,-0.453141,29.722357,-0.380583,28.676501,-0.339800,28.094079,-0.291803,28.119043,-0.256962,28.644628,-0.224503,28.716590,-0.190693,28.247951,-0.119298,26.202277,-0.095394,28.238514,-0.072555,27.756875,-0.003647,28.283651,0.040387,26.965148,0.141836,27.753147,0.174728,28.027307,0.175134,27.221638,0.244644,29.056470,0.312903,27.377139,0.348431,29.370096,0.370427,27.166110,0.396511,27.948750,0.449201,29.199778,0.516761,29.266371,0.531929,28.180045,0.604420,29.826395,0.691359,30.235259,0.701723,30.801622,0.714256,-33.064110
0.501000,0.000000,31.911900,-0.529155,32.929913,-0.526710,30.913092,-0.437162,32.381434,-0.423897,31.541183,-0.346736,29.680890,-0.351242,31.937727,-0.307140,31.270417,-0.225590,30.680292,-0.202145,31.064327,-0.144936,32.030886,-0.147718,31.852825,-0.050957,31.275767,-0.047008,29.170744,-0.044888,31.704527,0.022479,30.166288,0.091091,31.609312,0.193548,30.617696,0.253474,31.689075,0.241757,30.714323,0.242629,29.966744,0.307024,31.184896,0.356753,31.434788,0.434853,32.378377,0.471288,30.267191,0.480508,31.683650,0.531310,32.584716,0.626917,32.633622,0.686633,31.557122,0.695806,31.534818,0.722724,31.202675,0.783260,33.804674,0.781640,-33.845206
0.601000,0.000000,34.688866,-0.555932,34.934406,-0.488603,34.482992,-0.447633,35.068090,-0.433440,32.546013,-0.326389,33.080588,-0.392791,35.695605,-0.266136,33.552868,-0.264477,33.348293,-0.197556,33.263641,-0.132049,33.099809,-0.157718,34.151558,-0.103500,33.206947,-0.025587,32.103083,-0.013997,32.429292,0.046550,32.943763,0.114842,32.769777,0.184108,31.902889,0.213342,34.727940,0.253732,32.349021,0.278390,33.014887,0.313548,34.268953,0.347253,33.715537,0.425174,34.465604,0.510099,32.896566,0.513006,33.598514,0.554732,35.101004,0.600235,35.546520,0.649574,34.000884,0.666755,35.953137,0.794999,35.669842,0.786523,35.637501,0.796836,-34.517995
0.702000,0.000000,37.592149,-0.532162,34.947509,-0.520613,35.038040,-0.464070,35.610101,-0.408978,35.798353,-0.377145,34.223478,-0.328883,34.335665,-0.271696,35.125436,-0.182177,34.385384,-0.135952,35.952689,-0.162520,33.807789,-0.110109,35.558872,-0.125522,33.794410,0.037080,32.950009,0.061273,35.421067,0.094745,35.067118,0.056220,35.598553,0.169943,35.214813,0.242769,34.355898,0.207331,36.388425,0.286509,34.271668,0.367050,34.821484,0.409004,34.242847,0.476286,36.376735,0.534026,34.419933,0.531272,33.353305,0.571847,34.920169,0.622709,34.753892,0.651935,34.629483,0.729172,34.741717,0.755109,37.919621,0.756029,35.776393,0.876016,-34.754972
0.802000,0.000000,45.161466,-0.096813,44.952089,-0.035850,41.264788,-0.011371,42.294255,0.021500,40.819924,0.054946,40.118763,0.103767,41.797972,0.184150,41.243564,0.203198,40.271649,0.300437,40.701340,0.318599,41.582816,0.372055,42.580960,0.353876,39.148587,0.468711,38.452418,0.399448,38.466318,0.593155,42.062661,0.551435,39.314674,0.625962,39.410371,0.663284,41.146427,0.684257,39.098085,0.735379,38.827282,0.750923,39.214527,0.843103,40.578572,0.917585,42.553222,0.903222,40.398877,0.925365,42.224284,1.026382,40.299339,1.086073,43.684998,1.155643,44.280812,1.188443,43.157094,1.148712,42.549726,1.253122,43.949857,1.319704,-36.164760
0.902000,0.000000,48.073065,0.091527,49.492406,0.114866,46.304660,0.178556,43.865829,0.192552,45.627810,0.304739,44.196420,0.345936,47.623571,0.356105,46.579369,0.403210,43.644272,0.500113,44.868806,0.524605,44.578845,0.508067,48.029956,0.603242,43.473883,0.680875,43.251269,0.696630,46.712489,0.717828,43.035684,0.777876,46.093412,0.853983,44.965165,0.862265,46.971856,0.912257,45.126764,0.908481,45.186785,0.994680,45.715641,0.996474,45.788024,1.057227,46.470256,1.182643,44.747550,1.172835,44.414044,1.219370,48.264839,1.276764,47.416547,1.266637,46.673949,1.347144,48.334618,1.408339,47.866016,1.504126,50.754617,1.448708,-37.082234
1.002000,0.000000,52.107771,0.194117,54.095214,0.223488,51.085814,0.246223,49.508914,0.340248,51.345658,0.397182,50.957432,0.407926,53.280911,0.481813,52.199946,0.525982,49.787009,0.627132,49.885782,0.583953,49.905969,0.604293,47.677807,0.727633,50.423221,0.715126,47.580149,0.787664,50.316894,0.782512,48.478685,0.949360,49.278415,0.936212,47.591062,0.978961,47.134925,0.981126,50.019850,1.018128,46.569417,1.094450,51.980584,1.164874,49.773991,1.192209,50.807535,1.233415,50.388650,1.247685,48.066189,1.272628,55.170497,1.404777,50.745892,1.423477,51.306832,1.453169,51.460295,1.532281,52.917871,1.588728,55.141316,1.598616,-37.902257
1.102000,0.000000,43.805297,0.276406,42.953164,0.318142,41.013478,0.332933,43.191046,0.328890,42.720041,0.405068,41.174255,0.472861,42.725961,0.545932,42.973684,0.522498,41.970682,0.627694,39.956783,0.630659,40.726940,0.698604,42.216257,0.735853,40.673517,0.783522,39.081426,0.791775,39.066730,0.956465,40.588687,0.892773,40.980261,1.032014,40.310228,1.004806,39.728314,0.997870,38.949985,1.110228,38.870460,1.120551,38.698508,1.177883,40.182908,1.271004,43.520331,1.310295,42.689744,1.312297,41.076070,1.375843,39.204700,1.442819,42.308127,1.497623,42.335415,1.578300,42.143489,1.508456,39.750467,1.563748,45.347492,1.733799,-36.081420
1.202000,0.000000,44.457701,0.371274,43.176168,0.418540,44.434950,0.435662,43.178746,0.483712,43.108780,0.553920,43.669158,0.562234,41.677179,0.640982,44.590643,0.633278,42.303212,0.775646,42.393733,0.767958,41.996221,0.836146,44.323990,0.832987,39.829231,0.936123,40.482781,0.934779,41.644109,1.000174,41.923157,1.058923,44.349800,1.093134,40.672915,1.118306,42.906271,1.170690,43.023116,1.165275,41.837612,1.245103,44.011558,1.326348,41.464844,1.361992,43.278149,1.426023,42.623128,1.439499,42.695719,1.522824,43.302121,1.512956,44.043963,1.552681,44.377055,1.580334,45.407551,1.700061,44.911357,1.682581,47.297003,1.719460,-36.549617
1.302000,0.000000,53.029718,0.486050,52.000011,0.553845,53.015661,0.549878,53.980895,0.604443,50.752315,0.748413,50.366019,0.690072,51.868607,0.820629,51.575164,0.818874,48.579301,0.826701,47.913899,0.898169,49.088165,0.885747,49.259960,0.998565,48.266701,1.031320,45.773496,0.974772,49.808195,1.112486,49.782516,1.193125,50.153458,1.224242,49.783013,1.267164,49.608783,1.313592,47.311894,1.309951,47.010506,1.389738,48.062573,1.440757,49.858680,1.518574,50.513907,1.565670,48.953093,1.547228,49.783396,1.634624,53.895326,1.635706,52.244810,1.696245,52.210304,1.749338,49.749248,1.788094,53.152987,1.851343,50.878975,1.911771,-37.878000
