Time,BER,Ch 00 (Mag),Ch 00 (Pha),Ch 01 (Mag),Ch 01 (Pha),Ch 02 (Mag),Ch 02 (Pha),Ch 03 (Mag),Ch 03 (Pha),Ch 04 (Mag),Ch 04 (Pha),Ch 05 (Mag),Ch 05 (Pha),Ch 06 (Mag),Ch 06 (Pha),Ch 07 (Mag),Ch 07 (Pha),Ch 08 (Mag),Ch 08 (Pha),Ch 09 (Mag),Ch 09 (Pha),Ch 10 (Mag),Ch 10 (Pha),Ch 11 (Mag),Ch 11 (Pha),Ch 12 (Mag),Ch 12 (Pha),Ch 13 (Mag),Ch 13 (Pha),Ch 14 (Mag),Ch 14 (Pha),Ch 15 (Mag),Ch 15 (Pha),Ch 16 (Mag),Ch 16 (Pha),Ch 17 (Mag),Ch 17 (Pha),Ch 18 (Mag),Ch 18 (Pha),Ch 19 (Mag),Ch 19 (Pha),Ch 20 (Mag),Ch 20 (Pha),Ch 21 (Mag),Ch 21 (Pha),Ch 22 (Mag),Ch 22 (Pha),Ch 23 (Mag),Ch 23 (Pha),Ch 24 (Mag),Ch 24 (Pha),Ch 25 (Mag),Ch 25 (Pha),Ch 26 (Mag),Ch 26 (Pha),Ch 27 (Mag),Ch 27 (Pha),Ch 28 (Mag),Ch 28 (Pha),Ch 29 (Mag),Ch 29 (Pha),Ch 30 (Mag),Ch 30 (Pha),Ch 31 (Mag),Ch 31 (Pha),RSS
0.000000,0.000000,289.898231,-0.784399,264.078268,-0.865262,233.501806,-0.688582,215.943333,-0.837289,272.897763,-0.979645,240.872112,-0.577227,291.006267,-0.610924,228.842490,-0.737570,205.137366,-0.815738,241.629767,-0.781562,213.047979,-0.548844,225.971812,-0.841018,219.672964,-0.662305,183.266609,-0.475400,223.281257,-0.916577,223.572872,-0.341723,263.857551,-0.686027,226.828337,-0.477056,275.005963,-0.306638,210.344844,-0.563171,229.056377,-0.375540,231.669821,-0.436166,246.068533,-0.320020,230.324177,-0.458074,204.166959,-0.447789,223.166756,-0.373719,216.953327,-0.231268,239.782053,-0.184294,253.839605,-0.221209,228.650392,-0.466629,273.611684,-0.326285,210.012846,-0.058989,-50.633148
0.100000,0.000000,325.112066,-0.886013,264.311226,-0.879499,301.504547,-0.746198,237.383117,-0.817995,265.481190,-0.781706,278.443711,-0.501154,277.983214,-0.804093,377.502176,-0.609968,295.202787,-0.544276,323.835710,-0.642427,244.200748,-0.639992,279.662650,-0.901962,373.347560,-0.685224,295.746509,-0.546504,387.030425,-0.769973,276.677529,-0.369555,386.523687,-0.469313,332.989232,-0.367233,327.596162,-0.454911,301.956702,-0.192872,335.787364,-0.579161,330.963623,-0.493016,329.927593,-0.133760,326.879681,-0.377684,272.496676,-0.283604,319.281677,-0.368621,328.726809,-0.259000,294.280381,-0.562983,243.791717,-0.163582,310.380957,-0.131234,253.891377,-0.267779,437.035991,-0.597529,-52.604220
0.200000,0.000000,279.892089,-0.999684,251.712508,-1.127813,299.406685,-1.026715,310.355561,-0.855727,300.540810,-0.955962,238.253121,-0.812300,236.570435,-1.087720,284.686238,-0.733392,252.892963,-0.797183,248.402664,-0.736290,287.142648,-0.900521,260.025494,-1.058613,241.856080,-1.002450,242.321146,-0.843904,277.365058,-0.812951,279.532752,-0.766941,244.432289,-0.703617,304.094103,-0.627049,230.961790,-0.876651,228.334059,-0.886473,309.392420,-0.555568,213.310430,-0.590301,270.434191,-0.730790,217.196209,-0.706302,313.515794,-0.361888,264.382251,-0.224682,290.125229,-0.403201,304.788699,-0.614140,253.763925,-0.438999,248.827383,-0.407615,243.489506,-0.476726,217.340254,-0.209816,-51.331999
0.300000,0.000000,528.546039,-0.757926,551.956288,-1.245321,790.246382,-0.523960,691.155392,-0.741646,556.832231,-0.475812,562.287626,-0.568535,675.300646,-0.832466,512.204569,-0.653615,413.221445,-0.747796,415.988679,-1.014306,470.157040,-0.632373,480.896922,-0.248067,407.685450,-0.799405,430.588586,-0.475877,363.218137,-0.741303,509.013377,-0.144754,707.750196,-0.404318,596.183957,-0.238688,523.454676,-0.110789,497.097593,-0.575182,472.455713,-0.172227,930.948642,-0.209376,373.899524,-0.110340,457.905338,-0.444926,424.842716,-0.408674,737.930597,-0.055973,314.026206,-0.276130,484.583134,-0.478971,687.697875,-0.302113,458.654404,0.015527,835.424759,0.636911,382.237345,-0.167933,-56.668826
0.401000,0.020243,1108.351732,1.904618,837.163271,2.399589,1233.595666,2.272563,843.781992,3.041536,524.933695,2.895543,810.364279,-3.108588,480.484793,-2.583087,637.904160,-1.889588,554.772097,-1.845274,691.717626,-2.236351,499.107576,-1.347985,685.885938,-1.023341,638.959282,-1.392162,938.446778,-0.859510,841.161787,-0.600486,712.220820,-0.524388,482.131225,0.288410,789.667067,1.013580,722.001180,0.932232,409.010168,1.052678,723.693446,1.723305,759.830466,1.398424,407.849812,1.454213,994.009621,1.043524,479.616489,2.591388,488.958861,2.640615,748.559559,2.597111,491.937127,2.799416,431.616910,3.015355,696.843094,-2.956365,548.563032,-3.024111,1273.043442,-2.850639,-57.777264
0.501000,0.136364,796.387196,-0.477823,1494.980471,0.053925,404.761855,0.049415,895.214427,-0.623540,1583.779593,0.613131,1849.650597,0.723912,698.137555,0.203270,939.485489,-0.071508,558.150500,-0.239814,625.791795,-0.134880,911.187432,0.108089,808.150958,0.612306,1004.591782,0.409512,968.229569,0.473890,798.024590,0.303241,572.431060,0.145542,759.993882,-0.068833,671.867024,-0.081576,601.175132,0.744003,661.031865,-0.078463,1029.874040,0.524193,1120.133200,0.880146,2622.533980,0.908817,652.430066,0.748916,568.698204,0.687974,873.845734,0.799731,568.552996,-0.100865,679.691184,0.715801,902.076241,0.828350,1107.237634,0.847253,864.557671,0.654561,2036.956706,1.494720,-59.952182
0.601000,0.091324,928.346431,1.846370,983.264501,-0.577768,620.719978,0.692333,643.536239,1.273031,864.222384,1.120689,1429.701519,1.107220,1020.674616,1.265567,1341.252843,0.689573,724.405363,0.633638,929.174887,0.123575,727.048319,1.046119,718.205676,1.168643,754.855255,1.112364,837.412020,1.640332,566.074655,1.051893,649.900390,1.809695,839.397154,1.884544,1140.000257,1.937184,697.659721,1.666572,853.677862,1.872708,930.555788,2.259077,411.564109,1.826589,566.886882,2.398192,1629.390050,1.965399,718.584157,1.282463,1322.730354,2.220614,1279.630520,1.109123,482.123265,1.745013,1490.123500,2.529464,1521.921791,1.194817,700.993401,0.519751,1805.664381,1.048942,-59.597151
0.701000,0.173077,1704.245496,2.778122,1251.399772,-2.160736,698.925453,-1.721070,573.800279,2.650922,4320.652714,-2.569705,688.377514,-2.164573,554.595195,-2.985053,1151.333690,2.698322,1643.717871,3.088682,794.480917,2.764211,2899.334763,2.598181,999.567635,1.834115,2046.886331,2.383728,4431.985740,2.621229,1213.493387,0.609635,856.011411,0.350269,1273.686774,-0.111517,1228.220046,-0.494053,873.033508,-0.038835,1362.200098,1.165276,611.883313,-0.438444,1476.814033,-0.099650,841.503288,-0.414539,1261.518721,-0.744233,658.522682,-0.510295,1684.741756,-1.125323,1135.072295,-1.970491,2112.899554,-0.537822,2092.727005,-1.901745,1644.741865,-1.943458,1157.445428,-2.146192,1347.471126,-1.834248,-61.743603
0.801000,0.000000,350.026724,-1.220797,404.890661,-1.142197,441.081391,-1.040039,439.375628,-1.309441,343.991301,-1.076357,471.692023,-1.156081,309.808219,-0.912492,436.839956,-1.228242,333.340192,-1.035465,345.197136,-0.790408,398.693977,-1.104144,400.051016,-1.200935,480.337731,-1.063225,404.011014,-0.885255,393.686934,-0.754247,452.548775,-0.716234,534.327337,-0.881372,353.432210,-0.821812,298.383108,-0.949450,398.714331,-0.767889,441.015486,-0.655487,256.733050,-0.534562,419.319380,-0.484122,325.096163,-0.730570,427.066462,-0.943988,396.051108,-0.432980,436.797387,-0.550097,353.637258,-0.512224,346.619477,-0.452032,317.448989,-0.238004,556.432232,-1.268428,306.663317,-0.488971,-54.338370
0.901000,0.000000,301.275636,-0.974395,376.897773,-1.061608,430.852266,-0.873341,288.971577,-1.110526,309.451814,-0.776067,333.949896,-0.921552,429.299684,-0.907213,311.551424,-0.959936,327.266029,-0.574482,345.088380,-0.632546,422.266780,-1.063233,339.445180,-0.959797,378.523448,-0.697188,321.446346,-0.857116,343.392223,-0.792740,303.407055,-0.470272,310.808791,-0.836279,331.230319,-0.821650,261.335625,-0.661251,353.963969,-0.411208,369.001678,-0.714519,326.523935,-0.540548,442.633133,-0.933075,414.115249,-0.311258,287.580639,-0.630921,548.236484,-0.762077,399.958199,-0.514346,332.769036,-0.722966,508.113779,-0.760201,410.508913,-0.727296,295.879869,-0.353320,330.166296,-0.399857,-53.929161
1.001000,0.000000,371.318494,-1.172370,399.942500,-1.052951,288.106222,-1.053712,389.164118,-1.002868,312.508537,-0.717426,291.811287,-0.854006,350.428136,-0.681788,397.554250,-0.660303,343.029331,-0.639326,308.636269,-0.613595,345.769364,-0.328486,493.304461,-0.542666,299.609076,-0.645357,343.278813,-0.547334,387.310189,-0.484992,320.344971,-0.443941,317.992372,-0.471284,385.270401,-0.681857,294.975733,-0.684784,341.476134,-0.727764,300.128390,-0.458415,327.532415,-0.496408,291.333310,-0.323226,355.295672,-0.049018,430.087951,-0.204858,335.272735,-0.537152,335.395943,-0.275977,429.926428,-0.142091,325.473102,-0.629661,476.685332,-0.120929,292.070326,-0.128288,322.615056,-0.401438,-53.251885
1.101000,0.000000,325.417803,-0.919295,269.096308,-0.857098,271.947802,-1.018611,321.934779,-0.694649,279.312407,-0.873186,293.680646,-0.895248,291.340505,-0.476711,245.039151,-0.728854,280.920701,-0.487362,219.139097,-0.449832,231.123533,-0.595742,236.163506,-0.896545,278.298008,-0.469917,315.976137,-0.566199,349.076621,-0.474283,328.147504,-0.645284,272.207426,-0.648697,239.171734,-0.601175,243.291086,-0.418176,330.766699,-0.789379,240.361624,-0.468734,291.233138,-0.274215,297.898842,-0.469692,249.174555,-0.584699,192.438207,-0.300972,339.669655,-0.393040,262.572313,-0.451920,295.121815,-0.127846,292.629304,-0.154868,246.178066,-0.387595,274.287360,-0.009602,281.734799,-0.235444,-51.875729
1.201000,0.000000,341.317625,1.098092,433.054809,1.299143,272.824464,0.850586,289.799384,0.796227,335.866540,0.403371,225.554294,0.828867,279.886726,0.449494,344.082229,0.460177,329.401766,0.593922,397.997594,0.172974,373.272455,0.170377,213.196242,0.015511,309.253896,-0.072826,353.753756,-0.510867,358.562738,-0.107201,283.240618,-0.455928,352.798299,-0.569998,334.451574,-0.523047,339.565281,-0.557225,342.249689,-0.914958,240.112679,-0.700849,278.663586,-0.868404,265.283600,-1.154329,277.970023,-1.520933,246.973706,-1.241807,303.730094,-1.307418,302.118546,-1.922457,230.961942,-1.223068,345.405989,-2.092220,338.044249,-1.673428,307.845432,-1.886576,324.213028,-2.020886,-52.569530
1.301000,0.004049,330.270269,-0.696508,574.354732,-0.446004,422.615938,-0.438789,325.172217,-0.493012,405.392228,-0.518783,427.151091,-0.777966,377.994885,-0.668127,300.484432,-0.509429,454.064046,-0.243726,441.484154,-0.492400,278.218298,-0.333963,273.167858,-0.561652,334.708880,-0.385189,332.804221,-0.261405,407.734417,-0.596869,514.430473,-0.649739,449.094025,-0.282233,582.484440,-0.094964,380.283424,0.148130,348.432702,-0.020068,388.202751,0.062410,556.693401,-0.502517,426.442750,-0.448815,445.971604,-0.195587,678.335168,-0.286450,384.249825,-0.296840,558.133849,0.216460,380.164982,0.028311,423.664879,-0.258617,378.053714,0.172154,373.562620,-0.257759,353.407387,0.152849,-54.887435
1.401000,0.000000,315.516174,-0.434339,303.210534,-0.344989,304.618335,-0.410734,308.896679,-0.209105,326.635704,-0.276372,288.021617,-0.135656,242.198591,-0.126172,303.207927,-0.115510,267.275056,0.066704,258.819398,-0.203285,276.234338,-0.059776,266.142831,-0.091917,221.234788,-0.244277,250.085586,-0.194397,238.006461,-0.175665,239.366264,-0.074259,274.362748,0.049876,267.302429,-0.207376,286.598541,0.115151,250.533449,0.006481,332.906454,-0.004225,306.854433,0.195648,242.642460,-0.015108,234.598750,0.331438,208.616967,0.123160,229.908720,0.071313,369.129132,0.265152,282.870299,0.258526,281.880538,0.266193,248.248351,0.107583,274.666368,0.004267,307.061093,0.111863,-51.948271
