Time,BER,Ch 00 (Mag),Ch 00 (Pha),Ch 01 (Mag),Ch 01 (Pha),Ch 02 (Mag),Ch 02 (Pha),Ch 03 (Mag),Ch 03 (Pha),Ch 04 (Mag),Ch 04 (Pha),Ch 05 (Mag),Ch 05 (Pha),Ch 06 (Mag),Ch 06 (Pha),Ch 07 (Mag),Ch 07 (Pha),Ch 08 (Mag),Ch 08 (Pha),Ch 09 (Mag),Ch 09 (Pha),Ch 10 (Mag),Ch 10 (Pha),Ch 11 (Mag),Ch 11 (Pha),Ch 12 (Mag),Ch 12 (Pha),Ch 13 (Mag),Ch 13 (Pha),Ch 14 (Mag),Ch 14 (Pha),Ch 15 (Mag),Ch 15 (Pha),Ch 16 (Mag),Ch 16 (Pha),Ch 17 (Mag),Ch 17 (Pha),Ch 18 (Mag),Ch 18 (Pha),Ch 19 (Mag),Ch 19 (Pha),Ch 20 (Mag),Ch 20 (Pha),Ch 21 (Mag),Ch 21 (Pha),Ch 22 (Mag),Ch 22 (Pha),Ch 23 (Mag),Ch 23 (Pha),Ch 24 (Mag),Ch 24 (Pha),Ch 25 (Mag),Ch 25 (Pha),Ch 26 (Mag),Ch 26 (Pha),Ch 27 (Mag),Ch 27 (Pha),Ch 28 (Mag),Ch 28 (Pha),Ch 29 (Mag),Ch 29 (Pha),Ch 30 (Mag),Ch 30 (Pha),Ch 31 (Mag),Ch 31 (Pha),RSS
0.000000,0.000000,45.290341,0.430894,41.564633,0.566163,41.098967,0.586111,41.311696,0.729258,41.380080,0.756629,41.842033,0.883988,41.372838,0.982964,43.840933,1.098952,38.631164,1.204623,40.451226,1.333757,41.656425,1.390849,41.240008,1.448449,39.467961,1.597289,38.439338,1.653411,37.482268,1.772662,41.386295,1.903926,42.842382,1.983838,40.371558,2.048448,39.938738,2.181311,38.954670,2.219828,41.152755,2.352604,42.011445,2.479679,40.534723,2.534604,41.855492,2.726642,39.513274,2.731755,39.528325,2.813857,42.608092,2.915672,43.449707,3.044211,42.717630,3.108377,41.989850,-3.077833,43.582869,-2.965000,42.187274,-2.898423,-36.194417
0.101000,0.000000,45.196942,0.481002,41.547690,0.478019,43.910040,0.564408,42.343126,0.700879,44.454487,0.774124,41.466233,0.859256,41.134505,0.968300,43.131146,1.092737,41.848213,1.209035,42.112972,1.262046,40.977364,1.373577,42.258740,1.437470,41.423153,1.552827,39.601641,1.651446,40.777748,1.750829,39.782349,1.849882,42.714718,1.955292,41.334146,2.060789,44.014525,2.190293,40.948569,2.178790,41.938465,2.403101,42.722559,2.468405,42.252247,2.532868,41.532255,2.679814,41.994432,2.737450,42.612978,2.909801,41.204991,2.942442,43.451369,3.012411,43.585599,3.103623,45.234375,-3.080842,45.117099,-2.949766,45.360370,-2.905270,-36.443403
0.201000,0.000000,46.307639,2.248924,47.842142,2.276901,46.544649,2.213170,47.055455,2.220954,46.310649,2.101485,48.298376,2.091889,42.188566,2.154912,45.733083,2.086434,51.202640,2.043569,49.543308,1.958854,42.794517,1.998823,48.335126,1.950409,45.017946,1.955213,44.178824,1.883861,45.981362,1.864328,47.570815,1.878469,42.697692,1.796825,46.196808,1.838998,47.301255,1.717826,46.582928,1.707150,46.354001,1.748058,49.324127,1.678915,43.064273,1.691321,45.825181,1.591045,47.332937,1.560757,45.171574,1.567517,43.520394,1.568103,42.363394,1.549988,45.586466,1.503256,47.607788,1.488341,49.259562,1.466206,51.349469,1.453541,-37.080049
0.301000,0.000000,47.577594,0.531085,43.662531,0.556737,44.474177,0.684546,44.018002,0.743028,42.979257,0.894572,46.545480,0.935084,45.823841,1.092470,47.958105,1.159547,43.843541,1.250505,44.579298,1.362428,44.863994,1.426830,46.356427,1.535013,45.098847,1.637080,42.029576,1.756872,44.252428,1.841051,45.371210,1.953046,46.368592,2.032492,43.592898,2.119528,47.001242,2.268371,44.400736,2.250166,45.687156,2.446227,46.581228,2.487903,44.896382,2.609892,44.055403,2.760525,44.803064,2.843438,42.925802,2.936304,45.400274,2.989065,47.234715,3.115930,45.434987,-3.079785,47.680934,-3.038715,48.625807,-2.932245,46.105552,-2.820601,-37.034706
0.401000,0.000000,45.454112,0.614577,42.685764,0.677300,45.017432,0.762547,42.533758,0.902161,42.325539,0.966750,42.474184,1.048558,42.590936,1.174585,45.635086,1.271370,40.600621,1.376078,42.902100,1.469892,43.925325,1.556163,43.751964,1.646263,42.433777,1.779305,42.533869,1.771174,40.556644,1.901534,41.754833,2.082746,44.001285,2.143466,40.957537,2.241628,44.592807,2.386056,41.846529,2.375963,42.060232,2.504859,44.471864,2.646958,40.553480,2.759712,43.057226,2.855249,43.510553,2.896221,43.707326,3.020728,43.180445,-3.139330,46.506817,-3.033883,45.047653,-2.970646,45.014797,-2.928976,44.047070,-2.727166,44.059305,-2.731062,-36.602896
0.502000,0.000000,48.205344,0.562446,48.140111,0.572112,46.336677,0.708560,46.281220,0.859607,45.086304,0.889868,45.877198,0.966845,45.996031,1.092397,48.985684,1.185995,44.024213,1.316807,47.186443,1.416910,47.439002,1.471619,45.606255,1.531600,47.984671,1.709833,45.946748,1.765078,46.935443,1.849621,46.014714,2.022733,49.609497,2.102615,44.620825,2.145284,48.229899,2.284714,46.083965,2.311102,47.332977,2.455282,48.454595,2.583900,45.702927,2.690877,44.964664,2.740694,45.729367,2.835975,45.049120,2.960959,49.086123,3.005881,51.020003,-3.104271,51.725946,-3.066657,47.560950,-2.986002,48.297445,-2.847696,49.319804,-2.741163,-37.294829
0.603000,0.000000,53.773963,2.507027,52.212844,2.354275,49.438371,2.395054,49.522258,2.374931,49.782090,2.394935,48.360844,2.266688,47.997292,2.296086,50.443025,2.265417,47.516598,2.246495,47.748388,2.198744,49.313764,2.180395,50.330830,2.056810,45.225136,2.072752,45.705722,2.070847,47.119172,2.058179,50.753772,2.032006,50.776337,2.037459,50.104767,1.936004,50.190860,1.962392,49.896973,1.844669,48.899560,1.868206,50.710062,1.812814,49.752656,1.829626,48.984289,1.843475,49.670281,1.767154,47.779489,1.789600,50.546722,1.712672,53.543599,1.588789,53.363995,1.675744,54.286907,1.619235,52.733270,1.598963,52.049669,1.538737,-37.833906
0.703000,0.000000,47.105382,2.376764,44.910811,2.287650,45.208715,2.282124,44.989477,2.274006,44.586236,2.176988,43.027725,2.180332,45.463774,2.180068,45.739181,2.162703,43.412294,2.105549,43.500801,2.083498,44.317748,2.028001,44.870988,1.964927,42.735499,1.990663,41.579375,1.932112,43.446947,1.941403,43.779712,1.910981,44.131491,1.906382,42.741251,1.819774,44.094024,1.813458,43.198733,1.759534,43.479639,1.782415,46.147405,1.730408,42.675157,1.734345,42.467391,1.757762,43.681639,1.668786,42.220472,1.653126,43.491201,1.636280,46.043487,1.581593,45.179712,1.564746,46.376608,1.550123,46.021305,1.505906,48.064178,1.443627,-36.819819
0.804000,0.000000,39.698509,0.432549,38.316651,0.468124,38.878081,0.579830,37.973718,0.695132,37.220262,0.779326,39.933141,0.847696,37.388910,1.013445,38.451708,1.087692,36.307264,1.203111,37.347084,1.254924,37.556971,1.356540,38.139650,1.427725,36.995842,1.589213,37.073488,1.609053,36.710646,1.758223,38.167968,1.859975,38.184350,1.923870,36.166794,2.012430,37.089066,2.103828,37.497280,2.201042,36.922978,2.305051,38.336860,2.423283,36.955459,2.553874,36.379036,2.661873,37.521927,2.723352,36.523523,2.830186,37.505251,2.896376,40.140374,3.008484,39.156503,3.082171,40.095282,-3.086855,38.848409,-3.028990,38.651275,-2.936344,-35.497226
0.904000,0.000000,40.102490,0.453443,38.437009,0.539315,38.438224,0.603029,37.060628,0.755678,38.729111,0.822944,38.513642,0.869499,37.640693,1.053684,39.399252,1.106805,37.247042,1.227244,37.795762,1.325638,38.384563,1.375819,37.683204,1.471429,37.042617,1.627912,35.766495,1.664083,37.773253,1.794910,37.080962,1.923079,38.835093,1.981191,36.988542,2.042301,38.124608,2.186755,37.858670,2.231046,38.386404,2.381411,40.010136,2.468426,36.645108,2.582469,36.728360,2.680602,36.989420,2.739324,36.666265,2.853588,39.777398,2.952290,40.284768,3.002219,40.613742,-3.115048,40.274064,-3.037277,39.062376,-2.980089,40.650790,-2.892506,-35.547627
