Time,BER,Ch 00 (Mag),Ch 00 (Pha),Ch 01 (Mag),Ch 01 (Pha),Ch 02 (Mag),Ch 02 (Pha),Ch 03 (Mag),Ch 03 (Pha),Ch 04 (Mag),Ch 04 (Pha),Ch 05 (Mag),Ch 05 (Pha),Ch 06 (Mag),Ch 06 (Pha),Ch 07 (Mag),Ch 07 (Pha),Ch 08 (Mag),Ch 08 (Pha),Ch 09 (Mag),Ch 09 (Pha),Ch 10 (Mag),Ch 10 (Pha),Ch 11 (Mag),Ch 11 (Pha),Ch 12 (Mag),Ch 12 (Pha),Ch 13 (Mag),Ch 13 (Pha),Ch 14 (Mag),Ch 14 (Pha),Ch 15 (Mag),Ch 15 (Pha),Ch 16 (Mag),Ch 16 (Pha),Ch 17 (Mag),Ch 17 (Pha),Ch 18 (Mag),Ch 18 (Pha),Ch 19 (Mag),Ch 19 (Pha),Ch 20 (Mag),Ch 20 (Pha),Ch 21 (Mag),Ch 21 (Pha),Ch 22 (Mag),Ch 22 (Pha),Ch 23 (Mag),Ch 23 (Pha),Ch 24 (Mag),Ch 24 (Pha),Ch 25 (Mag),Ch 25 (Pha),Ch 26 (Mag),Ch 26 (Pha),Ch 27 (Mag),Ch 27 (Pha),Ch 28 (Mag),Ch 28 (Pha),Ch 29 (Mag),Ch 29 (Pha),Ch 30 (Mag),Ch 30 (Pha),Ch 31 (Mag),Ch 31 (Pha),RSS
0.000000,0.000000,98.711215,2.147022,98.516669,2.138015,93.026760,2.152127,95.296088,2.229462,92.443716,2.262791,91.724785,2.217884,88.406841,2.314388,97.149138,2.324689,93.797744,2.412913,90.703305,2.462284,90.666130,2.333566,91.174138,2.469567,91.263280,2.455008,89.192434,2.383749,93.489796,2.581830,91.173139,2.530469,100.977636,2.524226,98.143929,2.608701,97.005531,2.721940,80.672477,2.655946,89.804956,2.627621,95.268787,2.626416,92.166676,2.737387,95.282620,2.790229,93.599390,2.860558,99.772294,2.835590,89.698418,2.872378,90.687407,2.895794,90.303959,2.857990,91.759941,3.023353,97.689157,2.985487,102.282058,2.973669,-43.222634
0.100000,0.000000,120.260145,2.147075,107.081850,2.285037,99.683498,2.266986,113.590351,2.204175,110.681942,2.373366,99.842519,2.379416,112.391483,2.398809,103.407699,2.376137,112.539401,2.333186,103.219344,2.571879,99.993992,2.518830,101.006071,2.465191,99.357688,2.475060,97.053185,2.503491,91.297425,2.667661,107.439135,2.649577,105.370768,2.612530,109.166689,2.660385,112.624766,2.696350,100.714315,2.773995,101.812513,2.768638,97.795944,2.865510,99.470694,2.806184,103.363405,2.875712,109.024850,2.842856,103.028422,3.018734,96.601101,2.878565,124.264633,2.983491,104.087731,3.093457,107.462213,2.959198,115.827572,3.038018,113.508388,3.035514,-44.117505
0.200000,0.000000,103.091716,2.186657,100.905376,2.194244,95.536133,2.243100,103.997265,2.335341,108.957987,2.365912,102.225181,2.405027,99.516867,2.421260,96.891202,2.432205,91.122336,2.494814,100.954031,2.497629,97.000096,2.570745,95.248555,2.589896,92.016448,2.607705,96.276909,2.645578,92.111828,2.692891,99.236938,2.604767,91.304944,2.694845,92.605454,2.743448,97.129890,2.702422,90.752548,2.732792,96.975852,2.784991,94.527853,2.787124,96.446396,2.785419,101.428511,2.897905,97.784710,2.888556,94.416450,2.940066,97.750969,2.986275,112.362170,2.959654,100.794795,3.068553,101.424297,2.981712,100.769793,3.114114,101.970960,3.119070,-43.522629
0.300000,0.000000,88.295661,2.200293,97.469739,2.242921,90.730310,2.230137,96.912125,2.219019,94.292652,2.274840,88.884551,2.257657,94.908391,2.362789,99.941466,2.410654,96.647963,2.410117,82.463036,2.455933,94.368632,2.403742,91.350550,2.475349,89.704642,2.478305,83.168409,2.549724,87.836395,2.544039,84.015058,2.696202,91.870090,2.703369,81.144125,2.714079,95.831005,2.730432,93.012269,2.606885,91.042034,2.789008,100.845110,2.832338,92.303255,2.778353,84.950357,2.844778,90.368810,2.806297,85.812423,2.950512,94.306434,2.942295,91.594806,2.823524,96.092323,2.935784,98.059419,3.065038,92.567597,3.109413,90.881810,3.009645,-42.998183
0.400000,0.000000,105.379760,2.078912,99.243223,2.090355,97.876973,2.103402,101.317088,2.175159,99.093134,2.230627,90.931450,2.174213,100.533460,2.274879,98.005786,2.268239,103.553776,2.358611,98.967837,2.259597,90.481367,2.345537,104.128259,2.397239,90.484951,2.430906,95.280373,2.446653,89.889195,2.571640,98.978444,2.462631,92.400350,2.550117,90.527732,2.586461,99.919712,2.491471,89.158165,2.700360,91.373043,2.687982,100.615804,2.720010,93.999194,2.676623,99.261284,2.665497,87.424573,2.721311,98.274011,2.862472,87.170790,2.837728,101.314725,2.884788,96.969420,2.859426,90.842260,2.938590,98.125043,2.927352,104.850112,2.989258,-43.263289
0.500000,0.000000,114.205395,2.308230,111.758196,2.363714,107.946819,2.403584,101.106895,2.396321,107.358024,2.530836,115.746601,2.540822,112.600837,2.471171,107.901815,2.552662,106.315838,2.642823,103.810224,2.640029,114.157459,2.602192,115.169739,2.574095,110.812423,2.606445,101.123271,2.667714,101.053494,2.736400,104.038791,2.752160,101.466973,2.770013,106.407317,2.775565,119.085182,2.808172,103.238789,2.804031,110.943183,2.835148,109.709512,2.881670,110.879676,2.946226,113.017677,3.001278,100.305300,2.962474,102.545653,3.045988,110.869239,3.087478,117.910516,3.042943,114.358409,3.032181,116.596704,3.103784,119.094084,3.119666,120.621551,-3.007853,-44.523796
0.600000,0.000000,104.244517,2.356096,118.120426,2.357848,110.940042,2.432489,111.573591,2.453090,106.752600,2.370670,107.636768,2.421920,105.097552,2.492575,99.713547,2.483177,106.859331,2.593602,115.419635,2.554907,112.326836,2.630864,115.218596,2.538341,104.423144,2.740972,105.590815,2.612951,95.305951,2.774874,110.337028,2.821768,112.117280,2.784791,108.735759,2.852766,99.552199,2.832542,108.849577,2.929651,109.662727,2.874888,121.699638,2.864569,106.891572,2.983821,105.975417,3.003918,98.837218,3.057209,104.914460,3.100223,122.272875,2.996041,106.449365,3.073701,114.209500,-3.124211,119.830843,-3.098339,103.865818,3.135155,120.242093,-3.001066,-44.463102
0.700000,0.000000,128.625697,2.508104,125.123242,2.505040,113.937475,2.620900,116.066292,2.567845,124.499475,2.537795,104.905839,2.686704,127.447916,2.615628,115.172857,2.675133,116.653510,2.721084,102.871629,2.717251,113.872068,2.831401,111.511984,2.765145,114.741734,2.749119,117.740798,2.816859,117.227355,2.987681,121.518217,2.848902,121.540262,2.919013,124.854660,3.036227,114.460830,3.093964,111.245637,3.024293,101.724167,3.024633,117.966675,3.044699,112.026641,-3.076899,131.668288,3.089602,110.539748,3.086852,111.521812,-2.962459,122.000529,-2.888261,114.157702,-3.072364,120.168055,-2.975836,122.895740,-2.897071,114.960386,-2.927435,127.029995,-2.830819,-44.823123
0.800000,0.000000,162.114438,2.429721,155.906787,2.521079,162.854822,2.554073,142.093579,2.531166,169.321015,2.564363,155.704240,2.565619,167.929797,2.598564,163.948762,2.673222,183.471215,2.740954,157.718816,2.754486,142.810708,2.639619,173.646654,2.719788,133.204374,2.782286,138.124439,2.809666,136.793429,2.882796,158.380578,2.868299,137.974356,2.931965,145.233324,2.838391,148.137647,3.039774,168.998685,3.057374,144.585723,2.935915,127.174384,2.970042,163.805322,-3.093293,150.899892,3.057078,149.415350,-3.068304,151.713152,-3.025374,136.073886,-3.066189,166.478953,-3.001771,150.900184,-3.100125,148.572584,-3.097194,172.464080,-2.863196,161.179813,-3.085703,-47.105198
0.901000,0.000000,182.592396,2.418516,173.665952,2.338072,168.369977,2.409746,201.819299,2.344170,180.984884,2.544970,191.655974,2.554294,159.561091,2.602994,193.670722,2.620199,156.405078,2.519799,166.766117,2.681522,153.840890,2.790379,157.504979,2.674579,161.079480,2.679001,162.333666,2.664166,157.793402,2.924257,177.681708,2.724427,160.594809,3.001657,191.965420,2.963949,179.613740,2.945111,162.553313,2.881912,147.266874,2.957413,151.595394,2.906274,165.307484,3.090760,174.000450,3.098815,177.008359,2.953907,185.590644,-3.135674,150.697113,3.104841,184.434931,-3.041792,162.998475,-3.025778,181.839428,-2.982188,158.994059,-3.022141,166.920499,-3.028686,-47.974122
