Time,BER,Ch 00 (Mag),Ch 00 (Pha),Ch 01 (Mag),Ch 01 (Pha),Ch 02 (Mag),Ch 02 (Pha),Ch 03 (Mag),Ch 03 (Pha),Ch 04 (Mag),Ch 04 (Pha),Ch 05 (Mag),Ch 05 (Pha),Ch 06 (Mag),Ch 06 (Pha),Ch 07 (Mag),Ch 07 (Pha),Ch 08 (Mag),Ch 08 (Pha),Ch 09 (Mag),Ch 09 (Pha),Ch 10 (Mag),Ch 10 (Pha),Ch 11 (Mag),Ch 11 (Pha),Ch 12 (Mag),Ch 12 (Pha),Ch 13 (Mag),Ch 13 (Pha),Ch 14 (Mag),Ch 14 (Pha),Ch 15 (Mag),Ch 15 (Pha),Ch 16 (Mag),Ch 16 (Pha),Ch 17 (Mag),Ch 17 (Pha),Ch 18 (Mag),Ch 18 (Pha),Ch 19 (Mag),Ch 19 (Pha),Ch 20 (Mag),Ch 20 (Pha),Ch 21 (Mag),Ch 21 (Pha),Ch 22 (Mag),Ch 22 (Pha),Ch 23 (Mag),Ch 23 (Pha),Ch 24 (Mag),Ch 24 (Pha),Ch 25 (Mag),Ch 25 (Pha),Ch 26 (Mag),Ch 26 (Pha),Ch 27 (Mag),Ch 27 (Pha),Ch 28 (Mag),Ch 28 (Pha),Ch 29 (Mag),Ch 29 (Pha),Ch 30 (Mag),Ch 30 (Pha),Ch 31 (Mag),Ch 31 (Pha),RSS
0.000000,0.000000,42.660388,-1.218873,42.946638,-1.200049,44.539744,-1.173304,41.738614,-1.101749,41.967589,-1.121545,40.818356,-1.116991,41.793315,-1.033142,42.351977,-0.995425,41.376583,-0.961603,43.441602,-1.027674,39.794816,-0.967440,39.758239,-0.948631,41.243381,-0.890959,37.895643,-0.816384,42.662666,-0.819439,41.394989,-0.855420,43.515972,-0.792565,43.346378,-0.800922,41.138991,-0.754580,44.506847,-0.710684,41.000858,-0.700507,40.037444,-0.619676,39.849866,-0.609540,40.709176,-0.578238,41.472812,-0.675030,43.226273,-0.547060,41.731699,-0.521787,41.317470,-0.508065,42.680987,-0.477264,42.510249,-0.386298,45.848210,-0.432901,42.749081,-0.355554,-36.268975
0.100000,0.000000,43.044653,-1.142279,42.811229,-1.143136,42.266064,-1.117290,42.115335,-1.026276,41.024151,-1.034073,39.958559,-1.005363,40.654136,-0.934195,41.835782,-0.928694,41.156187,-0.897201,42.378542,-0.933405,39.896745,-0.880287,41.012141,-0.868594,40.558798,-0.812302,38.295139,-0.778682,40.864825,-0.733856,41.930399,-0.819273,42.393337,-0.723783,41.756498,-0.711431,41.312032,-0.705797,41.301418,-0.648495,40.278430,-0.581480,40.770521,-0.544335,39.855464,-0.546791,40.538468,-0.486056,40.875732,-0.565072,39.495120,-0.539495,43.773001,-0.463865,41.693384,-0.411464,40.641136,-0.466658,42.304859,-0.426864,46.193852,-0.424612,42.440721,-0.301234,-36.105947
0.200000,0.000000,40.790267,-1.150081,38.418121,-1.136674,39.276583,-1.118323,40.206432,-1.099291,37.788542,-1.074148,38.535818,-1.036687,38.649048,-1.005409,38.038281,-0.923809,38.438300,-0.896344,37.954488,-0.939440,37.443409,-0.913764,38.771404,-0.916453,37.347479,-0.845928,35.954462,-0.818899,38.749669,-0.771255,38.889939,-0.859390,38.164789,-0.769850,40.940670,-0.737341,37.195846,-0.730764,38.762506,-0.652011,36.928461,-0.584854,38.429824,-0.578963,37.446167,-0.559884,38.142451,-0.534202,38.102586,-0.549081,39.353386,-0.516356,40.320872,-0.456976,39.033142,-0.453902,38.888880,-0.449217,38.122248,-0.402500,42.180027,-0.418626,39.837039,-0.353038,-35.577915
0.300000,0.000000,40.381134,-1.244443,42.965194,-1.236892,42.950674,-1.216914,41.286588,-1.188532,39.949457,-1.171637,38.627462,-1.133292,40.244602,-1.114658,38.692303,-1.054145,40.125013,-0.977154,40.454043,-1.011538,37.835963,-1.021571,39.197543,-1.031776,39.118938,-0.936714,37.696424,-0.881606,40.201372,-0.897442,38.710517,-0.990894,39.337857,-0.875558,42.060759,-0.825738,37.783641,-0.781721,40.452734,-0.787664,39.014176,-0.707731,39.561258,-0.700583,37.663338,-0.637257,40.912495,-0.654733,40.219614,-0.671829,39.651397,-0.616163,41.618221,-0.561530,40.719792,-0.530919,38.830772,-0.537103,41.847109,-0.450087,43.476823,-0.502932,40.175732,-0.467067,-35.861078
0.400000,0.000000,43.072738,-1.376517,45.028576,-1.375525,46.281899,-1.338373,44.373229,-1.247612,44.796827,-1.255010,42.691182,-1.219139,44.116525,-1.185738,42.642353,-1.186535,42.167108,-1.153798,41.904009,-1.149576,41.738089,-1.069655,43.336573,-1.106566,41.711194,-1.071312,40.183436,-1.023737,46.256422,-0.940165,46.288511,-1.050471,42.928601,-0.913047,44.943471,-0.969539,42.210600,-0.903999,45.939781,-0.875467,42.867728,-0.842406,42.774964,-0.741219,42.478777,-0.722395,42.326628,-0.719873,44.863227,-0.769788,43.240544,-0.712756,45.238431,-0.646820,43.803134,-0.665089,45.390838,-0.672456,44.158154,-0.616206,46.692068,-0.599065,44.179322,-0.501956,-36.597993
0.500000,0.000000,58.049466,-1.362695,61.418757,-1.333312,59.525905,-1.361414,55.806254,-1.240864,60.035662,-1.213969,57.068910,-1.184117,61.170528,-1.156237,55.710429,-1.090390,58.261246,-1.118566,56.189684,-1.117725,51.267006,-1.150210,57.719284,-1.152301,54.609680,-1.052199,54.907989,-0.980007,57.331195,-0.999203,58.397670,-1.030515,56.390486,-0.911136,58.438237,-0.884573,54.742288,-0.941181,62.050104,-0.872534,56.421779,-0.790609,57.195700,-0.742283,55.395027,-0.696516,54.927006,-0.709571,59.924314,-0.757594,56.933813,-0.739176,55.624941,-0.616912,57.109278,-0.585001,56.683065,-0.690517,55.161945,-0.663851,62.575935,-0.595119,57.945713,-0.510122,-38.884735
0.600000,0.000000,55.912303,-1.238285,58.095498,-1.180270,60.237640,-1.201090,57.695738,-1.071130,57.361584,-1.093876,57.466564,-1.053875,54.639988,-1.015354,57.179204,-0.989223,55.792120,-0.930275,57.464855,-0.973870,54.090467,-0.936963,54.989713,-0.973662,54.593078,-0.883287,53.079260,-0.849315,55.683789,-0.822039,55.712799,-0.925166,57.623053,-0.805030,61.341245,-0.747120,54.246313,-0.812919,60.000749,-0.708846,56.318791,-0.630136,55.237215,-0.576194,56.013885,-0.598510,61.621149,-0.569816,56.942291,-0.605980,56.137835,-0.498767,58.798120,-0.483695,55.076219,-0.474441,58.269452,-0.490369,57.497904,-0.440716,63.701859,-0.411318,55.795870,-0.340677,-38.832145
0.700000,0.000000,59.732136,-1.165027,59.454293,-1.166197,55.093849,-1.198918,53.436389,-1.094038,55.899149,-1.099940,53.101837,-1.044073,54.574411,-1.083078,52.356187,-1.016952,55.973564,-0.956071,58.682389,-0.911347,52.852862,-0.914970,52.924144,-0.944812,53.662307,-0.843252,53.944145,-0.855189,57.465005,-0.808336,56.151879,-0.872556,55.712319,-0.768315,57.972026,-0.834601,53.191826,-0.734795,54.677726,-0.724870,53.185859,-0.678394,53.600078,-0.628460,52.117906,-0.567654,53.813149,-0.567080,55.683050,-0.689992,55.278319,-0.570762,57.149412,-0.462334,56.171136,-0.485663,58.716654,-0.495757,52.060777,-0.399789,65.827959,-0.474027,61.061754,-0.351398,-38.691989
0.800000,0.000000,44.201784,-1.066027,44.092124,-1.078790,44.482694,-1.072519,45.266856,-0.994546,46.953797,-0.974383,43.042831,-0.967857,44.092412,-0.905335,45.132491,-0.892943,44.634311,-0.839274,42.750495,-0.873030,42.684391,-0.809527,45.219172,-0.841022,41.674144,-0.777587,42.557153,-0.714586,45.099311,-0.712906,42.233651,-0.785136,44.173173,-0.691321,45.078594,-0.690695,42.753502,-0.616532,45.920582,-0.633446,42.676193,-0.539264,43.191563,-0.506243,41.180603,-0.474707,44.000444,-0.489650,43.451559,-0.484724,43.192960,-0.456696,46.180454,-0.407451,43.909021,-0.379637,43.428939,-0.433630,44.738165,-0.316696,45.947254,-0.371435,42.917961,-0.261101,-36.691563
0.900000,0.000000,45.083638,-1.042884,43.690898,-1.055415,45.535412,-1.023067,43.465736,-0.961204,45.024310,-0.926717,41.975849,-0.916953,43.245500,-0.842977,42.286212,-0.830867,42.627101,-0.812772,43.784747,-0.853855,40.746816,-0.788058,44.418245,-0.837812,41.769691,-0.715516,40.398207,-0.716143,45.559436,-0.660040,44.852887,-0.758261,42.108257,-0.634619,43.423839,-0.640072,43.471066,-0.592264,45.944902,-0.545982,42.515158,-0.477707,42.257755,-0.470281,42.478178,-0.439268,42.695619,-0.423148,44.837392,-0.435478,43.774144,-0.410929,45.410221,-0.326439,43.923474,-0.348191,42.478308,-0.308559,43.354980,-0.288618,48.507657,-0.272973,43.794991,-0.200166,-36.598457
