Time,BER,Ch 00 (Mag),Ch 00 (Pha),Ch 01 (Mag),Ch 01 (Pha),Ch 02 (Mag),Ch 02 (Pha),Ch 03 (Mag),Ch 03 (Pha),Ch 04 (Mag),Ch 04 (Pha),Ch 05 (Mag),Ch 05 (Pha),Ch 06 (Mag),Ch 06 (Pha),Ch 07 (Mag),Ch 07 (Pha),Ch 08 (Mag),Ch 08 (Pha),Ch 09 (Mag),Ch 09 (Pha),Ch 10 (Mag),Ch 10 (Pha),Ch 11 (Mag),Ch 11 (Pha),Ch 12 (Mag),Ch 12 (Pha),Ch 13 (Mag),Ch 13 (Pha),Ch 14 (Mag),Ch 14 (Pha),Ch 15 (Mag),Ch 15 (Pha),Ch 16 (Mag),Ch 16 (Pha),Ch 17 (Mag),Ch 17 (Pha),Ch 18 (Mag),Ch 18 (Pha),Ch 19 (Mag),Ch 19 (Pha),Ch 20 (Mag),Ch 20 (Pha),Ch 21 (Mag),Ch 21 (Pha),Ch 22 (Mag),Ch 22 (Pha),Ch 23 (Mag),Ch 23 (Pha),Ch 24 (Mag),Ch 24 (Pha),Ch 25 (Mag),Ch 25 (Pha),Ch 26 (Mag),Ch 26 (Pha),Ch 27 (Mag),Ch 27 (Pha),Ch 28 (Mag),Ch 28 (Pha),Ch 29 (Mag),Ch 29 (Pha),Ch 30 (Mag),Ch 30 (Pha),Ch 31 (Mag),Ch 31 (Pha),RSS
0.000000,0.000000,263.485436,-0.167931,214.456291,0.248027,208.089848,0.108758,194.798012,-0.171908,193.101854,-0.125714,195.456274,-0.006972,194.122301,-0.216124,222.197559,-0.226437,137.255449,-0.115452,162.780094,0.093860,200.346935,0.134271,154.705206,0.210055,152.458706,0.199557,179.530309,-0.322754,167.130148,0.260522,167.396176,0.068124,213.257142,-0.208628,156.498784,0.068545,242.591679,0.226767,223.449431,-0.269252,154.683078,-0.115696,239.375407,0.070400,232.512504,0.277939,279.938086,-0.204352,226.572685,-0.020717,205.329970,-0.247483,190.200059,-0.330866,156.984444,0.020405,153.664481,-0.112415,305.992320,0.173214,173.246648,0.233010,173.731508,0.062820,-49.778554
0.101000,0.000000,218.723108,-0.303206,185.302588,-0.240595,206.239364,-0.120355,160.207607,-0.310340,167.895903,-0.564126,131.196622,-0.312082,168.642394,-0.463860,183.739120,-0.060445,122.567116,-0.385106,137.404375,-0.161836,187.312694,-0.344655,159.017911,-0.054059,153.296772,-0.040572,164.302809,-0.430819,133.527568,-0.029778,139.678573,-0.042866,163.993278,-0.665481,133.438179,-0.028249,198.969469,-0.235176,152.953573,-0.389617,123.221222,-0.259949,212.349018,-0.168330,210.990758,-0.067766,175.138949,-0.517304,191.847724,-0.227690,177.562779,-0.494552,159.851551,-0.433527,131.662407,-0.247976,127.856981,-0.211449,235.790078,-0.126152,141.886577,0.037411,165.876281,-0.048280,-48.482492
0.201000,0.000000,164.509727,-0.172590,176.897562,-0.109390,166.728772,-0.164527,144.938932,-0.259036,177.951364,-0.433741,112.960297,-0.287284,128.686233,-0.556987,171.137002,-0.064993,119.878791,-0.374187,114.175267,0.109400,186.437246,-0.103031,118.385216,-0.051622,125.736351,-0.040091,137.360475,-0.496921,118.922345,0.079639,127.267033,-0.051446,140.908251,-0.332109,143.350131,0.008830,170.261603,-0.076297,141.945466,-0.559563,119.779756,-0.194437,168.514045,-0.078522,186.498041,-0.057270,134.969023,-0.423836,186.748655,-0.006890,136.786508,-0.314955,146.803145,-0.379722,119.635433,-0.256507,110.868152,-0.248513,216.485494,-0.120231,143.841628,0.130271,149.258807,-0.068105,-47.392322
0.302000,0.000000,179.009451,-0.116973,183.303030,-0.043649,155.221915,0.000887,127.045840,-0.363456,164.651485,-0.383723,108.861112,-0.169738,135.502221,-0.344827,176.407518,0.063888,99.019278,-0.204511,114.414869,0.110484,178.474786,-0.146434,118.755736,0.094033,112.838314,0.050651,152.815165,-0.401704,109.470995,0.072094,114.025475,0.108115,151.929060,-0.223344,121.576839,0.030550,164.902612,-0.136389,146.670819,-0.226302,102.568475,-0.199374,192.749119,0.004629,157.555656,-0.009472,129.641714,-0.326872,171.254566,0.034065,138.131882,-0.384486,156.785049,-0.204960,114.882215,-0.226548,111.458620,-0.120565,183.324399,0.115904,130.173572,-0.004077,132.996535,0.178064,-47.112491
0.402000,0.000000,148.188692,0.043522,149.323865,0.038433,170.432301,0.190301,122.459557,-0.085651,149.005990,-0.161397,102.456273,-0.019044,137.378836,-0.180419,160.627099,0.209351,107.547772,-0.011248,112.102637,0.377658,155.180281,0.254513,106.961250,0.315314,107.555037,0.218454,142.815423,-0.181434,101.055973,0.326908,112.021599,0.258228,147.696056,-0.079122,109.071993,0.218032,159.657850,0.213553,131.559102,0.021430,96.586426,-0.011257,154.052657,0.219662,141.985145,0.115784,139.188586,-0.082651,154.859532,0.090644,149.664938,-0.170935,132.905186,-0.064205,112.808024,0.081462,99.280208,0.082660,162.433721,0.067428,123.439129,0.296113,122.994619,0.164221,-46.607228
0.502000,0.000000,170.688360,0.001586,161.105339,0.280819,184.819504,0.087783,171.420723,-0.092543,150.774601,-0.158282,119.365554,-0.024535,134.506077,-0.122250,166.640920,0.203647,107.640187,0.046211,107.813079,0.314746,187.659613,0.229184,111.875112,0.201982,119.811832,0.271914,170.751758,-0.201995,123.318210,0.298229,111.287012,0.196155,142.371820,-0.184744,118.881754,0.202298,154.680766,0.194519,144.058347,-0.248862,108.263877,0.070349,182.858788,0.204671,153.722500,0.253395,146.093752,-0.166431,166.790597,0.141200,138.664561,-0.180360,147.558263,-0.007963,112.071703,-0.018868,116.482662,-0.000415,204.782560,0.094023,131.989201,0.205008,147.051792,0.187581,-47.196492
0.602000,0.000000,160.629031,0.181043,184.808326,0.160561,160.971964,0.204930,123.395447,-0.206349,163.291848,-0.117041,104.672104,-0.041711,141.713027,-0.116399,159.003717,0.316764,110.794359,0.007408,125.080337,0.240657,163.822272,0.217092,120.099524,0.229109,112.633875,0.288303,142.665901,-0.253370,119.020708,0.341700,112.734164,0.289360,148.654638,-0.059190,113.114573,0.224718,143.921965,0.121434,135.069697,-0.098111,105.814091,-0.008785,169.147341,0.142949,148.291829,0.078656,131.525259,-0.019022,179.483993,0.276460,142.511027,-0.159818,144.734768,-0.018752,104.426328,0.163766,113.528227,0.011606,176.893536,0.091811,123.698669,0.327127,126.841687,0.264066,-47.053252
0.702000,0.000000,169.408213,-0.000564,169.502535,0.136965,152.127780,0.033249,139.432932,-0.100289,127.953098,-0.154266,105.273841,0.052475,143.550165,-0.183437,159.906257,0.257816,107.697924,-0.057003,110.372872,0.242267,178.586193,0.196823,120.453386,0.250505,116.277651,0.278973,166.035634,-0.101774,114.549940,0.277929,101.120543,0.221986,147.824705,-0.117433,121.103664,0.172539,162.520571,0.234571,125.344859,-0.182532,100.903486,-0.023464,181.802750,0.372480,154.625452,0.149028,133.205463,-0.131397,139.738212,0.049780,120.633127,-0.224741,137.620380,-0.089679,118.219449,0.002837,110.267991,-0.000056,165.475430,0.105342,141.285521,0.229592,128.062552,0.219364,-47.027480
0.802000,0.000000,169.775485,-0.025167,183.001483,-0.047751,186.774188,-0.158049,142.233132,-0.448512,141.166917,-0.342740,122.618488,-0.100449,140.287973,-0.286576,171.651016,-0.034995,104.841618,-0.081419,119.959877,0.021814,172.583139,-0.072937,115.420406,0.075305,121.265819,0.077769,124.900321,-0.365872,124.570416,0.092139,126.700169,0.089720,147.939139,-0.348126,118.686204,0.158991,177.495130,0.016707,144.500223,-0.304770,113.168987,-0.184350,169.306204,-0.047271,161.364013,0.074410,124.940558,-0.356738,157.506363,0.012291,149.434646,-0.243250,127.354655,-0.250093,111.208420,-0.179799,114.269567,-0.003686,170.175043,0.095212,129.002134,0.198182,149.630225,0.043777,-47.203033
0.902000,0.000000,166.569747,0.091484,158.564355,0.053295,175.879658,-0.062463,149.864102,-0.088191,133.667543,-0.106968,100.171357,-0.153167,153.184071,-0.416801,172.003674,0.176965,111.887228,-0.117145,119.381037,0.109698,181.849911,0.047148,111.338821,0.048550,104.209160,0.252833,142.399766,-0.256829,113.728323,0.064681,113.399121,0.084781,146.474010,-0.383743,126.184037,0.159953,159.473272,0.023171,137.858228,-0.262945,115.505115,-0.009941,174.371238,0.007089,168.628560,0.129258,125.869793,-0.250133,142.483094,0.090326,143.027613,-0.175000,137.050646,-0.259926,109.844525,-0.077320,109.231092,-0.093547,193.783776,0.150164,119.614928,0.222817,160.605891,0.238682,-47.010124
