Time,BER,Ch 00 (Mag),Ch 00 (Pha),Ch 01 (Mag),Ch 01 (Pha),Ch 02 (Mag),Ch 02 (Pha),Ch 03 (Mag),Ch 03 (Pha),Ch 04 (Mag),Ch 04 (Pha),Ch 05 (Mag),Ch 05 (Pha),Ch 06 (Mag),Ch 06 (Pha),Ch 07 (Mag),Ch 07 (Pha),Ch 08 (Mag),Ch 08 (Pha),Ch 09 (Mag),Ch 09 (Pha),Ch 10 (Mag),Ch 10 (Pha),Ch 11 (Mag),Ch 11 (Pha),Ch 12 (Mag),Ch 12 (Pha),Ch 13 (Mag),Ch 13 (Pha),Ch 14 (Mag),Ch 14 (Pha),Ch 15 (Mag),Ch 15 (Pha),Ch 16 (Mag),Ch 16 (Pha),Ch 17 (Mag),Ch 17 (Pha),Ch 18 (Mag),Ch 18 (Pha),Ch 19 (Mag),Ch 19 (Pha),Ch 20 (Mag),Ch 20 (Pha),Ch 21 (Mag),Ch 21 (Pha),Ch 22 (Mag),Ch 22 (Pha),Ch 23 (Mag),Ch 23 (Pha),Ch 24 (Mag),Ch 24 (Pha),Ch 25 (Mag),Ch 25 (Pha),Ch 26 (Mag),Ch 26 (Pha),Ch 27 (Mag),Ch 27 (Pha),Ch 28 (Mag),Ch 28 (Pha),Ch 29 (Mag),Ch 29 (Pha),Ch 30 (Mag),Ch 30 (Pha),Ch 31 (Mag),Ch 31 (Pha),RSS
0.000000,0.000000,113.356270,-2.944561,104.932018,-2.888628,118.401051,-2.893053,112.939781,-2.952528,112.861194,-2.874358,130.387015,-2.635546,107.922612,-2.731563,126.204210,-2.629041,130.670616,-2.581055,111.264021,-2.564945,124.755554,-2.501132,107.341317,-2.492808,113.045907,-2.403331,122.527779,-2.356218,112.003475,-2.320659,126.006055,-2.431808,115.816912,-2.424953,113.978910,-2.254126,111.522473,-2.166155,118.162957,-2.237094,128.075384,-2.067641,122.680174,-2.055632,116.696872,-1.998562,118.216764,-1.943761,111.262576,-1.935197,112.555589,-1.823799,117.132805,-1.889322,118.113103,-1.872025,133.397565,-1.900236,124.453259,-1.650590,134.870225,-1.697347,140.818656,-1.652858,-45.164052
0.101000,0.000000,158.173946,-3.031759,151.363141,-2.908290,169.264413,-2.870858,147.835115,-2.922433,169.306343,-2.935047,172.764275,-2.904283,143.552585,-2.722672,173.666731,-2.872743,163.499560,-2.652862,162.343547,-2.547344,159.891645,-2.582668,161.096467,-2.512191,142.065514,-2.547856,181.256797,-2.493600,169.122683,-2.398621,148.311089,-2.277488,161.520470,-2.372781,153.541992,-2.234931,165.697737,-2.293576,156.568229,-2.205859,140.154947,-2.201364,184.649590,-2.116588,163.432606,-2.164254,160.037984,-2.080192,191.841922,-2.053154,158.800629,-1.897888,174.979888,-1.895009,148.553123,-1.730935,135.787684,-1.867042,156.580290,-1.818197,176.399068,-1.647249,171.054381,-1.563579,-47.647851
0.202000,0.000000,161.697874,-2.526314,165.556284,-2.596391,146.234233,-2.332197,157.665544,-2.511649,153.021681,-2.439645,158.493625,-2.435846,160.224443,-2.277559,168.117516,-2.289878,149.868187,-2.266927,181.420439,-2.169093,154.372497,-2.044531,152.141067,-2.044901,150.091359,-2.049954,162.908105,-2.157920,134.296741,-1.993902,164.202818,-1.939990,145.668249,-1.837925,154.641385,-1.757586,148.574758,-1.837950,139.740116,-1.630449,152.433876,-1.772473,136.801771,-1.580949,162.158873,-1.608321,156.784051,-1.496217,155.616858,-1.548350,149.504146,-1.513996,153.292396,-1.375155,145.536623,-1.391783,139.059037,-1.309441,154.461964,-1.582900,155.650055,-1.232637,153.785539,-1.262955,-47.144160
0.302000,0.000000,122.875433,-2.594007,140.516226,-2.570180,141.921379,-2.418414,116.823028,-2.285218,126.880279,-2.332418,123.598520,-2.241560,129.602832,-2.192614,123.919797,-2.231496,133.735139,-2.215540,112.790445,-2.185205,110.848667,-2.066087,123.079973,-2.114042,119.633158,-1.979388,122.704156,-1.995518,131.625801,-1.841293,118.168144,-1.874984,133.618874,-1.777910,138.482341,-1.733250,142.884318,-1.647272,109.010222,-1.634616,120.439388,-1.666131,125.491279,-1.654947,115.074908,-1.662456,119.644032,-1.535440,108.434946,-1.371613,117.784483,-1.507803,126.314480,-1.383897,136.372886,-1.285369,133.613154,-1.307736,119.622058,-1.168466,124.259826,-1.205761,119.283268,-1.096662,-45.447453
0.402000,0.000000,128.226069,-0.836820,111.651309,-0.881488,122.991151,-1.029881,113.302394,-1.044264,106.081012,-1.161335,117.015389,-1.247990,114.769922,-1.334419,109.829761,-1.452341,111.340836,-1.457606,103.040835,-1.486308,122.982970,-1.635370,118.300759,-1.733498,105.568878,-1.711140,101.550895,-1.870115,107.440542,-1.826477,112.308304,-2.021524,110.958731,-2.092366,107.472502,-2.100305,114.950305,-2.207387,114.238639,-2.291208,106.286365,-2.418211,109.808365,-2.344380,110.560800,-2.471347,119.169687,-2.585688,126.904277,-2.714645,114.190884,-2.732434,122.460399,-2.851901,125.899779,-2.976414,113.344700,-3.081803,132.432484,-3.066505,114.753979,-3.135174,120.109055,3.056086,-44.828010
0.502000,0.000000,119.907808,-2.763111,121.815411,-2.632864,120.277464,-2.717645,116.508713,-2.578317,106.543874,-2.553348,114.522602,-2.526616,129.008082,-2.460704,110.548186,-2.470236,119.098504,-2.358896,104.528348,-2.295182,116.407800,-2.314627,111.613065,-2.168498,111.176070,-2.256420,112.593049,-2.106448,105.070977,-2.126146,113.397167,-2.171366,116.062644,-2.026125,114.918481,-2.040748,120.369317,-1.992495,130.368693,-1.876139,109.405273,-1.833107,107.900245,-1.772720,106.468812,-1.719158,125.694747,-1.810421,115.827159,-1.692372,110.645936,-1.598895,116.324321,-1.527111,106.121793,-1.553266,118.321278,-1.564005,123.565576,-1.569055,136.526912,-1.413240,115.157743,-1.318604,-44.890007
0.602000,0.000000,117.524320,-2.793356,119.280320,-2.672651,112.884418,-2.652576,119.678639,-2.582149,110.680889,-2.528277,117.020084,-2.531305,107.897118,-2.431918,111.693463,-2.468603,110.481696,-2.294165,121.409468,-2.259761,109.194104,-2.303923,118.986786,-2.261851,116.262035,-2.152592,116.682542,-2.227910,109.545758,-2.091596,107.444374,-1.982182,115.374731,-2.042910,109.303810,-1.869719,118.330678,-1.935245,105.864203,-1.954635,114.444002,-1.768313,109.582419,-1.798948,117.556194,-1.726085,131.189164,-1.699195,108.978749,-1.730894,125.203696,-1.660393,123.072202,-1.616764,128.590518,-1.533706,123.025874,-1.559024,120.109234,-1.426337,117.222145,-1.444161,128.587045,-1.368457,-45.037947
0.702000,0.000000,116.161984,-2.615168,106.518963,-2.588561,112.495752,-2.517373,125.466630,-2.525337,122.753331,-2.424888,110.744426,-2.379254,131.784577,-2.362618,119.550853,-2.244306,121.943274,-2.258544,109.160275,-2.259791,110.817256,-2.203467,105.165895,-2.165039,105.960075,-2.116456,120.279367,-2.080349,112.830952,-2.074598,116.414630,-2.086184,107.911358,-2.027504,111.619416,-1.893021,104.897185,-1.741488,118.141685,-1.799882,111.999680,-1.758891,114.470785,-1.576125,114.789295,-1.592054,112.303972,-1.753264,125.755682,-1.588232,124.371027,-1.538789,105.037643,-1.465318,103.799690,-1.346850,115.571410,-1.298290,117.122031,-1.324227,120.820243,-1.222006,121.875681,-1.202156,-44.856071
0.802000,0.000000,115.205245,-2.523593,110.339698,-2.444211,124.192997,-2.426743,111.163743,-2.396586,130.286873,-2.350243,125.275937,-2.305395,113.884751,-2.349679,117.192685,-2.246094,106.952550,-2.210535,119.645235,-2.024305,126.578005,-1.994053,108.999723,-2.050127,117.520308,-2.015612,127.418932,-1.981938,125.003909,-1.883058,130.736797,-1.882906,111.410183,-1.886687,114.827330,-1.769568,118.518310,-1.652988,125.133625,-1.687527,114.330056,-1.722842,132.812325,-1.622159,110.500998,-1.679130,119.403000,-1.532007,120.018428,-1.580565,115.001154,-1.447091,123.636335,-1.386235,126.403823,-1.277661,121.158753,-1.364704,128.596764,-1.336542,127.434315,-1.311302,139.705301,-1.237594,-45.350866
0.902000,0.000000,181.439707,1.045263,159.758148,0.766623,164.750374,0.629242,149.247545,0.499532,147.658555,0.385479,164.180817,0.068747,164.229477,-0.118111,156.962717,-0.344026,179.658060,-0.653281,157.257462,-0.693471,157.117439,-1.037011,157.229771,-1.206856,154.194749,-1.424706,153.975973,-1.556984,155.877976,-1.779227,146.661626,-2.001553,163.203129,-2.208295,166.004965,-2.350903,156.873416,-2.623070,145.415798,-2.882045,146.646441,-2.916368,177.071901,-3.050084,145.520493,2.939814,161.847771,2.624695,160.118493,2.570664,182.078950,2.300337,171.266046,2.161000,148.853380,1.899267,163.603923,1.849853,148.118476,1.449476,148.902817,1.193511,206.119617,1.032354,-47.451599
1.003000,0.000000,171.777361,-3.043439,159.262261,-3.075409,170.558863,-3.044328,199.160446,-2.897358,178.592793,-2.830489,145.229078,-2.843116,173.238793,-2.761899,167.253237,-2.647564,159.922234,-2.786363,160.639742,-2.559079,176.762612,-2.570706,157.913004,-2.450844,182.786241,-2.394936,173.395140,-2.369591,181.389695,-2.389563,141.074356,-2.479370,185.519250,-2.297223,167.765425,-2.288078,155.252450,-2.296282,160.987668,-2.064026,166.694643,-2.128899,161.619974,-2.242498,166.901585,-2.035418,153.416555,-2.112353,150.305461,-1.881531,207.967957,-1.925266,154.008088,-1.830925,158.998970,-1.871499,156.199207,-1.677655,167.020201,-1.669339,192.797306,-1.789019,186.625836,-1.619422,-48.006960
1.103000,0.000000,121.324069,-1.089346,116.688561,-1.105447,107.424255,-1.177446,131.661009,-1.381045,133.803509,-1.398622,120.166334,-1.522944,140.247303,-1.526703,108.337051,-1.759943,140.892156,-1.700840,131.242396,-1.834504,119.076112,-1.863615,126.478148,-1.927583,134.978507,-1.939376,119.417223,-2.101528,109.658086,-2.244587,123.635596,-2.305194,140.536820,-2.441706,112.280471,-2.389325,122.714034,-2.572058,123.863930,-2.597267,134.209246,-2.788770,128.537462,-2.857550,114.586982,-2.950234,137.145767,-2.915476,123.138621,-3.021897,112.852741,-3.095111,114.106663,-3.124339,122.051647,3.063919,131.839948,2.939549,118.137386,2.847865,147.934875,2.715758,120.581859,2.632972,-45.411136
1.204000,0.000000,141.971732,-2.433226,121.006500,-2.400865,128.879147,-2.445006,123.764673,-2.193852,120.473016,-2.164646,121.200774,-2.309993,122.776299,-2.200111,122.706556,-2.100499,131.212418,-1.950693,117.218504,-1.945866,142.996076,-1.950969,115.982288,-2.040092,112.944893,-1.971798,118.043895,-1.836690,120.308953,-1.855708,115.510873,-1.795371,120.970573,-1.759779,131.269375,-1.627897,126.271866,-1.592883,127.499730,-1.787411,127.108446,-1.562764,125.559470,-1.472745,123.080533,-1.362598,123.925311,-1.415164,125.189961,-1.251228,126.823180,-1.320451,137.977819,-1.286343,134.328844,-1.097299,120.483529,-1.234343,133.484831,-1.232093,130.124337,-1.188143,140.169576,-1.114258,-45.690127
