Time,BER,Ch 00 (Mag),Ch 00 (Pha),Ch 01 (Mag),Ch 01 (Pha),Ch 02 (Mag),Ch 02 (Pha),Ch 03 (Mag),Ch 03 (Pha),Ch 04 (Mag),Ch 04 (Pha),Ch 05 (Mag),Ch 05 (Pha),Ch 06 (Mag),Ch 06 (Pha),Ch 07 (Mag),Ch 07 (Pha),Ch 08 (Mag),Ch 08 (Pha),Ch 09 (Mag),Ch 09 (Pha),Ch 10 (Mag),Ch 10 (Pha),Ch 11 (Mag),Ch 11 (Pha),Ch 12 (Mag),Ch 12 (Pha),Ch 13 (Mag),Ch 13 (Pha),Ch 14 (Mag),Ch 14 (Pha),Ch 15 (Mag),Ch 15 (Pha),Ch 16 (Mag),Ch 16 (Pha),Ch 17 (Mag),Ch 17 (Pha),Ch 18 (Mag),Ch 18 (Pha),Ch 19 (Mag),Ch 19 (Pha),Ch 20 (Mag),Ch 20 (Pha),Ch 21 (Mag),Ch 21 (Pha),Ch 22 (Mag),Ch 22 (Pha),Ch 23 (Mag),Ch 23 (Pha),Ch 24 (Mag),Ch 24 (Pha),Ch 25 (Mag),Ch 25 (Pha),Ch 26 (Mag),Ch 26 (Pha),Ch 27 (Mag),Ch 27 (Pha),Ch 28 (Mag),Ch 28 (Pha),Ch 29 (Mag),Ch 29 (Pha),Ch 30 (Mag),Ch 30 (Pha),Ch 31 (Mag),Ch 31 (Pha),RSS
0.000000,0.000000,111.279461,-2.487771,114.978314,-2.524792,110.132488,-2.275916,108.981489,-2.292344,110.058240,-2.264100,104.556371,-2.132948,107.815311,-2.128812,104.908046,-2.119643,101.462288,-1.914490,101.549105,-1.977631,109.717752,-1.847302,96.730641,-1.780535,111.083021,-1.679523,94.748476,-1.634172,99.553241,-1.474658,96.770007,-1.510328,101.786216,-1.357976,104.749227,-1.302990,100.927014,-1.163425,111.272879,-1.167818,110.095314,-1.081874,115.638216,-0.908833,107.915435,-0.929998,97.333514,-0.792565,105.780695,-0.652198,111.392646,-0.794547,110.879435,-0.639928,104.158040,-0.608705,97.100161,-0.491285,107.347192,-0.461066,114.326699,-0.458762,121.327142,-0.324841,-44.077725
0.101000,0.000000,205.153910,-1.947776,177.683345,-1.990841,174.499246,-2.058728,198.742552,-1.866601,170.392221,-1.895551,190.425510,-1.848609,168.302707,-1.803783,183.663459,-1.502500,159.429519,-1.542906,158.836807,-1.451020,189.183249,-1.296636,175.105718,-1.169196,213.557917,-1.321075,192.548836,-1.279796,163.990672,-0.967528,178.363652,-1.063127,187.507137,-0.938862,172.290365,-0.838759,164.972308,-0.873552,171.150692,-0.709181,181.898611,-0.711227,166.500479,-0.456547,157.582850,-0.620042,180.874194,-0.501577,164.392048,-0.254456,174.957897,-0.199070,165.208221,-0.205647,165.199657,-0.092883,176.033300,-0.017799,171.836423,0.185676,231.671838,0.147276,183.536562,0.073820,-48.282590
0.201000,0.000000,119.008963,-0.897706,121.913589,-0.905138,106.459585,-0.916634,109.028687,-1.003239,103.648952,-1.118814,106.267771,-1.102452,111.319690,-1.182730,101.803196,-1.137409,89.614535,-1.196081,93.624330,-1.370909,95.260965,-1.249902,105.426048,-1.347707,99.688889,-1.475981,100.973257,-1.577890,96.022490,-1.520773,101.037007,-1.514233,103.146130,-1.648761,110.226807,-1.675470,104.964488,-1.748715,97.274908,-1.907826,100.874596,-1.856430,103.723497,-1.830282,104.504050,-1.924349,109.439326,-1.968425,101.512041,-2.042551,115.129958,-2.185493,112.737465,-2.260288,100.007365,-2.226488,111.602363,-2.391305,105.306196,-2.340312,101.311610,-2.441824,113.235089,-2.449058,-43.969875
0.301000,0.000000,143.019725,-0.281212,151.165309,-0.338205,145.776666,-0.336488,132.486000,-0.311674,169.068376,-0.224238,139.455747,-0.400961,149.441143,-0.473900,148.084747,-0.522387,147.042138,-0.537144,147.785751,-0.578819,130.757549,-0.686634,150.892712,-0.693197,138.760088,-0.818754,149.632474,-0.848518,156.633880,-0.728955,152.183836,-0.885621,147.033843,-1.089127,126.636215,-1.062120,149.150042,-1.094723,148.546630,-1.198784,148.246994,-1.264456,152.687269,-1.157222,167.998363,-1.276955,154.987700,-1.394632,133.247694,-1.376791,149.274808,-1.491974,139.479921,-1.530542,169.746999,-1.558884,152.753636,-1.717919,134.722988,-1.711249,172.610234,-1.684897,149.964757,-1.728412,-46.674380
0.401000,0.000000,149.019133,-0.876187,149.226771,-0.949708,137.484951,-0.887415,130.700920,-1.005117,133.022127,-0.996209,133.959785,-1.302232,137.765602,-1.233475,141.557928,-1.193653,152.704169,-1.343194,140.124763,-1.461192,118.147583,-1.419696,143.081735,-1.485658,112.845426,-1.596101,124.913276,-1.537456,148.436433,-1.701843,140.468522,-1.584112,130.615463,-1.725320,132.684454,-1.747702,133.710834,-1.831236,131.686732,-1.858476,136.194884,-1.909609,137.522303,-1.928803,142.258554,-1.985044,144.574059,-1.991743,141.174821,-2.099620,143.206573,-2.270488,149.687966,-2.078076,142.566038,-2.053792,145.388398,-2.317455,143.956381,-2.368664,153.172016,-2.404279,138.304408,-2.549032,-46.313342
0.501000,0.000000,120.475081,-0.516597,105.478228,-0.543149,105.497970,-0.579294,108.846349,-0.667828,111.148640,-0.634882,99.443209,-0.739112,107.289178,-0.796759,105.264501,-0.907613,119.346653,-1.000871,102.801605,-0.906837,101.690762,-0.995182,105.351092,-1.079908,118.847717,-1.209950,108.820556,-1.167391,103.048543,-1.198521,122.831471,-1.377666,103.930199,-1.282043,107.630681,-1.447703,105.235861,-1.447398,110.128170,-1.439043,114.136679,-1.517561,103.389424,-1.515092,108.044257,-1.699656,107.484361,-1.701302,105.369978,-1.702463,110.546416,-1.799905,112.110040,-1.720509,117.064232,-1.921895,105.835754,-2.017762,113.874052,-1.983042,107.498211,-2.103504,127.871823,-2.150560,-44.310652
0.601000,0.000000,155.739245,-0.173790,152.365246,-0.294441,178.395461,-0.436355,166.210858,-0.169272,139.236126,-0.406072,166.647564,-0.435614,144.057035,-0.473651,148.285921,-0.636401,166.863806,-0.685974,152.655126,-0.626359,148.913951,-0.856360,154.819530,-0.800186,151.617979,-0.754502,143.392263,-0.898437,151.933369,-0.858845,147.280958,-0.958999,147.388948,-1.072015,146.881890,-1.078781,163.702251,-1.053614,149.636060,-1.242716,149.037731,-1.052931,162.669095,-1.400387,151.155242,-1.156723,171.788385,-1.543907,140.938254,-1.506305,161.808047,-1.529124,142.527671,-1.556215,135.968015,-1.573931,144.702857,-1.616691,144.355752,-1.696342,152.575342,-1.672047,182.663073,-1.797760,-47.027390
0.701000,0.000000,153.071398,-2.641082,133.553988,-2.679771,140.472250,-2.588085,164.658657,-2.521007,170.091310,-2.432591,148.704510,-2.387719,150.227500,-2.316347,137.808155,-2.255764,163.869635,-2.132104,140.730116,-1.978418,149.582689,-1.882465,137.525955,-1.994032,142.291039,-1.801880,146.373135,-1.782307,148.098131,-1.758920,130.276416,-1.618903,139.572818,-1.508953,149.291582,-1.547396,154.462827,-1.323277,147.290864,-1.284971,144.725828,-1.417300,130.855859,-1.206234,132.992949,-0.997225,148.159739,-0.911205,139.171560,-0.918509,146.501440,-0.819600,151.402188,-0.764842,154.824694,-0.771472,149.426569,-0.453974,155.750188,-0.482263,135.831468,-0.517850,159.684140,-0.496921,-46.841762
0.802000,0.000000,102.030987,-0.825384,100.416146,-0.810969,106.072334,-0.862494,97.534318,-0.965362,94.919672,-1.085996,99.047853,-1.009165,94.125119,-1.160768,108.161714,-1.131079,97.671810,-1.298776,97.911464,-1.267389,97.451022,-1.436783,103.110716,-1.309448,99.633794,-1.441718,97.418096,-1.430230,97.204103,-1.405531,93.842605,-1.569778,100.552695,-1.716891,96.748837,-1.704289,110.404313,-1.696680,100.267237,-1.823011,99.606067,-1.839018,99.876526,-1.858924,96.259317,-1.835350,102.967450,-1.930362,99.679229,-1.940456,100.864390,-2.067002,101.793253,-2.031357,105.244246,-2.056826,97.013228,-2.270077,100.997937,-2.216084,101.858008,-2.207693,106.314420,-2.319235,-43.636523
0.903000,0.000000,101.751833,-0.399967,98.276267,-0.622221,109.739063,-0.602946,97.740028,-0.517020,98.400568,-0.663374,95.780614,-0.710090,94.475505,-0.699152,91.918011,-0.722366,106.515696,-0.811702,96.285749,-0.865162,95.572642,-0.975082,99.897539,-1.002489,99.366143,-1.094785,98.520520,-1.092080,97.936742,-1.182711,107.367564,-1.204790,86.526432,-1.234895,91.100719,-1.326669,110.270529,-1.426236,106.933028,-1.427043,93.623468,-1.457622,101.422622,-1.491235,101.845197,-1.634483,96.260234,-1.573422,98.917196,-1.768863,96.942108,-1.743990,108.101781,-1.876286,109.786069,-1.841973,107.429364,-1.866528,110.294546,-1.986750,108.350558,-1.952747,114.328776,-2.016379,-43.550082
