Time,BER,Ch 00 (Mag),Ch 00 (Pha),Ch 01 (Mag),Ch 01 (Pha),Ch 02 (Mag),Ch 02 (Pha),Ch 03 (Mag),Ch 03 (Pha),Ch 04 (Mag),Ch 04 (Pha),Ch 05 (Mag),Ch 05 (Pha),Ch 06 (Mag),Ch 06 (Pha),Ch 07 (Mag),Ch 07 (Pha),Ch 08 (Mag),Ch 08 (Pha),Ch 09 (Mag),Ch 09 (Pha),Ch 10 (Mag),Ch 10 (Pha),Ch 11 (Mag),Ch 11 (Pha),Ch 12 (Mag),Ch 12 (Pha),Ch 13 (Mag),Ch 13 (Pha),Ch 14 (Mag),Ch 14 (Pha),Ch 15 (Mag),Ch 15 (Pha),Ch 16 (Mag),Ch 16 (Pha),Ch 17 (Mag),Ch 17 (Pha),Ch 18 (Mag),Ch 18 (Pha),Ch 19 (Mag),Ch 19 (Pha),Ch 20 (Mag),Ch 20 (Pha),Ch 21 (Mag),Ch 21 (Pha),Ch 22 (Mag),Ch 22 (Pha),Ch 23 (Mag),Ch 23 (Pha),Ch 24 (Mag),Ch 24 (Pha),Ch 25 (Mag),Ch 25 (Pha),Ch 26 (Mag),Ch 26 (Pha),Ch 27 (Mag),Ch 27 (Pha),Ch 28 (Mag),Ch 28 (Pha),Ch 29 (Mag),Ch 29 (Pha),Ch 30 (Mag),Ch 30 (Pha),Ch 31 (Mag),Ch 31 (Pha),RSS
0.000000,0.000000,248.221080,-2.546981,380.293457,-2.516241,259.754678,-2.914964,291.730204,-2.859362,235.418867,-2.807954,238.801349,-2.881049,297.798137,-2.958858,230.796582,-3.024349,260.378428,-2.815112,268.890532,-3.003492,266.806172,3.087418,247.277032,3.140499,350.266101,-3.024274,297.053402,-3.097924,256.978472,2.960729,223.585578,2.877406,224.489878,2.786878,242.545143,2.723116,316.442459,2.628972,273.674259,2.676638,252.897888,2.590249,318.326477,2.550629,241.243213,2.640884,226.665393,2.422803,234.834857,2.287704,248.826454,2.293282,240.893198,2.250643,260.571479,2.302409,252.607813,1.994263,274.988454,2.210703,278.817491,2.079068,272.580444,1.915072,-51.538903
0.100000,0.000000,98.017299,-1.702138,103.285766,-1.901602,94.028570,-1.782909,98.683864,-1.830643,99.279724,-1.978215,90.514760,-1.946211,94.204182,-2.092400,90.844696,-2.121132,95.454279,-2.051512,104.750973,-2.242533,90.106058,-2.326776,97.905441,-2.434763,88.611407,-2.436055,95.207195,-2.414657,90.846506,-2.576800,101.042890,-2.600397,105.152438,-2.647038,110.151941,-2.799729,102.297158,-2.830351,103.414532,-2.917394,94.922238,-2.985693,97.845924,-2.936083,95.855866,-3.034296,100.829185,3.104281,94.413351,-3.131659,101.253473,3.040562,98.670097,3.070927,113.836512,3.100148,103.288036,2.967829,114.360406,2.822108,98.823500,2.871235,104.153631,2.689112,-43.502457
0.200000,0.000000,80.286048,-2.096475,82.596313,-2.106562,83.778252,-2.186789,77.765733,-2.122538,80.023202,-2.186760,85.051775,-2.208669,71.491806,-2.342487,87.837878,-2.433551,82.517694,-2.378451,86.614725,-2.470266,86.350958,-2.692517,88.683195,-2.590682,88.449205,-2.582528,77.942917,-2.671655,78.052552,-2.794343,89.666078,-2.838894,78.008584,-3.087067,84.822341,-2.874454,84.360645,-3.101780,80.388346,3.087748,77.947246,3.097582,77.344147,2.924736,79.428059,3.029680,77.107145,2.925150,82.775020,2.895311,78.064440,2.792982,75.133510,2.754403,87.343804,2.716757,71.470132,2.720957,85.010012,2.613817,91.123350,2.627940,90.242622,2.475636,-41.953480
0.300000,0.000000,92.781705,-2.412692,94.640445,-2.493440,103.334548,-2.525024,106.994511,-2.614344,93.418809,-2.602611,87.196245,-2.677890,96.019106,-2.787994,91.603484,-2.756392,98.701017,-2.807923,94.035633,-2.861675,100.018249,-3.025519,93.486825,-3.100201,93.781744,-3.099352,101.312745,3.136074,97.948403,3.122468,99.110593,2.905807,97.110583,2.915597,101.808972,2.983544,103.012918,2.765659,90.028278,2.860715,86.801251,2.746548,94.374053,2.694445,99.828191,2.709635,90.501220,2.483852,99.085473,2.530905,99.556458,2.411515,94.662514,2.395047,91.605367,2.284202,108.684308,2.248338,93.372752,2.211268,91.448225,2.091549,94.796873,2.034059,-43.233022
0.400000,0.000000,119.187668,-2.573377,121.642218,-2.698872,113.815076,-2.697462,118.343727,-2.778402,119.594373,-2.906399,103.356968,-2.974563,107.332005,3.093584,117.454957,-3.059824,114.108388,3.128138,94.068070,-3.066170,116.298795,2.958103,94.826753,2.880564,100.762562,2.916101,115.037009,2.882419,114.311089,2.733828,108.536151,2.692159,100.995692,2.707539,112.508855,2.523368,117.275962,2.522747,122.558759,2.573695,119.205963,2.442213,115.545664,2.331250,100.798194,2.385011,99.053643,2.266057,98.918870,2.205346,116.153346,2.236048,98.186133,2.126120,108.109731,2.007237,127.793079,1.953454,112.096842,2.000701,115.237796,1.779113,113.353260,1.752356,-44.593229
0.501000,0.000000,128.741026,-2.780179,125.322008,-2.840526,117.714563,-2.818496,117.624444,-2.955318,115.867338,-2.938276,123.712044,-2.969343,119.314910,3.108120,125.986300,3.070522,117.287527,3.057960,115.891105,2.952127,113.436955,2.956006,117.496179,2.923251,111.166838,2.781110,124.965224,2.633290,120.576056,2.700252,119.482570,2.661757,105.732511,2.538256,121.194671,2.452724,118.626079,2.500898,105.696138,2.422938,116.259885,2.325753,114.255139,2.372783,118.977096,2.203633,109.400913,2.171547,121.211414,2.072451,119.696552,2.088533,112.390020,2.132148,112.017416,1.900970,116.810482,1.716512,125.778552,1.718187,126.725620,1.700116,126.524380,1.656604,-45.084501
0.601000,0.000000,121.048431,1.765468,118.022156,1.744926,101.616317,1.854352,120.595091,1.892430,112.528367,2.009514,108.151426,2.044919,116.806651,2.274659,103.993879,2.205312,107.052063,2.230965,111.884215,2.232688,113.709374,2.344165,119.723816,2.415575,106.396282,2.477017,123.480131,2.549824,104.275022,2.739716,111.792877,2.733624,121.169051,2.820700,112.624216,2.757683,110.485903,2.951151,120.347267,3.039738,120.373771,3.076647,102.567192,-3.139809,109.057733,-3.106996,114.110616,-3.103744,106.121885,-3.028097,110.959093,-2.937324,115.997676,-2.896060,118.991058,-2.695924,109.033839,-2.794288,125.416977,-2.659907,104.078432,-2.692963,120.368007,-2.485412,-44.811837
0.701000,0.000000,101.732111,-2.480130,107.034924,-2.405119,109.426307,-2.641971,100.261832,-2.636400,102.943650,-2.678925,107.513296,-2.774239,96.161375,-2.832197,100.347703,-2.853858,104.909951,-2.964430,102.407026,-2.957979,90.084878,-2.960245,105.640095,3.113880,102.249175,-3.075525,105.517159,3.133895,97.619147,3.066931,104.320544,3.057067,97.093155,2.887341,100.985219,2.917950,109.345515,2.797722,109.221912,2.766283,85.895553,2.669851,97.472353,2.679778,93.257241,2.565412,101.010746,2.504631,112.863453,2.468343,97.067346,2.472043,105.105945,2.390952,101.864593,2.404963,87.907585,2.325206,105.195267,2.215154,105.050683,2.017223,101.163287,2.051849,-43.707910
0.801000,0.000000,86.569890,-2.051976,93.449329,-2.093686,89.011379,-2.166616,74.799854,-2.156320,86.108999,-2.172288,79.911246,-2.286304,84.089815,-2.509237,89.074005,-2.455470,78.127645,-2.406992,84.210177,-2.513846,80.391425,-2.560919,87.579884,-2.608193,79.880597,-2.648362,81.404116,-2.746630,79.627682,-2.821114,83.382233,-2.828502,87.241289,-2.990829,80.724180,-3.061813,92.992212,-3.022868,84.811574,-3.028808,84.398456,3.061020,84.885152,-3.141133,88.017386,2.978609,82.314206,2.817775,87.384307,2.866866,82.279521,2.768833,87.321210,2.678663,83.043262,2.689004,80.403572,2.516559,83.782648,2.572089,91.959849,2.506210,84.446667,2.423010,-42.323948
0.901000,0.000000,93.831000,-1.745294,98.308169,-1.679016,91.044287,-1.818541,92.732354,-1.912718,95.463658,-1.906349,88.655413,-2.048842,93.983819,-2.097505,85.404916,-2.175724,84.699425,-2.154224,97.033395,-2.222850,81.035762,-2.407964,90.796741,-2.484454,96.055292,-2.528000,79.220419,-2.478300,84.516550,-2.528631,90.025426,-2.637785,87.102787,-2.716177,85.740826,-2.807487,85.577190,-2.803919,87.513794,-2.849942,86.376492,-2.938489,90.470431,-2.971811,79.732107,-3.108865,92.136322,-3.073802,84.058252,3.036426,83.482275,3.081763,85.624728,3.076379,102.288511,2.986492,87.266192,2.901129,86.378802,2.761046,100.173077,2.788857,91.787076,2.641562,-42.759994
