Time,BER,Ch 00 (Mag),Ch 00 (Pha),Ch 01 (Mag),Ch 01 (Pha),Ch 02 (Mag),Ch 02 (Pha),Ch 03 (Mag),Ch 03 (Pha),Ch 04 (Mag),Ch 04 (Pha),Ch 05 (Mag),Ch 05 (Pha),Ch 06 (Mag),Ch 06 (Pha),Ch 07 (Mag),Ch 07 (Pha),Ch 08 (Mag),Ch 08 (Pha),Ch 09 (Mag),Ch 09 (Pha),Ch 10 (Mag),Ch 10 (Pha),Ch 11 (Mag),Ch 11 (Pha),Ch 12 (Mag),Ch 12 (Pha),Ch 13 (Mag),Ch 13 (Pha),Ch 14 (Mag),Ch 14 (Pha),Ch 15 (Mag),Ch 15 (Pha),Ch 16 (Mag),Ch 16 (Pha),Ch 17 (Mag),Ch 17 (Pha),Ch 18 (Mag),Ch 18 (Pha),Ch 19 (Mag),Ch 19 (Pha),Ch 20 (Mag),Ch 20 (Pha),Ch 21 (Mag),Ch 21 (Pha),Ch 22 (Mag),Ch 22 (Pha),Ch 23 (Mag),Ch 23 (Pha),Ch 24 (Mag),Ch 24 (Pha),Ch 25 (Mag),Ch 25 (Pha),Ch 26 (Mag),Ch 26 (Pha),Ch 27 (Mag),Ch 27 (Pha),Ch 28 (Mag),Ch 28 (Pha),Ch 29 (Mag),Ch 29 (Pha),Ch 30 (Mag),Ch 30 (Pha),Ch 31 (Mag),Ch 31 (Pha),RSS
0.000000,0.000000,105.797652,-1.200639,97.452227,-1.196002,102.513697,-1.216842,91.421266,-1.308643,96.204528,-1.304113,90.971878,-1.353492,91.407867,-1.318075,99.766791,-1.352206,88.449678,-1.384983,93.430436,-1.412398,97.348113,-1.432791,96.413478,-1.423787,92.309773,-1.594281,95.183446,-1.596581,87.952149,-1.589356,100.788618,-1.626801,90.691507,-1.673931,101.977509,-1.628142,91.785910,-1.664708,97.327441,-1.740818,100.352985,-1.681276,95.534748,-1.782129,90.770326,-1.740516,92.266531,-1.912296,89.233111,-1.885585,100.697142,-1.987146,99.379453,-1.996418,97.028143,-2.007702,102.802591,-1.998951,95.191187,-2.030883,104.995950,-2.052724,93.345527,-1.950800,-43.449155
0.100000,0.000000,109.866820,-0.974185,96.170187,-0.974305,103.844625,-1.006989,107.338535,-0.963551,101.906525,-0.967925,98.283044,-1.117718,104.079486,-1.139492,97.544701,-1.157934,93.081736,-1.188794,106.222151,-1.163985,104.736855,-1.107464,102.912101,-1.207960,107.275618,-1.174481,105.304895,-1.248075,102.904108,-1.254837,104.624562,-1.364814,100.560444,-1.356263,96.020995,-1.402339,99.484766,-1.428168,104.095330,-1.517215,103.776389,-1.541860,102.370163,-1.523225,102.431003,-1.626441,109.341713,-1.569339,110.501684,-1.571423,95.225520,-1.678157,104.502049,-1.761138,99.664288,-1.640809,105.966745,-1.806161,105.991568,-1.746652,107.264584,-1.737832,106.758946,-1.788212,-43.887104
0.200000,0.000000,118.951904,-0.579708,113.437455,-0.707811,100.248718,-0.815245,106.498961,-0.886500,111.396035,-0.816518,99.505652,-0.920519,107.072934,-0.885293,113.531510,-0.861294,114.260770,-0.866032,109.324113,-0.895641,102.967703,-0.996286,106.101940,-1.011371,103.064391,-1.046000,110.271280,-1.048760,104.427182,-1.117146,101.811874,-1.131539,123.023346,-1.283806,96.588911,-1.195390,115.393324,-1.076828,115.872375,-1.196386,107.715616,-1.229394,101.356329,-1.287409,105.305674,-1.274176,117.178407,-1.435225,116.614207,-1.421982,109.827645,-1.338978,111.732752,-1.411974,118.568634,-1.573386,107.210309,-1.480530,108.088197,-1.589741,135.527441,-1.525578,122.734107,-1.540645,-44.375116
0.300000,0.000000,96.599979,-0.792492,109.027976,-0.682899,106.838298,-0.842044,106.758559,-0.705936,120.038278,-0.763576,115.009533,-0.773387,106.661050,-0.871621,116.274322,-0.879327,112.323707,-0.909061,107.199508,-0.879576,109.554744,-1.040709,113.633869,-1.061992,112.198187,-1.011280,99.456471,-1.129295,111.815557,-1.150578,107.886308,-1.136879,112.786436,-1.165385,104.069568,-1.218610,112.274010,-1.131926,112.807885,-1.259220,114.799590,-1.197789,100.565249,-1.275509,109.091982,-1.473709,112.675403,-1.422052,126.487600,-1.409302,108.649161,-1.417001,106.397791,-1.494007,113.606490,-1.439891,117.295062,-1.592865,117.511696,-1.537375,124.163374,-1.636254,123.105490,-1.579909,-44.461557
0.400000,0.000000,101.365779,-2.845119,107.451007,-2.691325,99.561343,-2.639233,103.816818,-2.614538,101.077422,-2.514687,99.230011,-2.416036,101.173951,-2.322698,93.526392,-2.130762,98.415537,-2.183515,96.988956,-1.954303,103.387402,-1.882596,94.118814,-1.849988,102.353390,-1.726586,99.599674,-1.618754,100.856406,-1.502818,96.805571,-1.316494,95.418556,-1.316788,101.108215,-1.125200,104.849732,-1.184596,101.717751,-1.013748,105.867592,-1.008500,95.900975,-0.785712,96.415808,-0.649427,105.717671,-0.640394,101.775384,-0.708750,101.508910,-0.458285,101.679662,-0.363779,97.960772,-0.183984,112.390848,-0.233525,103.886140,-0.122347,110.031507,0.033721,107.992737,0.161540,-43.741694
0.500000,0.000000,96.549648,-1.240285,92.720552,-1.309412,94.879946,-1.325108,98.163487,-1.178340,97.359055,-1.294888,98.694522,-1.309745,94.001851,-1.438806,95.038093,-1.502026,93.364704,-1.441077,97.945541,-1.479598,96.441198,-1.600254,91.943477,-1.615502,92.897280,-1.556316,96.782611,-1.618098,96.877316,-1.592234,94.254477,-1.693661,101.510580,-1.698623,93.417588,-1.760456,92.056105,-1.729147,91.575364,-1.763874,91.594169,-1.904544,102.673420,-1.876143,98.638319,-1.838847,86.308660,-1.941587,96.063620,-1.892402,92.678068,-1.937046,102.032879,-2.075281,91.550195,-1.978227,99.428403,-2.009694,96.392311,-2.022962,105.815841,-2.062841,106.332425,-2.162744,-43.381780
0.600000,0.000000,91.754051,-1.325555,92.774104,-1.387874,93.202124,-1.416950,93.117664,-1.358580,90.402423,-1.386978,90.253424,-1.541435,90.631556,-1.531999,87.125200,-1.517145,95.159553,-1.547696,89.621015,-1.628546,95.924275,-1.704301,92.887233,-1.638171,91.181922,-1.730237,93.966878,-1.733643,89.285221,-1.755026,89.566747,-1.830518,86.065263,-1.809354,94.499913,-1.843361,84.010223,-2.000888,90.706530,-1.997255,87.086494,-1.888596,91.215444,-1.971711,86.550473,-1.976104,87.093097,-2.042458,91.542931,-2.099953,90.815794,-2.126923,99.751681,-2.058617,102.702225,-2.192988,93.544785,-2.181537,96.068618,-2.188707,90.029147,-2.199430,95.736609,-2.347764,-43.098492
0.700000,0.000000,109.972101,-1.178883,97.766502,-1.235386,91.560367,-1.229202,83.413226,-1.317359,87.180735,-1.353185,95.482703,-1.345889,89.982228,-1.435468,95.868933,-1.407860,98.269450,-1.438877,87.622991,-1.339954,94.806919,-1.492808,88.253891,-1.526383,94.080893,-1.514954,102.379726,-1.618069,88.501416,-1.547107,95.828658,-1.653576,92.015868,-1.721750,92.127172,-1.692091,89.541217,-1.739723,96.221897,-1.774751,103.766426,-1.865227,100.300334,-1.789560,98.082825,-1.784194,100.038321,-1.855372,95.684849,-1.846436,108.999645,-1.854736,97.883777,-1.903142,98.478691,-2.046129,97.217131,-2.115328,93.090871,-2.000000,103.767900,-2.080270,93.174645,-2.110620,-43.134809
0.800000,0.000000,112.011127,-0.692078,114.313876,-0.963314,108.686327,-0.827191,111.196064,-0.956070,107.507096,-0.971627,102.702907,-0.922329,106.076296,-0.958810,103.686133,-0.979987,112.576926,-1.065435,113.391795,-0.994671,113.254330,-1.136803,110.012915,-1.075976,103.795331,-1.117614,113.512370,-1.256658,104.618144,-1.161166,110.754055,-1.215778,95.075158,-1.314833,97.161567,-1.307889,98.880638,-1.321646,113.817109,-1.503206,102.540476,-1.387061,110.858608,-1.380520,100.555634,-1.481859,106.739760,-1.515729,111.061280,-1.522615,115.168823,-1.630406,108.228048,-1.545790,105.281971,-1.624430,106.381727,-1.636616,123.643048,-1.742341,111.598010,-1.665307,117.683765,-1.735159,-44.229418
0.900000,0.000000,105.217485,-0.706319,106.360108,-0.710737,110.783871,-0.709476,101.936152,-0.793371,114.256404,-0.750701,105.993813,-0.829622,113.612649,-0.890760,110.836612,-0.908560,101.080772,-0.933251,106.466935,-0.940606,99.674949,-0.987420,112.128238,-1.040412,107.678696,-0.951349,121.842664,-0.985418,106.796952,-1.200747,113.142480,-1.117599,107.029255,-1.193909,96.711194,-1.198646,106.299597,-1.206609,110.791228,-1.324385,100.373841,-1.243197,104.227981,-1.496633,111.617743,-1.352711,116.669288,-1.340660,102.408813,-1.421525,111.872888,-1.443092,119.537000,-1.344749,121.222745,-1.547212,123.922702,-1.452161,111.226511,-1.636530,110.150997,-1.569757,124.440539,-1.523706,-44.405557
