Time,BER,Ch 00 (Mag),Ch 00 (Pha),Ch 01 (Mag),Ch 01 (Pha),Ch 02 (Mag),Ch 02 (Pha),Ch 03 (Mag),Ch 03 (Pha),Ch 04 (Mag),Ch 04 (Pha),Ch 05 (Mag),Ch 05 (Pha),Ch 06 (Mag),Ch 06 (Pha),Ch 07 (Mag),Ch 07 (Pha),Ch 08 (Mag),Ch 08 (Pha),Ch 09 (Mag),Ch 09 (Pha),Ch 10 (Mag),Ch 10 (Pha),Ch 11 (Mag),Ch 11 (Pha),Ch 12 (Mag),Ch 12 (Pha),Ch 13 (Mag),Ch 13 (Pha),Ch 14 (Mag),Ch 14 (Pha),Ch 15 (Mag),Ch 15 (Pha),Ch 16 (Mag),Ch 16 (Pha),Ch 17 (Mag),Ch 17 (Pha),Ch 18 (Mag),Ch 18 (Pha),Ch 19 (Mag),Ch 19 (Pha),Ch 20 (Mag),Ch 20 (Pha),Ch 21 (Mag),Ch 21 (Pha),Ch 22 (Mag),Ch 22 (Pha),Ch 23 (Mag),Ch 23 (Pha),Ch 24 (Mag),Ch 24 (Pha),Ch 25 (Mag),Ch 25 (Pha),Ch 26 (Mag),Ch 26 (Pha),Ch 27 (Mag),Ch 27 (Pha),Ch 28 (Mag),Ch 28 (Pha),Ch 29 (Mag),Ch 29 (Pha),Ch 30 (Mag),Ch 30 (Pha),Ch 31 (Mag),Ch 31 (Pha),RSS
0.000000,0.000000,101.981626,-0.232481,110.502581,-0.293337,113.148304,-0.386834,111.438290,-0.286309,99.787992,-0.300276,108.239044,-0.334678,108.428452,-0.333757,108.006781,-0.369275,131.120218,-0.376249,108.023070,-0.373104,105.618922,-0.402031,103.640784,-0.407358,102.981227,-0.437470,106.908506,-0.474682,105.605801,-0.523438,112.268488,-0.561428,120.210028,-0.533179,111.733809,-0.463433,111.821995,-0.565787,115.819191,-0.603525,110.898126,-0.635984,106.525992,-0.601419,109.550434,-0.641591,105.322636,-0.702007,111.921440,-0.725110,122.564936,-0.823091,101.804160,-0.708288,111.491562,-0.779212,112.408015,-0.845430,129.145760,-0.806207,120.839687,-0.707902,111.842246,-0.712997,-44.390118
0.101000,0.000000,102.049183,-0.334457,94.366897,-0.268019,92.636651,-0.342224,93.224029,-0.362197,85.703186,-0.409096,100.728443,-0.394886,93.901828,-0.474200,95.965304,-0.452352,87.537351,-0.427447,85.477359,-0.493500,91.967289,-0.477158,87.124582,-0.560042,93.312887,-0.538473,90.391504,-0.573537,87.072051,-0.625784,89.459997,-0.668130,87.264975,-0.575866,93.068727,-0.636305,106.831771,-0.677734,95.121542,-0.716482,94.877351,-0.699984,88.301128,-0.761692,89.661774,-0.661733,91.528128,-0.768156,89.424901,-0.719406,94.900059,-0.769708,97.063200,-0.730830,94.500704,-0.834569,91.286867,-0.815187,91.686369,-0.957946,91.084300,-0.862394,96.522908,-0.969914,-42.948250
0.201000,0.000000,108.402609,-0.365759,106.532337,-0.297069,113.805053,-0.334360,115.590569,-0.367520,106.135106,-0.406275,112.616701,-0.394185,109.433086,-0.484491,109.437483,-0.497414,113.624405,-0.537190,109.773144,-0.574365,120.341777,-0.535952,114.991419,-0.529178,107.190428,-0.412095,98.913194,-0.514602,114.327006,-0.542334,123.080703,-0.570261,114.003396,-0.714997,115.438952,-0.583564,114.760112,-0.700644,112.233830,-0.591309,111.602257,-0.789458,103.484576,-0.679073,106.778348,-0.668740,107.239211,-0.748351,105.626299,-0.655661,121.817878,-0.790855,109.590392,-0.793526,110.524541,-0.746030,119.421282,-0.757974,117.415390,-0.802532,120.091880,-0.799019,131.991354,-0.927771,-44.621670
0.301000,0.000000,90.551860,-0.341373,99.531953,-0.334327,100.095993,-0.349849,101.913588,-0.364645,97.593716,-0.370917,97.584341,-0.292931,99.252695,-0.380280,95.387238,-0.542387,103.336346,-0.439577,97.026255,-0.503411,102.481112,-0.610529,98.269687,-0.451666,101.809829,-0.435148,92.554312,-0.583156,90.430507,-0.523521,99.969499,-0.573907,100.503758,-0.612858,102.822533,-0.664228,96.029912,-0.663020,105.548782,-0.634682,97.159491,-0.547149,95.184824,-0.720052,95.390987,-0.812126,89.457817,-0.756437,101.301203,-0.747747,98.093561,-0.832556,111.572416,-0.692325,99.667394,-0.875746,106.449071,-0.816462,114.345167,-0.976171,112.629381,-0.957773,105.624409,-0.882948,-43.643114
0.401000,0.000000,94.103151,-0.268248,88.153747,-0.405641,89.646322,-0.347391,98.845469,-0.394228,96.225671,-0.365210,88.004555,-0.391237,97.932025,-0.453844,88.913312,-0.421598,88.186601,-0.414281,99.885321,-0.552228,98.044567,-0.509894,89.747060,-0.464916,97.050076,-0.555705,92.557947,-0.554827,91.515203,-0.573467,91.383564,-0.543610,92.802510,-0.549555,88.382234,-0.641831,99.168848,-0.730020,98.154126,-0.651024,96.330123,-0.728741,94.599019,-0.648076,94.326887,-0.790081,99.360077,-0.741219,96.202244,-0.770372,98.706108,-0.798579,94.254432,-0.794644,102.680603,-0.801602,100.326412,-0.810472,107.233851,-0.784773,94.169144,-0.784231,110.648835,-0.884757,-43.298173
0.501000,0.000000,106.944819,-0.220661,109.678583,-0.359168,100.825706,-0.284105,123.267182,-0.231133,103.503253,-0.332429,94.608879,-0.418272,94.226426,-0.446305,100.866874,-0.468604,107.651241,-0.422822,106.440511,-0.352080,100.887080,-0.475020,100.906377,-0.465844,105.362107,-0.517717,98.105014,-0.607948,95.326923,-0.551326,107.623944,-0.537931,96.533249,-0.569906,99.123794,-0.592099,99.431586,-0.639192,94.009454,-0.563958,98.613825,-0.632524,104.953316,-0.606218,102.943099,-0.669124,107.403238,-0.662821,108.578438,-0.743793,100.947539,-0.701064,102.998523,-0.730035,100.255918,-0.821445,103.055923,-0.836771,115.124432,-0.888222,109.894070,-0.982318,102.234495,-0.901752,-43.849962
0.601000,0.000000,91.111464,-0.271795,88.616799,-0.289279,83.617296,-0.258050,99.152230,-0.241947,91.583960,-0.367525,85.303933,-0.376931,85.948058,-0.365152,90.129139,-0.460741,78.992483,-0.431973,89.751032,-0.427926,91.746393,-0.413052,85.902773,-0.492784,88.138593,-0.443492,95.867350,-0.502600,88.393946,-0.464382,90.832638,-0.581894,84.672740,-0.553175,92.981988,-0.613156,99.353802,-0.560929,95.958577,-0.559870,86.448503,-0.675002,90.156477,-0.537793,84.842182,-0.624735,84.853780,-0.726183,88.992530,-0.616679,86.208304,-0.718899,92.061664,-0.636580,93.195312,-0.793760,95.999778,-0.816182,98.379226,-0.840249,96.219417,-0.781300,96.334062,-0.861381,-42.812193
0.701000,0.000000,110.228931,-0.155269,99.632302,-0.233846,114.867470,-0.237933,101.399264,-0.223833,111.643071,-0.265080,104.355285,-0.262906,109.681870,-0.224690,105.392328,-0.369010,110.126157,-0.414227,98.439065,-0.371009,109.867976,-0.355370,103.840143,-0.332635,108.752980,-0.444074,111.674871,-0.448668,109.074301,-0.490386,105.820389,-0.530206,111.798686,-0.500558,113.871381,-0.529220,107.962814,-0.467590,108.114034,-0.551299,101.349517,-0.689885,94.568610,-0.685034,110.786893,-0.634092,105.496318,-0.548172,106.461095,-0.654328,111.796992,-0.694763,108.379242,-0.681675,116.486780,-0.762347,115.753747,-0.642470,116.383698,-0.779533,124.189008,-0.798389,105.448548,-0.845074,-44.296924
0.802000,0.000000,109.148194,1.642016,97.293387,1.567045,107.388485,1.416431,99.458585,1.317994,96.756690,1.070062,93.847506,0.944054,97.815392,0.823309,97.782153,0.629341,93.513821,0.576700,106.879561,0.374582,92.992448,0.234126,94.112848,0.106413,99.902141,0.108167,102.625177,-0.184905,96.057542,-0.278138,90.847794,-0.472763,98.371264,-0.543563,103.338698,-0.713676,97.270236,-0.821156,104.519817,-0.956714,101.704853,-1.084844,96.650159,-1.306312,104.855353,-1.405625,93.118094,-1.546200,105.958153,-1.756357,102.504033,-1.845278,100.391567,-2.005215,95.989874,-2.220037,94.170058,-2.281410,110.630794,-2.329330,102.460817,-2.555844,101.161281,-2.719004,-43.565401
0.902000,0.000000,114.954707,-0.205794,99.193283,-0.159137,113.597608,-0.235145,101.008722,-0.229426,108.063152,-0.184323,111.182454,-0.240656,105.934274,-0.340959,97.659654,-0.301223,109.013564,-0.394449,99.688977,-0.350849,108.460801,-0.370916,101.121490,-0.409823,103.328422,-0.447377,111.062103,-0.458937,110.789487,-0.447760,100.166202,-0.447949,96.573364,-0.516865,98.700637,-0.543939,115.795729,-0.424756,98.530522,-0.434357,109.315161,-0.493867,102.459464,-0.581640,114.445493,-0.560146,110.231476,-0.548064,119.070638,-0.642642,105.869869,-0.642882,109.725782,-0.675819,109.272828,-0.689417,122.957058,-0.645007,111.668268,-0.678183,115.665410,-0.812919,114.655471,-0.672028,-44.248767
