Time,BER,Ch 00 (Mag),Ch 00 (Pha),Ch 01 (Mag),Ch 01 (Pha),Ch 02 (Mag),Ch 02 (Pha),Ch 03 (Mag),Ch 03 (Pha),Ch 04 (Mag),Ch 04 (Pha),Ch 05 (Mag),Ch 05 (Pha),Ch 06 (Mag),Ch 06 (Pha),Ch 07 (Mag),Ch 07 (Pha),Ch 08 (Mag),Ch 08 (Pha),Ch 09 (Mag),Ch 09 (Pha),Ch 10 (Mag),Ch 10 (Pha),Ch 11 (Mag),Ch 11 (Pha),Ch 12 (Mag),Ch 12 (Pha),Ch 13 (Mag),Ch 13 (Pha),Ch 14 (Mag),Ch 14 (Pha),Ch 15 (Mag),Ch 15 (Pha),Ch 16 (Mag),Ch 16 (Pha),Ch 17 (Mag),Ch 17 (Pha),Ch 18 (Mag),Ch 18 (Pha),Ch 19 (Mag),Ch 19 (Pha),Ch 20 (Mag),Ch 20 (Pha),Ch 21 (Mag),Ch 21 (Pha),Ch 22 (Mag),Ch 22 (Pha),Ch 23 (Mag),Ch 23 (Pha),Ch 24 (Mag),Ch 24 (Pha),Ch 25 (Mag),Ch 25 (Pha),Ch 26 (Mag),Ch 26 (Pha),Ch 27 (Mag),Ch 27 (Pha),Ch 28 (Mag),Ch 28 (Pha),Ch 29 (Mag),Ch 29 (Pha),Ch 30 (Mag),Ch 30 (Pha),Ch 31 (Mag),Ch 31 (Pha),RSS
0.000000,0.000000,72.966455,2.559174,66.792538,2.679322,72.684296,2.568728,70.521577,2.662458,74.958792,2.590887,64.381528,2.644492,69.477192,2.699720,66.375230,2.614483,73.614834,2.743212,69.854114,2.739324,71.945718,2.698234,72.851839,2.833852,65.719456,2.741668,63.639317,2.784413,68.832855,2.866010,72.961832,2.842794,63.950138,2.859885,67.572606,2.839613,71.856431,2.763052,75.389768,2.886886,74.042276,2.900574,69.965676,2.832346,73.860069,2.914850,68.421814,3.083950,73.507571,2.885006,73.391451,2.910398,76.894209,3.027780,66.530837,3.063236,74.875024,2.993198,72.542827,3.032198,74.685663,3.015811,75.817225,3.064371,-40.728220
0.100000,0.000000,68.406907,2.606963,74.532864,2.654543,72.842061,2.663940,69.757350,2.681158,75.923177,2.668054,72.763463,2.693012,69.699734,2.695969,72.817508,2.699081,68.416743,2.717254,67.881448,2.791056,74.753380,2.766605,74.673214,2.799139,68.281217,2.808357,68.674875,2.778411,68.992883,2.805053,69.152167,2.842245,69.952774,2.776763,69.093784,2.908009,70.623384,2.888771,70.491509,2.897714,68.059491,2.888138,71.860638,2.915971,68.172395,2.928981,69.737107,2.994441,76.617667,2.906092,68.514363,2.928655,79.588614,2.977244,73.871069,3.057381,75.640505,3.001649,73.414812,3.028068,73.166157,3.088750,75.048435,2.994519,-40.837239
0.200000,0.000000,77.098047,2.591606,73.246497,2.643188,76.093805,2.616862,67.893904,2.651897,76.721591,2.658180,73.292487,2.655877,73.965729,2.593237,72.186759,2.708833,77.144508,2.689261,69.554794,2.722709,80.694695,2.681509,70.289301,2.779733,72.716820,2.806900,67.185778,2.819989,79.404986,2.874099,69.656327,2.860413,70.453915,2.821181,72.437211,2.875662,74.975823,2.858608,68.288531,2.855592,67.266190,2.966034,71.822582,2.899897,71.093942,2.941991,75.816669,2.969115,69.938083,2.994737,71.088467,2.879773,69.378081,3.040202,72.178312,3.004773,77.994348,2.929991,82.104082,2.996009,75.808810,2.960430,83.579781,2.917764,-40.935174
0.300000,0.000000,72.378550,2.628566,78.665775,2.601097,77.638195,2.786450,71.829904,2.659848,64.759849,2.650575,70.992417,2.737156,68.725825,2.671249,77.627472,2.750634,75.387950,2.712326,70.665640,2.784972,72.871645,2.693390,72.273935,2.792850,71.598605,2.806513,76.030520,2.829197,77.592713,2.840806,64.585188,2.780861,69.696370,2.830801,69.546139,2.812853,70.535258,2.930843,69.193331,2.776556,74.397178,2.872570,67.923469,2.894931,67.362997,2.858682,69.011434,2.865645,72.851036,2.875706,73.143132,2.922050,77.568609,2.939379,70.363650,3.027152,75.903970,2.981566,73.222701,2.916803,78.291871,2.991908,84.930392,3.077233,-41.005008
0.400000,0.000000,78.973209,2.561820,74.672289,2.657057,74.030360,2.645806,82.047698,2.673009,70.649220,2.701294,68.422226,2.685756,69.434523,2.680052,74.218916,2.656485,69.404719,2.740356,72.345615,2.727521,71.294821,2.738305,73.887731,2.773505,75.256359,2.819266,72.589162,2.790574,72.537729,2.834974,76.102951,2.733498,66.216541,2.739365,67.946995,2.863325,72.029472,2.790471,75.599895,2.738947,73.771135,2.819693,71.541792,2.914171,71.128323,2.995388,71.635301,2.965495,74.669974,2.954197,69.727181,2.883403,67.430772,3.009329,71.488431,2.913496,78.936499,2.905903,78.984553,3.005023,73.585116,3.039773,80.001623,3.106734,-40.989447
0.500000,0.000000,77.911072,2.702561,75.051392,2.586204,77.521956,2.699651,79.707052,2.768729,71.880564,2.689004,73.923960,2.693909,64.899771,2.699643,70.731881,2.695398,68.521160,2.819191,75.928166,2.767885,73.066810,2.808874,70.041747,2.791198,73.044148,2.835260,78.747230,2.832014,77.351531,2.806615,74.493885,2.806500,64.817235,2.949370,64.939528,2.847548,67.187900,2.886958,70.898574,2.801963,67.054911,2.903964,70.766493,2.929537,70.835209,2.893753,72.318270,2.919479,74.502423,2.959678,74.153098,2.953480,72.419565,3.108269,76.762704,2.988183,79.896350,2.976778,70.952696,3.095148,80.637154,3.000528,74.449642,3.114269,-40.950523
0.600000,0.000000,75.926020,2.676269,63.269980,2.604956,64.966595,2.659634,70.808198,2.712231,69.395134,2.655234,72.096201,2.703360,66.873608,2.768020,70.423327,2.728970,68.707490,2.758519,70.804497,2.731691,66.455624,2.754579,69.578644,2.760132,71.157763,2.797970,67.975317,2.839004,64.644036,2.828291,69.155672,2.870530,68.378744,2.830512,68.127201,2.903022,60.498275,2.947757,70.375645,2.869186,76.446869,2.876098,66.711570,2.888971,70.454569,2.974437,72.251994,2.900629,71.013844,2.996716,71.641387,2.965151,74.469650,3.042445,70.169763,3.048652,69.687586,3.001226,68.529681,3.033292,76.494441,3.075400,70.146337,3.090933,-40.688865
0.700000,0.000000,77.407268,2.615816,75.181391,2.687221,68.108006,2.602681,65.990917,2.678006,65.413740,2.647167,74.549017,2.662831,68.753458,2.623067,68.024023,2.706992,72.101261,2.671819,67.988021,2.817085,67.974103,2.783368,71.306987,2.803454,69.777763,2.770746,66.488762,2.814988,67.855881,2.814244,65.344922,2.830596,67.777825,2.903648,69.803534,2.777769,68.281812,2.894952,70.054728,2.911877,66.486975,2.907874,68.613620,2.941187,70.599408,2.936002,65.061686,2.929254,69.962745,2.886205,69.928866,2.935197,72.164638,2.993346,66.413115,3.046754,72.049438,3.011230,72.772660,3.033168,69.326812,3.075133,74.672717,3.101418,-40.570923
0.800000,0.000000,73.496696,2.715055,67.506127,2.677296,69.252059,2.690227,77.570732,2.603909,64.429649,2.778907,64.152976,2.664277,66.441148,2.743702,69.235580,2.712700,69.503511,2.703953,65.731169,2.784584,70.206703,2.788219,72.954843,2.832854,73.309863,2.755920,69.266778,2.806777,66.570861,2.790794,66.304984,2.914920,71.418234,2.796250,71.561285,2.951997,64.700269,2.829177,71.840625,2.899326,74.365035,2.967811,62.461489,2.940019,70.998492,2.921373,69.920001,2.952268,65.504988,2.919150,70.725015,2.932919,65.877013,2.978765,76.838691,3.064268,70.898285,3.070904,77.951613,3.096702,67.297112,3.018263,79.054000,3.066893,-40.693708
0.900000,0.000000,78.636410,2.608700,70.926920,2.623415,75.451296,2.610137,70.326064,2.675278,69.503586,2.668997,69.026964,2.608211,70.162275,2.704193,72.955449,2.693421,71.807444,2.732037,74.849623,2.772161,67.969454,2.744702,76.350832,2.773147,72.155320,2.766599,64.894164,2.782717,67.480743,2.826618,71.745444,2.882728,67.146036,2.724739,74.338589,2.744023,68.840755,2.780835,71.768156,2.893183,65.607696,2.898699,67.364522,2.941688,72.047412,2.936635,66.854611,2.974936,72.926862,2.882899,71.884169,2.958082,71.060860,2.954593,81.002119,3.007211,80.316852,3.097980,78.896373,3.047350,72.433068,3.067432,77.431594,3.001653,-40.816548
