Time,BER,Ch 00 (Mag),Ch 00 (Pha),Ch 01 (Mag),Ch 01 (Pha),Ch 02 (Mag),Ch 02 (Pha),Ch 03 (Mag),Ch 03 (Pha),Ch 04 (Mag),Ch 04 (Pha),Ch 05 (Mag),Ch 05 (Pha),Ch 06 (Mag),Ch 06 (Pha),Ch 07 (Mag),Ch 07 (Pha),Ch 08 (Mag),Ch 08 (Pha),Ch 09 (Mag),Ch 09 (Pha),Ch 10 (Mag),Ch 10 (Pha),Ch 11 (Mag),Ch 11 (Pha),Ch 12 (Mag),Ch 12 (Pha),Ch 13 (Mag),Ch 13 (Pha),Ch 14 (Mag),Ch 14 (Pha),Ch 15 (Mag),Ch 15 (Pha),Ch 16 (Mag),Ch 16 (Pha),Ch 17 (Mag),Ch 17 (Pha),Ch 18 (Mag),Ch 18 (Pha),Ch 19 (Mag),Ch 19 (Pha),Ch 20 (Mag),Ch 20 (Pha),Ch 21 (Mag),Ch 21 (Pha),Ch 22 (Mag),Ch 22 (Pha),Ch 23 (Mag),Ch 23 (Pha),Ch 24 (Mag),Ch 24 (Pha),Ch 25 (Mag),Ch 25 (Pha),Ch 26 (Mag),Ch 26 (Pha),Ch 27 (Mag),Ch 27 (Pha),Ch 28 (Mag),Ch 28 (Pha),Ch 29 (Mag),Ch 29 (Pha),Ch 30 (Mag),Ch 30 (Pha),Ch 31 (Mag),Ch 31 (Pha),RSS
0.000000,0.000000,291.400296,1.620907,232.419478,1.941684,219.420949,2.092816,221.408849,1.834807,218.590369,1.730541,309.778897,1.925568,328.750201,1.769568,259.347322,1.779948,253.490144,1.860649,216.300678,1.906024,222.967431,1.935231,264.362342,2.006497,306.703666,2.036987,274.772795,2.019986,228.674103,1.938417,315.618196,1.736039,249.714620,2.127318,211.558708,2.119866,184.565420,1.842424,223.754969,2.001594,192.248972,1.884355,264.518641,2.193527,285.420307,2.430602,229.077951,2.108316,300.179496,2.487349,233.713161,2.154618,228.227882,1.996512,215.703724,2.265207,277.489247,2.223411,345.528259,2.192970,234.594955,2.190497,266.867929,2.345797,-50.864541
0.101000,0.000787,243.573247,1.588801,258.741095,1.730974,257.965695,1.809991,279.737757,1.137249,232.473510,1.968561,231.769634,1.864218,233.131346,1.898976,261.179862,1.844521,251.126759,1.812517,256.201812,2.280167,239.951383,1.939359,262.262338,2.132887,204.508826,1.971287,244.822142,2.085812,252.243844,1.649485,232.582340,1.964824,311.796305,1.829899,304.439283,2.116985,253.177805,2.241073,273.760807,2.139076,220.800497,2.226484,187.108784,2.097017,273.741989,1.850494,220.761469,2.202028,301.750502,2.138673,282.801059,1.871282,324.396567,2.292131,261.134749,2.292873,255.859466,2.559704,231.966022,2.127932,301.440734,2.217287,311.576352,2.374201,-51.051319
0.201000,0.000000,281.579833,0.161089,270.336326,-0.072429,226.820692,0.221186,247.178387,0.576821,210.110710,0.378657,252.189006,0.737618,301.313334,0.653244,270.146632,0.949376,290.162191,1.321035,274.113613,1.218498,310.602374,1.104228,235.776317,1.196923,170.155579,1.659497,225.619997,1.560009,274.954590,1.857335,197.364734,2.042559,286.196165,2.099319,313.150324,2.285139,196.677347,2.372280,257.501573,2.503650,263.138935,2.801591,303.679428,2.847156,234.702001,3.139195,238.426540,-3.121195,261.797306,3.069807,253.259089,-2.979611,276.809384,-2.666427,272.749730,-2.584567,214.175929,-2.602032,255.223570,-2.424334,247.518851,-2.170785,208.881320,-1.907467,-50.792258
0.301000,0.000000,247.629263,-2.915399,323.121542,-3.090271,234.771523,-2.906805,252.782800,-3.087807,295.239978,-3.039319,301.150608,3.073584,363.681855,2.986242,282.322212,3.059439,217.074489,2.709958,339.331590,2.602241,360.212599,2.411152,282.046514,2.382667,278.001311,2.541096,270.139043,1.858206,392.563294,2.052353,240.411723,1.875909,235.924438,1.901012,303.192970,1.776250,366.915851,1.920910,249.853669,1.409136,309.568127,1.282419,257.312891,0.964378,403.770774,1.169314,286.330696,1.349815,228.970020,0.438773,321.217583,1.145150,415.144003,0.506810,379.184043,0.917493,292.466119,0.497051,309.333632,0.480772,254.102206,0.510460,298.978534,0.152654,-52.097672
0.401000,0.000787,352.502800,-2.252492,328.205424,-2.587933,244.203843,-2.864090,266.821422,3.068171,292.314609,3.107550,256.251592,-3.137621,297.934671,3.082837,297.044290,2.606663,217.750857,2.599489,289.836252,2.692885,254.278073,2.620723,205.985925,2.724177,259.540493,2.172330,236.419635,2.382851,209.471947,2.008333,341.111265,1.963614,355.884239,1.846648,235.391386,1.635660,273.435991,1.647302,283.642265,1.605319,282.635238,1.409310,398.846066,1.468928,387.805871,0.881301,243.670612,1.125478,256.569604,1.048543,221.090206,0.924419,340.267716,0.478380,349.796655,1.130521,238.037953,0.171995,368.253808,0.462140,289.291579,0.395426,304.276762,0.129591,-51.737731
0.501000,0.000000,225.033820,1.719213,188.930839,1.816149,222.723355,1.795377,404.625219,1.569390,262.688164,1.850345,238.911513,2.225146,222.989342,1.773331,199.661140,1.753727,233.255191,1.666431,257.496834,1.967700,197.416134,1.908668,232.707580,1.918936,267.419609,1.943535,226.758215,2.270463,222.885118,2.094618,226.987078,2.170913,239.674131,1.818224,253.410039,2.163525,270.571675,2.210601,198.874415,2.222484,224.794350,2.249362,222.225003,1.998603,259.012562,2.098726,254.758507,1.788836,243.787555,1.945649,256.094869,2.413504,247.114556,2.259021,228.771210,2.414055,296.649278,2.403077,315.705994,2.373770,306.753566,2.445280,270.890706,2.358823,-50.952701
0.601000,0.000000,183.082401,1.908995,276.862580,2.107260,367.123951,1.783486,225.288759,1.957705,287.700254,1.808026,203.568449,2.219293,227.518399,1.878293,273.342841,2.081945,250.107391,1.912521,328.374116,2.157437,247.588161,1.930766,286.708913,2.186024,260.253175,2.244349,335.453482,2.085076,247.683333,1.865712,257.066403,2.145079,254.518442,2.051378,241.044194,2.083164,263.665198,2.160730,270.965003,2.578562,211.652374,1.880431,233.855684,2.128147,205.886688,2.028892,228.386398,1.960597,220.541743,2.129017,211.944583,2.199780,292.247596,1.858126,285.446915,2.137002,193.023708,2.096920,213.579940,2.414258,285.323944,2.185064,230.396130,2.265504,-50.867182
0.702000,0.000000,304.239386,1.849455,240.538326,2.130488,268.176299,2.404597,255.194076,2.121037,212.122519,2.332968,227.756183,2.215368,233.318879,1.843620,205.879155,1.646404,338.744301,2.001018,221.385198,1.874624,203.231681,2.016584,231.336894,2.140070,262.949269,2.108186,251.855804,2.030954,264.665301,2.148811,246.400171,2.239849,235.285305,2.279805,244.782152,2.230159,230.177956,2.207131,244.478586,2.084323,280.564813,2.522968,293.329008,2.487472,228.862055,2.106525,271.487460,2.151458,295.188030,2.283375,241.422311,2.327799,222.767225,2.439853,209.517975,2.176988,326.151390,2.397014,252.377987,2.254992,312.109619,2.624624,286.932840,2.364790,-50.884207
0.803000,0.000000,218.595442,1.795630,246.526362,1.768698,253.814926,1.857399,244.879975,1.756130,234.176912,2.102738,261.035572,1.660891,206.335716,1.991914,287.911818,1.653169,243.408227,1.986000,194.653481,2.120186,232.321082,2.119567,270.919761,2.110971,189.214203,2.011037,243.222676,1.986257,211.188783,1.931576,227.292281,2.297658,241.589719,1.965188,190.191023,1.984620,199.441883,1.925360,249.456044,1.874080,332.864303,2.017622,213.390279,1.932080,252.882755,2.239946,291.672517,2.255609,346.661557,2.233654,311.306347,2.321849,251.866638,1.903837,263.362661,2.260770,229.554159,2.409617,218.606119,2.440384,292.518432,2.412207,234.685745,2.122534,-50.830861
0.903000,0.000000,298.598893,2.053444,294.107950,2.113141,438.342325,1.986788,209.636560,1.973535,356.781829,1.959843,238.427370,2.276665,315.462291,2.082512,223.656591,1.816155,255.639080,2.146083,206.143903,2.057536,256.733454,2.033074,302.795620,2.114847,268.539792,2.195750,246.590658,1.588614,240.763406,2.070620,258.186696,1.960868,249.959162,2.086314,253.609051,2.335300,229.911532,2.521686,273.694816,2.013214,248.192606,2.471626,190.374896,2.153435,276.004087,2.397983,275.057455,2.101727,244.354962,2.277980,304.608263,2.613273,243.485383,2.502362,200.209515,2.293055,268.146020,2.092857,290.312309,2.440325,272.667947,2.443503,331.084057,2.416319,-51.328180
1.003000,0.000000,218.856518,1.935516,226.177252,1.769256,193.614920,2.045287,202.170964,2.044910,244.221968,1.897327,223.247404,1.919896,274.938678,1.945175,262.185294,2.067273,219.783369,2.049196,191.224785,1.799801,227.818193,2.230951,199.936210,2.084833,231.028364,1.791673,203.822472,1.857982,206.678574,2.247114,218.076278,1.914771,179.265773,2.150610,212.129012,2.100610,212.409683,2.073238,244.737487,2.182724,289.003545,2.268182,251.505694,2.053891,240.094901,2.192563,251.648200,2.311249,304.032674,2.390692,221.297700,2.152511,224.380441,2.096914,218.973825,2.329257,278.579691,2.133344,255.829351,2.469504,205.527547,2.265819,209.808060,2.256130,-50.220581
1.103000,0.000000,272.666044,1.631619,215.447242,1.695781,259.774045,2.072831,268.219204,1.883655,239.045115,1.879955,266.324379,2.069148,384.800319,1.831964,211.988637,2.006831,277.584146,2.329724,222.668604,2.163509,294.007173,1.955722,184.290928,2.044950,237.035219,1.954611,238.701283,2.029439,201.950238,1.949011,235.789966,2.088103,249.559030,2.340092,238.239684,2.214057,228.574012,2.045470,242.633857,2.024022,212.431212,1.959057,247.437155,2.321904,244.020042,2.091211,309.657469,2.110504,298.693683,2.426228,223.441885,2.188446,206.798903,1.930106,219.774957,2.258284,204.467907,2.563025,261.522386,2.678295,223.784538,2.323192,300.348386,2.534461,-50.654080
1.203000,0.000000,282.804915,2.023113,227.315242,2.101308,230.576800,1.955843,280.248036,1.812558,277.708701,1.728667,261.174949,2.005951,210.401558,2.036944,215.536158,2.126605,227.969466,2.056818,254.075355,1.821420,216.915283,1.930985,234.387649,1.982383,239.658108,2.014751,202.287659,2.092301,236.255320,1.959342,222.848578,2.109322,208.268191,2.090429,271.472236,2.031332,211.898362,2.148812,212.585851,2.120230,269.899921,1.816989,188.524126,2.012751,257.200990,2.231905,216.907130,2.260015,243.928330,2.328019,314.255841,2.532410,208.534876,2.331568,278.059050,2.396409,239.445943,2.149384,158.701024,2.279485,306.612204,2.020738,269.394384,2.342715,-50.586676
