Time,BER,Ch 00 (Mag),Ch 00 (Pha),Ch 01 (Mag),Ch 01 (Pha),Ch 02 (Mag),Ch 02 (Pha),Ch 03 (Mag),Ch 03 (Pha),Ch 04 (Mag),Ch 04 (Pha),Ch 05 (Mag),Ch 05 (Pha),Ch 06 (Mag),Ch 06 (Pha),Ch 07 (Mag),Ch 07 (Pha),Ch 08 (Mag),Ch 08 (Pha),Ch 09 (Mag),Ch 09 (Pha),Ch 10 (Mag),Ch 10 (Pha),Ch 11 (Mag),Ch 11 (Pha),Ch 12 (Mag),Ch 12 (Pha),Ch 13 (Mag),Ch 13 (Pha),Ch 14 (Mag),Ch 14 (Pha),Ch 15 (Mag),Ch 15 (Pha),Ch 16 (Mag),Ch 16 (Pha),Ch 17 (Mag),Ch 17 (Pha),Ch 18 (Mag),Ch 18 (Pha),Ch 19 (Mag),Ch 19 (Pha),Ch 20 (Mag),Ch 20 (Pha),Ch 21 (Mag),Ch 21 (Pha),Ch 22 (Mag),Ch 22 (Pha),Ch 23 (Mag),Ch 23 (Pha),Ch 24 (Mag),Ch 24 (Pha),Ch 25 (Mag),Ch 25 (Pha),Ch 26 (Mag),Ch 26 (Pha),Ch 27 (Mag),Ch 27 (Pha),Ch 28 (Mag),Ch 28 (Pha),Ch 29 (Mag),Ch 29 (Pha),Ch 30 (Mag),Ch 30 (Pha),Ch 31 (Mag),Ch 31 (Pha),RSS
0.000000,0.000000,287.894086,1.829778,203.245073,1.708445,248.450431,2.078470,236.019314,1.703666,237.628615,1.807522,291.196430,1.963156,226.841706,1.815716,207.364451,1.934297,261.281460,1.875821,233.844853,1.869344,282.134757,1.703464,243.013485,1.985282,184.568921,1.827323,224.719482,2.042929,224.514615,1.904450,264.608917,1.875340,193.591279,1.957277,197.210698,1.964164,233.549896,2.020264,246.459348,2.003408,258.053809,2.246393,309.419398,1.867626,243.588069,2.275602,225.248428,2.098180,271.048037,2.124613,255.589474,2.040390,212.746694,2.285149,213.480689,2.129524,216.392924,2.270835,311.653073,2.464117,359.361303,2.187587,279.781876,2.319371,-50.783857
0.100000,0.000000,360.639332,-3.058324,189.908822,-2.732759,181.578627,-3.020293,196.417022,-2.972200,190.698378,2.983614,236.749211,2.941450,226.018733,2.746587,217.822822,2.749791,213.905002,2.486321,216.634258,2.612913,225.800135,2.506775,203.173348,2.366451,197.459583,2.188418,189.952160,2.033747,211.240862,2.078048,228.154138,1.735115,186.962933,1.702893,187.182854,1.710498,203.449130,1.393222,252.462906,1.408729,252.755429,1.116471,215.325195,1.171652,196.080663,1.239608,210.578419,0.910816,169.906069,1.057113,210.419214,0.868929,222.089022,0.810862,232.895750,0.474660,317.661562,0.361886,180.088892,0.187853,218.627658,0.046733,179.167917,0.200391,-49.412589
0.200000,0.000000,205.550708,1.993765,264.928083,1.467770,229.467343,1.905262,250.044437,1.912285,220.140699,1.822911,210.623989,1.853347,213.306006,1.661629,236.835113,1.552494,192.909610,1.935194,255.604560,1.861834,221.369384,1.849811,212.212551,1.606179,189.877272,1.731328,208.060305,1.771618,185.679442,1.846438,211.587187,1.925908,311.950067,1.742539,201.829892,1.806948,175.207164,1.857407,218.050693,1.990028,207.777097,2.255322,201.539163,2.020324,209.686216,2.096575,192.140078,1.901715,182.271103,1.974079,213.940512,2.068008,249.379954,2.152431,232.800503,2.143878,227.763131,1.966286,218.616802,2.117790,250.478490,1.953639,222.352146,2.079399,-49.668456
0.300000,0.000000,215.425860,1.665553,145.014118,1.508875,219.751943,1.601961,176.921396,1.873789,198.415720,1.593858,177.335889,1.797533,193.336935,1.661584,232.294009,1.586056,216.172914,1.780388,187.842974,1.714729,217.126030,1.773543,254.268945,1.927485,212.465842,1.774394,259.227911,1.995901,210.899576,1.858650,208.715431,1.588726,199.962396,2.087267,263.936157,1.897890,219.994080,1.824350,195.326288,1.857917,198.635235,2.013913,167.743944,1.867557,171.963887,1.965073,181.354339,2.177054,239.547397,1.801152,222.868302,1.985782,217.262528,1.805676,254.115471,2.084376,173.053573,2.007484,269.677247,2.121894,255.290273,2.153899,219.519982,2.138706,-49.668717
0.401000,0.000000,250.883165,1.881471,188.576744,1.727804,273.452246,1.614249,285.154347,1.797405,184.468297,1.785783,205.338084,1.751403,204.456953,1.750624,186.085388,1.900590,209.429830,1.537539,253.484709,1.699444,194.826825,2.004570,198.756958,1.971475,194.319704,2.034573,274.344667,1.772690,219.465933,1.699146,237.493308,2.033280,245.827021,1.915387,219.629258,2.037811,272.211061,2.285595,185.445158,1.975193,225.227852,2.150266,208.497312,2.277738,262.655728,2.346468,199.926491,1.986186,286.383603,1.935972,179.841356,2.238200,196.768833,1.900651,170.085910,2.105799,217.889462,1.933095,203.563484,2.292318,252.968706,2.122707,215.816008,2.443509,-50.208050
0.501000,0.000000,212.392947,1.932193,306.531087,1.661729,253.933986,1.855713,208.413462,1.737449,264.461270,2.009601,398.871139,1.810198,222.709909,1.710540,228.150234,1.823142,243.520211,2.043312,306.501170,2.099921,317.971167,1.760523,214.651842,1.900703,264.708437,1.766444,209.054686,1.835528,297.535526,2.096863,256.503144,2.035090,195.606846,1.910382,206.797945,1.842566,329.130203,2.151620,250.953221,1.935613,235.256996,1.961844,284.347605,1.696646,246.787967,2.115056,214.302254,2.317509,243.516808,2.251727,224.937400,2.078944,199.272903,2.132715,268.735276,2.137141,263.494947,2.058494,276.627168,1.954026,222.069406,2.397991,222.408749,2.455127,-50.781848
0.601000,0.000000,246.752448,1.816621,272.442372,1.804565,214.965807,1.498811,222.451989,1.964208,226.082116,1.867809,257.954200,1.694800,252.667142,1.911750,219.707437,1.980036,258.392292,2.016459,297.862874,1.901687,207.651255,1.860092,285.488981,1.827646,218.667729,1.777357,248.064276,1.898329,209.052910,1.716374,223.315029,1.876326,250.844149,2.120260,265.216860,1.784270,237.210891,2.312299,242.338569,2.307283,206.238986,1.943633,218.228136,1.881743,224.323767,2.164191,250.737948,2.009827,275.676413,2.181160,230.147009,2.039430,313.279414,2.161371,289.961457,1.960879,200.808255,2.207420,261.701581,2.059771,345.747001,2.074851,205.861538,2.380939,-50.441736
0.702000,0.000000,286.654592,-0.322497,174.640354,-0.041359,217.722744,0.058965,213.480197,0.073865,245.613040,0.359182,239.565417,0.266942,182.267701,0.776098,285.607838,0.698479,233.196670,0.922265,217.095547,0.887556,191.885045,1.262662,197.466895,1.377450,256.036889,1.651771,207.663888,1.644564,218.552312,1.707606,166.540763,1.842468,209.242126,2.072231,169.969111,2.305665,200.839406,2.470614,217.621402,2.414039,197.373714,2.649440,200.910391,2.749770,230.039616,2.706806,262.367268,2.903605,217.120976,3.064920,202.635275,-2.842842,224.525025,-2.551703,183.031403,-2.706633,180.899718,-2.575713,211.842813,-2.414577,215.741020,-2.403522,260.886792,-2.077097,-49.629765
0.802000,0.000000,233.588309,-2.751945,303.546554,-3.048994,234.843817,-2.929633,264.338804,-3.127352,201.012043,3.021612,176.889486,2.777701,266.943976,2.797044,186.365892,2.801094,225.074904,2.403882,207.462247,2.366378,236.199043,2.394926,175.252670,2.274435,182.304388,2.105563,222.354683,1.797285,191.185682,1.941555,231.268558,1.749478,245.168958,1.573475,250.279812,1.793502,199.630853,1.616937,211.591294,1.647260,254.695094,1.333383,241.128784,1.414532,240.771672,1.134644,297.971160,1.138491,166.003813,0.943536,196.948585,0.695686,271.708514,0.606298,253.811348,0.305941,306.144756,0.168704,273.591915,0.345566,257.413427,0.230556,213.604875,0.259847,-50.260021
0.902000,0.000000,236.997718,-2.792479,240.887718,-2.920593,335.034066,-3.075337,236.973873,2.930084,218.240246,-3.009641,216.988201,3.040981,270.961438,2.881704,274.029246,2.808328,241.299272,2.566011,193.232181,2.633374,263.953592,2.420148,225.393562,2.352886,306.921561,2.296657,203.304851,2.101434,245.479251,2.080551,251.413265,2.026462,173.652126,1.707680,279.259716,1.603331,189.696090,1.644744,217.484640,1.529325,211.226028,1.441821,283.969236,1.233074,203.029716,1.078460,224.018170,1.011314,300.761632,0.727567,318.484687,0.712488,273.877109,0.593572,259.390956,0.607330,272.461503,0.320108,212.336288,0.361015,256.753700,0.186530,239.409045,0.164498,-50.614577
