Time,BER,Ch 00 (Mag),Ch 00 (Pha),Ch 01 (Mag),Ch 01 (Pha),Ch 02 (Mag),Ch 02 (Pha),Ch 03 (Mag),Ch 03 (Pha),Ch 04 (Mag),Ch 04 (Pha),Ch 05 (Mag),Ch 05 (Pha),Ch 06 (Mag),Ch 06 (Pha),Ch 07 (Mag),Ch 07 (Pha),Ch 08 (Mag),Ch 08 (Pha),Ch 09 (Mag),Ch 09 (Pha),Ch 10 (Mag),Ch 10 (Pha),Ch 11 (Mag),Ch 11 (Pha),Ch 12 (Mag),Ch 12 (Pha),Ch 13 (Mag),Ch 13 (Pha),Ch 14 (Mag),Ch 14 (Pha),Ch 15 (Mag),Ch 15 (Pha),Ch 16 (Mag),Ch 16 (Pha),Ch 17 (Mag),Ch 17 (Pha),Ch 18 (Mag),Ch 18 (Pha),Ch 19 (Mag),Ch 19 (Pha),Ch 20 (Mag),Ch 20 (Pha),Ch 21 (Mag),Ch 21 (Pha),Ch 22 (Mag),Ch 22 (Pha),Ch 23 (Mag),Ch 23 (Pha),Ch 24 (Mag),Ch 24 (Pha),Ch 25 (Mag),Ch 25 (Pha),Ch 26 (Mag),Ch 26 (Pha),Ch 27 (Mag),Ch 27 (Pha),Ch 28 (Mag),Ch 28 (Pha),Ch 29 (Mag),Ch 29 (Pha),Ch 30 (Mag),Ch 30 (Pha),Ch 31 (Mag),Ch 31 (Pha),RSS
0.000000,0.000000,60.612801,0.749061,53.690834,0.763593,55.558141,0.762767,58.323614,0.786358,60.133718,0.856689,56.132455,0.823592,55.037335,0.874855,53.858968,0.871548,52.066389,0.901285,56.847266,0.903110,56.109533,0.914012,53.524591,0.926080,54.921670,0.946259,57.484138,0.967546,52.675299,0.935917,54.572637,0.992281,53.780976,1.048876,56.418372,0.937909,53.210367,1.033193,57.091949,1.087615,53.465721,1.072249,52.130443,1.064695,54.570662,1.142955,56.483409,1.018713,55.396584,1.078925,57.730173,1.143817,54.847154,1.188859,56.611851,1.130604,55.421892,1.192657,56.874064,1.170329,58.722911,1.164602,58.656985,1.222159,-38.805471
0.100000,0.000000,54.442488,0.794706,55.242943,0.717104,53.387477,0.731990,54.028796,0.740219,51.668906,0.816581,53.706361,0.833548,49.866979,0.804014,54.805474,0.889927,53.230055,0.837251,51.026483,0.878891,49.997247,0.901719,50.521753,0.919364,52.014915,0.962863,52.339422,0.957712,50.545063,0.995471,49.923877,0.929642,49.503341,1.057904,53.291784,0.958316,52.125311,1.049775,54.010673,1.114003,54.233455,0.984550,54.401075,1.106683,53.467274,1.051833,51.454894,1.052124,52.326046,1.050036,54.569056,1.086555,51.683180,1.170521,57.962167,1.171145,54.903763,1.162084,52.108445,1.166660,56.535305,1.222012,52.999410,1.162519,-38.271833
0.201000,0.000000,53.544937,0.762879,56.853246,0.773930,58.187262,0.780850,60.114765,0.851161,56.148045,0.849049,55.769180,0.831211,50.574417,0.840878,54.670778,0.947356,53.377761,0.893476,53.184292,0.935699,51.630049,0.914998,55.979389,0.920489,52.225108,0.965460,52.381225,0.973776,53.038592,0.940352,50.879495,1.030522,52.862994,1.003190,49.262793,1.078521,52.596053,1.108455,53.232273,1.060974,51.436951,1.082464,50.981149,1.072501,51.634640,1.159920,53.175397,1.078242,54.061278,1.110158,52.039510,1.176995,51.370354,1.159512,52.387634,1.187233,51.752165,1.161274,54.310699,1.270569,55.824108,1.171892,57.367178,1.262297,-38.306845
0.301000,0.000000,53.380868,0.779505,53.039363,0.787903,51.564372,0.840909,48.062615,0.846834,50.842338,0.817039,48.963824,0.880132,49.044003,0.833693,50.008820,0.792456,48.983111,0.951743,47.989172,0.886389,50.799216,0.818331,49.726863,0.957318,51.723490,0.974713,49.130103,0.988243,50.084897,0.961067,50.934335,1.010304,47.363089,1.031754,49.308182,1.010099,51.633540,1.136658,50.636441,1.103386,49.305255,1.080329,49.076531,1.040706,47.381544,1.095727,49.267377,1.090827,51.431777,1.119486,50.097866,1.091378,48.918659,1.234919,51.688905,1.188507,50.890016,1.225434,51.555985,1.202374,50.724692,1.220347,53.262005,1.184782,-37.819405
0.401000,0.000000,54.575794,0.675918,53.596320,0.736666,51.430883,0.738910,50.952617,0.786669,49.504292,0.723776,50.318731,0.828354,49.647320,0.847211,51.740106,0.796754,50.664348,0.848814,52.489157,0.914945,50.299354,0.882583,51.382258,0.856579,53.355613,0.910550,50.278695,0.839326,48.241447,0.954587,48.710456,0.916126,46.642545,0.914611,48.369116,0.953404,47.330350,1.022022,49.467371,1.047310,48.190257,1.015026,50.856262,1.017579,51.598627,1.056209,50.587702,1.096137,50.893580,1.084498,53.239199,1.006018,51.641445,1.094303,52.408055,1.136582,51.512373,1.160952,54.856576,1.141193,57.152305,1.098584,55.440971,1.134740,-38.062393
0.501000,0.000000,54.841975,0.729323,52.353529,0.773051,52.934354,0.728080,53.391810,0.771193,54.204720,0.759571,51.576231,0.773352,50.356973,0.812290,51.270816,0.836605,49.414493,0.780089,52.051175,0.862340,52.273566,0.835904,50.884000,0.834719,49.097383,0.897424,51.006515,0.900670,51.194640,0.872774,51.083507,1.013618,52.455184,1.022435,50.642885,0.985880,50.784656,1.017227,47.466918,1.024975,49.418363,1.013878,50.841322,1.055341,50.234625,1.101270,50.166529,1.053832,49.274130,1.051393,49.583708,1.037718,48.523295,1.071967,53.081350,1.104386,51.773397,1.120638,51.480407,1.137374,54.729379,1.160523,52.422330,1.200689,-38.001214
0.601000,0.000000,53.488199,0.825302,52.463096,0.751698,55.396086,0.877056,53.477648,0.832868,51.337124,0.831102,54.046820,0.856692,49.811692,0.815933,54.643606,0.888736,49.650056,0.875457,51.233015,0.969963,51.121590,0.929623,52.047413,0.947767,49.363639,0.963881,52.492826,0.942330,51.036680,0.941530,51.398069,1.003626,52.279204,1.046277,51.689214,0.967676,50.151472,1.109634,50.691563,1.078873,51.758199,1.072412,53.637573,1.125223,52.112612,1.095683,52.656456,1.108478,53.869208,1.174349,52.105565,1.142575,54.179170,1.183942,56.480449,1.155741,53.050486,1.209601,56.693941,1.181022,50.880382,1.215175,55.409186,1.234897,-38.236551
0.702000,0.000000,57.142260,0.708114,52.632323,0.728430,54.239659,0.710317,54.459750,0.813381,52.277660,0.852713,59.549800,0.778031,54.249785,0.781410,54.291878,0.876007,52.488196,0.857360,54.028524,0.815318,51.969248,0.893737,54.664580,0.895848,50.100822,0.989216,50.381324,0.904564,55.780679,0.977585,50.280737,0.958688,48.975959,1.003328,51.738296,0.964606,53.692110,1.036264,49.274052,1.005306,54.406553,1.008385,51.913375,1.095162,53.575878,1.055296,52.637181,1.126919,53.065501,1.098748,53.053746,1.145855,52.265218,1.106020,53.954476,1.143933,53.332283,1.130038,53.230902,1.233112,54.338501,1.153455,57.815135,1.219536,-38.394629
0.802000,0.000000,55.900745,0.799238,51.849900,0.810144,51.636358,0.840226,55.117403,0.893065,51.713775,0.857220,54.132066,0.820774,50.919440,0.838983,54.260882,0.920575,55.962686,0.890806,52.641267,0.876502,53.554850,1.022782,48.972928,1.038466,53.272195,0.985025,50.487955,0.933646,51.971732,0.968702,52.517512,1.037828,53.450350,1.033320,50.469910,1.047945,55.705641,1.064737,52.526947,1.025336,56.108715,1.048393,51.612202,1.038096,53.934991,1.107171,52.871970,1.092803,52.841264,1.152533,54.190430,1.156681,54.916634,1.162682,51.583237,1.230281,55.702794,1.217577,53.415247,1.241528,55.365087,1.293419,59.810937,1.279035,-38.383852
0.902000,0.000000,53.456107,0.810579,53.253962,0.781208,54.644741,0.750840,51.788673,0.886744,51.631172,0.874389,52.056370,0.911422,52.393602,0.896401,50.622152,0.955381,50.716027,0.875508,50.874233,0.910648,51.524981,0.897647,48.334071,0.983521,50.223553,0.993215,52.018314,0.978776,50.807851,0.971515,51.655559,1.012611,49.955802,0.988915,48.030109,1.042628,50.233719,1.066209,51.268686,1.024619,51.527477,1.073758,49.263462,1.129022,52.240929,1.141073,50.506481,1.134509,55.080474,1.174186,50.433360,1.171471,48.998826,1.147736,52.070381,1.195037,55.185884,1.178449,52.909246,1.277990,57.522024,1.273003,51.897068,1.214675,-38.124101
