Time,BER,Ch 00 (Mag),Ch 00 (Pha),Ch 01 (Mag),Ch 01 (Pha),Ch 02 (Mag),Ch 02 (Pha),Ch 03 (Mag),Ch 03 (Pha),Ch 04 (Mag),Ch 04 (Pha),Ch 05 (Mag),Ch 05 (Pha),Ch 06 (Mag),Ch 06 (Pha),Ch 07 (Mag),Ch 07 (Pha),Ch 08 (Mag),Ch 08 (Pha),Ch 09 (Mag),Ch 09 (Pha),Ch 10 (Mag),Ch 10 (Pha),Ch 11 (Mag),Ch 11 (Pha),Ch 12 (Mag),Ch 12 (Pha),Ch 13 (Mag),Ch 13 (Pha),Ch 14 (Mag),Ch 14 (Pha),Ch 15 (Mag),Ch 15 (Pha),Ch 16 (Mag),Ch 16 (Pha),Ch 17 (Mag),Ch 17 (Pha),Ch 18 (Mag),Ch 18 (Pha),Ch 19 (Mag),Ch 19 (Pha),Ch 20 (Mag),Ch 20 (Pha),Ch 21 (Mag),Ch 21 (Pha),Ch 22 (Mag),Ch 22 (Pha),Ch 23 (Mag),Ch 23 (Pha),Ch 24 (Mag),Ch 24 (Pha),Ch 25 (Mag),Ch 25 (Pha),Ch 26 (Mag),Ch 26 (Pha),Ch 27 (Mag),Ch 27 (Pha),Ch 28 (Mag),Ch 28 (Pha),Ch 29 (Mag),Ch 29 (Pha),Ch 30 (Mag),Ch 30 (Pha),Ch 31 (Mag),Ch 31 (Pha),RSS
0.000000,0.000000,94.069085,2.409503,93.032121,2.547925,95.591056,2.462959,87.684958,2.388511,100.191875,2.551561,90.950437,2.622329,99.648889,2.498751,94.455524,2.696451,89.557544,2.570436,87.892483,2.535313,87.977886,2.709654,83.361598,2.622504,89.256143,2.513325,88.567976,2.693754,85.629277,2.674265,89.055327,2.681934,87.552825,2.744667,85.482001,2.616052,96.765000,2.694294,95.580928,2.777688,87.071459,2.655627,91.989566,2.835368,99.214748,2.745230,90.283333,2.846692,93.942302,2.847180,89.027239,2.807958,92.390569,2.718149,84.017286,2.852832,93.591663,2.779817,108.678058,2.944659,96.294004,2.918324,92.661667,2.910636,-43.001880
0.100000,0.000000,104.057393,2.427994,106.045161,2.297662,106.922770,2.299785,98.254703,2.310298,106.903182,2.249082,104.078501,2.371525,102.761765,2.437778,97.846388,2.468356,93.104476,2.406809,112.654533,2.433723,106.518598,2.424712,100.337834,2.451334,103.000008,2.461685,107.084482,2.477592,92.507404,2.533807,102.463572,2.556859,106.614430,2.551635,97.866453,2.473591,107.521528,2.553569,104.319567,2.554343,104.612136,2.702722,101.472728,2.586172,94.685776,2.722518,106.594572,2.610410,103.403424,2.544752,103.398251,2.741624,96.995204,2.559110,104.230254,2.656978,109.774524,2.647397,99.249366,2.768910,110.384895,2.638295,113.217800,2.636059,-43.672545
0.200000,0.000000,117.075510,2.279572,109.546976,2.219906,104.069133,2.310816,94.676555,2.289611,105.945043,2.263727,93.965482,2.378835,102.298115,2.281951,100.101367,2.279692,118.471460,2.429249,113.310842,2.400270,98.849454,2.465094,105.790848,2.334357,100.129289,2.400698,108.662866,2.412966,97.448550,2.574302,112.326147,2.423505,90.881052,2.463941,100.821266,2.593250,105.475990,2.407701,109.523613,2.580916,121.877999,2.420267,112.828423,2.555957,107.847504,2.548158,92.097858,2.618779,98.900949,2.727746,124.731165,2.645355,103.579763,2.584461,106.915615,2.731439,118.622022,2.553209,105.128264,2.667260,98.953488,2.660840,110.497208,2.775276,-44.079878
0.300000,0.000000,112.652527,2.261930,104.311657,2.281366,105.486423,2.315385,104.819394,2.162727,96.901394,2.341492,100.275075,2.388718,105.110248,2.484479,112.060068,2.372108,95.243036,2.313217,114.147422,2.311225,106.217224,2.390827,112.636624,2.441357,112.692279,2.416779,110.920576,2.502672,99.242045,2.424382,97.245446,2.469701,114.161057,2.486301,106.843029,2.502297,108.805321,2.429146,102.664807,2.611015,103.483540,2.564459,101.871458,2.545958,104.774125,2.672552,125.258457,2.651327,106.812982,2.628679,103.345410,2.629491,105.960754,2.589912,114.314146,2.701493,93.870387,2.702403,124.045941,2.700183,121.969869,2.577404,124.035656,2.682377,-44.112976
0.400000,0.000000,97.435838,2.433290,97.504607,2.303389,96.873325,2.440196,104.996524,2.368266,96.237210,2.393815,104.344410,2.380090,100.680081,2.380656,95.568410,2.424078,91.053849,2.437636,90.259903,2.527954,91.488216,2.647538,94.062365,2.519676,96.528094,2.483660,101.684969,2.486091,103.735526,2.658149,103.637168,2.638112,106.605515,2.486054,102.377661,2.655025,93.565147,2.704123,89.854421,2.565862,105.435551,2.705193,100.350679,2.577009,95.409620,2.660000,94.159981,2.728257,103.475036,2.839316,112.136377,2.600295,107.588932,2.860214,101.879805,2.794907,105.564500,2.761766,99.363626,2.683383,117.054466,2.808648,110.400785,2.732685,-43.609647
0.501000,0.000000,94.651952,2.555346,86.904541,2.453355,88.663136,2.564770,99.988704,2.499482,86.801288,2.623790,89.264199,2.574266,94.020663,2.659509,90.195989,2.546238,88.099415,2.595889,89.480368,2.662716,97.650953,2.627037,87.283481,2.688948,94.423078,2.645501,93.368130,2.658874,94.932548,2.714056,89.423661,2.750891,94.642820,2.648348,86.919121,2.653291,100.820757,2.688014,93.070160,2.697813,88.358472,2.797212,88.014395,2.693926,101.159769,2.807271,93.769073,2.825556,94.657516,2.915716,82.539211,2.835454,94.562734,2.953959,93.781564,2.824272,98.420996,2.930318,95.492449,2.853303,93.536436,2.839610,93.148000,2.915286,-43.012025
0.601000,0.000000,98.483654,2.630481,88.649835,2.664200,96.629039,2.681351,94.228514,2.729763,95.971972,2.694728,88.778881,2.818312,86.775527,2.731060,79.676994,2.731646,86.871040,2.660832,90.316505,2.793340,83.829930,2.893544,85.306125,2.784569,87.546246,2.822391,89.017406,2.870314,86.662317,2.917469,88.858751,2.793482,80.218311,2.861774,93.442343,2.868055,86.459170,2.821323,85.662078,2.971339,85.763450,2.953057,83.173973,3.012860,95.012935,2.929659,87.197515,3.018347,89.993660,3.038837,83.621034,2.981355,83.485466,2.935321,91.800525,3.105827,86.002729,3.035364,94.399355,3.018745,91.680807,3.046162,90.023984,3.110287,-42.589394
0.701000,0.000000,94.117649,-1.405759,96.961737,-1.655550,93.751454,-1.559007,82.051148,-1.901331,93.938849,-1.865734,92.387452,-1.996634,87.157449,-2.205828,94.865311,-2.199074,86.386811,-2.254387,91.711051,-2.363983,88.306085,-2.695957,90.226170,-2.603886,85.558144,-2.736244,83.783658,-2.854221,83.272276,-3.017516,84.255162,3.120776,103.389376,2.985430,87.583913,2.942447,88.325933,2.856011,92.041497,2.719652,87.611828,2.577777,96.117541,2.491868,102.023225,2.349043,81.389540,2.300585,98.945948,2.312912,89.063056,1.906655,88.485669,1.993563,95.641851,1.872416,89.495493,1.695618,97.327673,1.477650,110.833165,1.598026,103.767914,1.432476,-42.775785
0.801000,0.000000,100.942179,-2.948516,109.359122,-3.023324,101.365083,-3.090423,103.373365,-3.012158,100.370221,-2.902842,111.627628,-2.921094,104.571181,-2.858522,107.861353,-2.832155,96.704502,-2.931261,109.317813,-2.889799,119.547506,-2.747238,111.752854,-2.810492,106.845676,-2.802551,94.844424,-2.837674,102.596258,-2.836383,118.787242,-2.920283,122.922781,-2.728365,121.527100,-2.859288,122.523689,-2.614509,114.878842,-2.793682,109.299709,-2.743778,102.879347,-2.722251,114.998367,-2.618864,111.076380,-2.730758,119.523053,-2.853869,109.846029,-2.520015,122.721058,-2.676481,104.101545,-2.561383,111.353248,-2.757833,125.098702,-2.669635,115.311729,-2.569959,118.667234,-2.602584,-44.391813
0.901000,0.000000,181.505746,-0.957426,161.656948,-1.133905,194.579928,-1.057224,184.838829,-1.166188,156.401753,-1.359952,158.467211,-1.383010,172.338604,-1.612269,176.302354,-1.699083,196.362247,-1.727717,184.389841,-1.888448,145.847451,-1.972650,178.914438,-2.097119,194.246880,-2.444817,162.261154,-2.355102,183.014288,-2.308062,173.256259,-2.549346,154.590813,-2.720246,149.004957,-2.771759,149.273946,-2.828948,183.431008,-2.926094,158.013602,-2.944386,203.003630,-2.967428,186.155841,3.117338,184.896877,2.909837,150.400274,2.697559,206.228498,2.601888,163.214698,2.652192,151.956249,2.507474,162.323046,2.418672,204.930579,2.080664,179.028151,2.246278,189.305062,2.010144,-48.146622
