Time,BER,Ch 00 (Mag),Ch 00 (Pha),Ch 01 (Mag),Ch 01 (Pha),Ch 02 (Mag),Ch 02 (Pha),Ch 03 (Mag),Ch 03 (Pha),Ch 04 (Mag),Ch 04 (Pha),Ch 05 (Mag),Ch 05 (Pha),Ch 06 (Mag),Ch 06 (Pha),Ch 07 (Mag),Ch 07 (Pha),Ch 08 (Mag),Ch 08 (Pha),Ch 09 (Mag),Ch 09 (Pha),Ch 10 (Mag),Ch 10 (Pha),Ch 11 (Mag),Ch 11 (Pha),Ch 12 (Mag),Ch 12 (Pha),Ch 13 (Mag),Ch 13 (Pha),Ch 14 (Mag),Ch 14 (Pha),Ch 15 (Mag),Ch 15 (Pha),Ch 16 (Mag),Ch 16 (Pha),Ch 17 (Mag),Ch 17 (Pha),Ch 18 (Mag),Ch 18 (Pha),Ch 19 (Mag),Ch 19 (Pha),Ch 20 (Mag),Ch 20 (Pha),Ch 21 (Mag),Ch 21 (Pha),Ch 22 (Mag),Ch 22 (Pha),Ch 23 (Mag),Ch 23 (Pha),Ch 24 (Mag),Ch 24 (Pha),Ch 25 (Mag),Ch 25 (Pha),Ch 26 (Mag),Ch 26 (Pha),Ch 27 (Mag),Ch 27 (Pha),Ch 28 (Mag),Ch 28 (Pha),Ch 29 (Mag),Ch 29 (Pha),Ch 30 (Mag),Ch 30 (Pha),Ch 31 (Mag),Ch 31 (Pha),RSS
0.000000,0.000000,66.998228,-2.036218,66.907634,-2.131821,63.208278,-2.093802,72.609983,-2.111646,69.289733,-2.127822,66.566010,-2.142817,65.081921,-2.178980,63.607513,-2.130222,64.118599,-2.138256,65.156355,-2.261524,60.622392,-2.211621,64.790124,-2.221764,61.603025,-2.224892,64.727375,-2.308779,63.527562,-2.246616,63.899013,-2.253656,60.125202,-2.316033,64.229169,-2.328916,65.866321,-2.344845,64.362083,-2.273768,67.966291,-2.354320,64.676105,-2.333719,66.692462,-2.333480,64.968859,-2.440668,66.517313,-2.414800,66.964413,-2.445990,66.184919,-2.440326,68.774157,-2.493873,72.729682,-2.400136,68.199488,-2.472741,69.074765,-2.564041,63.553697,-2.450930,-40.208104
0.100000,0.000000,70.146254,-2.065022,69.551409,-1.993749,73.098476,-2.076301,71.607600,-2.086912,66.995374,-2.078121,65.319387,-2.070570,69.497280,-2.100546,68.851366,-2.090903,67.020301,-2.086644,65.296675,-2.174132,65.759774,-2.153392,73.077517,-2.166469,66.769552,-2.157068,67.939653,-2.216977,68.436603,-2.206248,71.723442,-2.274819,71.942020,-2.306661,73.714901,-2.232861,69.475226,-2.284042,65.961571,-2.313229,74.254815,-2.205623,64.842504,-2.291336,67.893470,-2.360337,71.225901,-2.336233,70.973757,-2.327597,65.756413,-2.336315,74.118137,-2.385774,74.019180,-2.441379,80.954729,-2.355660,68.367462,-2.411198,70.549727,-2.506070,71.476195,-2.448869,-40.527717
0.200000,0.000000,68.729420,-2.082854,70.618813,-2.088788,64.574014,-2.110750,68.577043,-2.067010,67.687764,-2.115555,67.160561,-2.046146,72.713050,-2.131372,68.870814,-2.144401,67.001125,-2.171383,68.633196,-2.148104,68.845941,-2.193042,68.418690,-2.200777,64.911064,-2.222343,75.463431,-2.255935,68.922506,-2.219813,62.193454,-2.340356,66.300561,-2.276065,67.756890,-2.270061,67.936838,-2.268252,68.780455,-2.327509,66.568490,-2.318411,72.755894,-2.306557,68.076261,-2.371396,70.064900,-2.349314,69.302311,-2.495364,70.479612,-2.412678,73.967526,-2.356769,70.690631,-2.406164,70.650602,-2.471188,68.710757,-2.468770,74.836507,-2.448802,76.374166,-2.536772,-40.406840
0.301000,0.000000,75.466360,-2.078044,74.126888,-2.110987,68.958151,-2.154153,67.164853,-2.205435,68.178409,-2.160279,68.626403,-2.095453,66.995146,-2.171176,67.594660,-2.171908,66.545727,-2.228535,66.163432,-2.229669,68.088516,-2.262895,70.687348,-2.236431,67.877385,-2.237207,66.804566,-2.269235,74.005695,-2.297922,65.265588,-2.266022,63.572218,-2.308303,64.454426,-2.253305,71.891330,-2.378784,65.420088,-2.387403,66.675018,-2.386351,73.086518,-2.345876,66.213551,-2.396536,69.537173,-2.474783,69.811144,-2.421189,70.214018,-2.419260,75.408247,-2.396346,64.612281,-2.427696,71.760943,-2.554670,75.180495,-2.447730,74.230217,-2.519634,72.673437,-2.544369,-40.514965
0.401000,0.000000,71.601151,-1.950500,64.281080,-1.987604,64.336638,-2.055774,67.289691,-2.088158,70.059098,-1.957248,66.111819,-2.078009,58.796779,-2.051752,62.314216,-2.098274,64.246729,-2.135782,65.350525,-2.069775,65.380836,-2.107452,68.263014,-2.241096,66.996574,-2.143578,63.562232,-2.127242,64.204835,-2.191273,62.463518,-2.165445,64.877441,-2.237901,63.207812,-2.242785,63.720677,-2.229705,65.419447,-2.220555,61.130442,-2.301569,66.133277,-2.266432,65.788687,-2.289780,67.676999,-2.261111,69.620842,-2.386764,66.857213,-2.343415,64.877550,-2.366895,69.150517,-2.412249,69.678131,-2.310656,72.093603,-2.411529,69.492653,-2.466210,70.388368,-2.418827,-40.196620
0.501000,0.000000,75.104301,-1.975196,72.184280,-2.164439,68.217572,-2.121975,72.816678,-2.111088,70.058791,-2.119439,66.278230,-2.137222,69.435614,-2.204252,74.640809,-2.176777,70.549235,-2.183116,72.154203,-2.234039,74.537204,-2.146489,72.404365,-2.204001,70.733669,-2.224479,69.510765,-2.225688,66.371755,-2.312176,70.243866,-2.321128,67.421639,-2.278976,71.640016,-2.316007,72.296049,-2.247144,64.364605,-2.285890,71.138873,-2.410003,68.873712,-2.382618,71.759318,-2.396390,68.350542,-2.317914,72.803472,-2.395121,76.119427,-2.379286,74.928584,-2.292998,70.481966,-2.536615,74.114695,-2.498335,75.200783,-2.450640,79.614245,-2.423730,77.153712,-2.515315,-40.762876
0.601000,0.000000,73.259243,-2.070660,71.929773,-2.058751,73.659741,-2.027102,69.729386,-2.099291,71.811141,-2.058980,72.415839,-2.086798,69.460619,-2.157891,70.168874,-2.136082,71.793963,-2.088456,65.396359,-2.067486,66.985354,-2.178624,62.922291,-2.182409,72.214436,-2.184945,67.468913,-2.297598,70.081164,-2.191872,70.673334,-2.243516,65.222247,-2.197928,67.742412,-2.244027,69.509463,-2.250356,70.007399,-2.271004,71.178653,-2.304157,71.821054,-2.291257,69.157600,-2.280045,68.076895,-2.294201,70.333731,-2.328568,70.065819,-2.412632,74.753862,-2.342450,77.102502,-2.320958,76.540216,-2.415709,71.165683,-2.383396,70.663028,-2.452203,77.547192,-2.476826,-40.833861
0.701000,0.000000,73.450671,-1.972430,69.743705,-2.055617,69.208918,-2.032813,72.573781,-2.009781,67.303991,-1.998172,67.174052,-2.005023,66.561786,-2.045639,69.284333,-2.076643,72.745281,-2.168484,70.766052,-2.106390,70.155123,-2.192224,65.926805,-2.157296,67.967740,-2.110070,75.584124,-2.150622,67.201009,-2.075703,68.315858,-2.174226,68.083345,-2.260159,69.597944,-2.210464,65.536857,-2.266418,72.219811,-2.271337,65.011379,-2.247332,74.347822,-2.268300,70.341676,-2.269598,70.790131,-2.244253,68.455013,-2.346713,65.721362,-2.393642,71.029085,-2.297624,73.168841,-2.374528,75.366156,-2.337265,79.542415,-2.464402,77.862358,-2.372830,77.790163,-2.470589,-40.651093
0.801000,0.000000,66.838580,-2.105770,63.748255,-2.098577,60.449122,-2.096722,65.495187,-2.012970,61.165176,-2.231599,66.140961,-2.163083,63.170261,-2.139383,63.752768,-2.157345,69.778123,-2.099094,68.288395,-2.181202,64.352199,-2.195797,71.230367,-2.214861,62.814073,-2.264077,58.949922,-2.244988,62.756598,-2.209853,72.988956,-2.278651,61.080562,-2.303542,62.758218,-2.329217,63.581222,-2.316995,66.401455,-2.340639,62.200889,-2.367778,66.431282,-2.412739,60.326643,-2.409891,62.486217,-2.427663,63.983268,-2.418033,64.058651,-2.388015,67.170126,-2.420146,63.121556,-2.420847,63.614798,-2.417583,69.232101,-2.519621,67.852710,-2.456532,77.980330,-2.487810,-40.063056
0.902000,0.000000,72.998732,-2.065061,71.939590,-2.015431,74.051868,-2.025860,69.386125,-2.101512,71.378586,-2.087771,69.912516,-2.060125,66.658725,-2.123359,69.813210,-2.138952,71.094309,-2.150966,73.349543,-2.159025,68.559558,-2.202285,67.438125,-2.082850,72.034112,-2.165857,67.692720,-2.218028,67.398565,-2.235994,72.728026,-2.223980,71.409422,-2.255087,69.183540,-2.239533,67.652173,-2.313449,72.331081,-2.269010,71.787919,-2.295099,71.031856,-2.275169,71.949749,-2.342136,71.570114,-2.256574,70.609010,-2.284174,72.473798,-2.346821,71.625031,-2.470017,70.381521,-2.374265,78.900136,-2.279799,76.358138,-2.369888,74.296568,-2.440649,73.700051,-2.420766,-40.860016
1.002000,0.000000,68.415526,-2.029624,65.488793,-2.054330,66.714962,-2.043279,65.300360,-2.003158,68.026263,-2.053608,65.484540,-2.126751,70.583644,-2.089339,63.915639,-2.141024,69.571315,-2.204434,66.773471,-2.126062,62.114966,-2.115797,67.345275,-2.066771,69.234393,-2.155903,61.508483,-2.122149,67.193549,-2.201709,63.873916,-2.201707,63.369022,-2.192205,63.059300,-2.176918,67.626195,-2.286026,65.396545,-2.294095,68.232077,-2.356417,64.763886,-2.297191,67.485999,-2.278730,67.970788,-2.287565,65.946886,-2.295268,69.647441,-2.253473,66.602101,-2.331493,67.098180,-2.358864,69.781245,-2.399212,70.581071,-2.447612,71.045676,-2.405285,70.858884,-2.457326,-40.348518
1.102000,0.000000,65.026861,-1.923417,65.319377,-1.960328,69.597790,-2.014741,71.595085,-2.107482,70.676806,-2.026574,66.144506,-2.060046,61.438348,-2.030737,65.761339,-2.055048,68.377303,-2.069275,65.286923,-2.090539,69.290799,-2.094425,66.756495,-2.092019,69.573748,-2.094778,66.799944,-2.128526,68.944641,-2.128966,63.561458,-2.115387,65.708905,-2.181175,65.638624,-2.160522,64.954448,-2.204588,68.204628,-2.169111,68.252810,-2.161357,63.914679,-2.256450,69.652315,-2.275313,68.741204,-2.261561,67.754244,-2.236481,72.929227,-2.302904,75.082526,-2.375146,71.251877,-2.336207,69.178464,-2.299280,71.136824,-2.298257,68.764232,-2.316691,76.699091,-2.373310,-40.559702
1.202000,0.000000,66.465525,-1.992512,69.667650,-2.010449,64.673327,-1.986837,65.682886,-1.991390,69.421258,-1.993677,66.448039,-2.024597,64.964456,-2.079784,61.316450,-2.133579,67.930084,-2.039232,63.921134,-2.132453,62.632976,-2.162439,65.006724,-2.098136,64.859063,-2.179319,65.848985,-2.075227,63.836608,-2.189977,65.877973,-2.201703,63.315578,-2.238000,65.186755,-2.212815,64.814712,-2.161240,61.077634,-2.196421,66.035901,-2.237956,68.743731,-2.150876,62.038969,-2.253807,68.232468,-2.280017,67.535252,-2.224105,67.098296,-2.288594,68.281332,-2.282549,68.824218,-2.265108,74.125190,-2.321732,66.749676,-2.415186,72.326252,-2.335636,74.609274,-2.337805,-40.216024
1.302000,0.000000,65.835440,-1.945080,67.189191,-1.982021,66.413078,-1.977821,72.471174,-1.983155,64.571997,-1.987414,66.603540,-2.008242,59.543221,-2.007818,66.720850,-2.036637,63.850331,-2.068241,65.280693,-2.130774,68.032296,-2.043881,73.173010,-2.070502,61.456789,-2.118436,66.148881,-2.108353,63.888892,-2.135070,69.507250,-2.168454,64.751155,-2.172947,66.119614,-2.240653,70.837510,-2.215266,65.912949,-2.254106,66.900620,-2.265596,66.906088,-2.238795,63.939498,-2.250747,63.987188,-2.278576,67.968629,-2.287289,70.030005,-2.308765,70.569818,-2.312997,66.491086,-2.301571,70.645909,-2.265307,67.062957,-2.335018,69.821214,-2.339602,74.179646,-2.318386,-40.322923
1.403000,0.000000,71.272115,-1.922116,71.075310,-1.953310,68.593772,-1.976386,73.225141,-2.057324,67.305973,-1.940490,61.829136,-1.988478,61.508625,-2.027378,61.433837,-2.013196,65.127718,-2.021299,62.576901,-2.086898,62.403042,-2.083843,65.702659,-2.027118,66.479744,-2.088351,62.925714,-2.128214,62.650827,-1.997402,66.187476,-2.053374,66.236293,-2.150813,65.870071,-2.143357,70.325206,-2.221919,64.794185,-2.175813,61.164762,-2.134820,66.944383,-2.172463,61.629118,-2.116017,67.073059,-2.213929,70.088945,-2.219607,69.044582,-2.224163,67.354278,-2.253857,72.260528,-2.225802,69.737708,-2.247514,66.848432,-2.276117,73.587975,-2.313390,69.532503,-2.305424,-40.346037
1.504000,0.000000,67.946268,-1.900539,71.433386,-1.933353,65.135073,-1.974319,66.270217,-2.005362,66.074331,-1.913490,62.803755,-2.006364,64.682253,-2.022740,61.016815,-1.931093,63.159764,-1.978227,68.103800,-2.021861,64.441559,-2.021955,67.534817,-2.072647,64.318684,-2.021776,65.087388,-2.070792,65.199637,-1.998557,62.122216,-2.182573,67.244891,-2.145226,68.103157,-2.151357,66.441737,-2.214851,60.767783,-2.132430,65.842381,-2.135102,66.838041,-2.171245,65.321468,-2.207307,62.431577,-2.195434,68.275487,-2.182620,68.205431,-2.251792,62.828358,-2.217899,70.545709,-2.272874,67.019243,-2.210469,73.301884,-2.210704,69.780794,-2.245999,75.231136,-2.306285,-40.333928
