Time,BER,Ch 00 (Mag),Ch 00 (Pha),Ch 01 (Mag),Ch 01 (Pha),Ch 02 (Mag),Ch 02 (Pha),Ch 03 (Mag),Ch 03 (Pha),Ch 04 (Mag),Ch 04 (Pha),Ch 05 (Mag),Ch 05 (Pha),Ch 06 (Mag),Ch 06 (Pha),Ch 07 (Mag),Ch 07 (Pha),Ch 08 (Mag),Ch 08 (Pha),Ch 09 (Mag),Ch 09 (Pha),Ch 10 (Mag),Ch 10 (Pha),Ch 11 (Mag),Ch 11 (Pha),Ch 12 (Mag),Ch 12 (Pha),Ch 13 (Mag),Ch 13 (Pha),Ch 14 (Mag),Ch 14 (Pha),Ch 15 (Mag),Ch 15 (Pha),Ch 16 (Mag),Ch 16 (Pha),Ch 17 (Mag),Ch 17 (Pha),Ch 18 (Mag),Ch 18 (Pha),Ch 19 (Mag),Ch 19 (Pha),Ch 20 (Mag),Ch 20 (Pha),Ch 21 (Mag),Ch 21 (Pha),Ch 22 (Mag),Ch 22 (Pha),Ch 23 (Mag),Ch 23 (Pha),Ch 24 (Mag),Ch 24 (Pha),Ch 25 (Mag),Ch 25 (Pha),Ch 26 (Mag),Ch 26 (Pha),Ch 27 (Mag),Ch 27 (Pha),Ch 28 (Mag),Ch 28 (Pha),Ch 29 (Mag),Ch 29 (Pha),Ch 30 (Mag),Ch 30 (Pha),Ch 31 (Mag),Ch 31 (Pha),RSS
0.000000,0.000000,156.602421,0.854312,161.243992,1.274877,177.574320,1.161493,145.602264,1.233766,150.208033,1.147433,142.056315,1.149499,149.255198,1.277278,160.041706,1.326975,150.422520,1.336361,123.872727,1.267292,131.050080,1.367786,134.405756,1.479683,148.735930,1.520187,147.668016,1.476880,137.972435,1.473827,149.915715,1.607046,140.472401,1.620987,131.488714,1.777124,137.227159,1.774108,137.602513,1.751231,141.613819,1.970754,166.783629,1.811438,140.312140,1.863091,156.696635,1.927877,164.672660,2.055915,132.242745,1.944863,133.858121,1.952646,142.575128,2.014835,165.003418,2.018817,151.096462,2.244241,159.347972,2.171102,147.615570,2.270741,-46.830123
0.100000,0.000000,162.839585,1.492240,172.049139,1.411658,164.629218,1.506364,151.690563,1.493282,173.891127,1.613891,148.547733,1.624194,135.387880,1.725882,141.806657,1.595914,141.378522,1.716768,150.583367,1.677751,146.113435,1.721519,156.371875,1.822636,174.968246,1.853403,183.554125,1.900508,140.464656,1.927148,143.524081,1.983554,148.171000,2.033870,143.706687,1.907446,156.660874,2.055928,138.021247,2.073547,137.344009,2.026651,148.239870,2.142991,147.730416,2.181458,133.617042,2.162641,138.407178,2.297129,159.921219,2.393392,128.622006,2.319703,139.162743,2.305333,140.565251,2.432935,144.224445,2.459690,141.096667,2.415806,141.890502,2.521769,-46.866259
0.200000,0.000000,171.416690,-0.407699,180.988040,-0.053503,170.066305,-0.052160,193.462275,0.111063,171.994156,0.103423,175.918697,0.446918,170.600177,0.522908,161.649745,0.686587,191.869088,0.788711,142.160901,0.993810,169.141649,1.108975,153.359254,1.294176,174.184047,1.467071,144.883483,1.658181,144.484004,1.808981,135.246300,2.064328,162.302924,2.329383,146.145050,2.181342,147.381868,2.550723,156.027362,2.621495,154.521089,2.868539,146.768575,2.987077,152.700532,-3.074645,131.688292,-3.031607,173.036914,-2.775961,162.430793,-2.721890,134.977149,-2.534193,149.688508,-2.441316,145.781200,-2.432729,146.715063,-1.910759,175.584859,-1.925228,147.228698,-1.733005,-47.129367
0.300000,0.000000,159.546312,-2.883255,194.581228,-2.947771,148.967851,2.973224,181.772371,3.003491,160.528745,2.981251,143.337123,2.751668,178.312453,2.777410,172.451735,2.587707,151.193316,2.770801,169.499194,2.545840,208.237483,2.469616,178.821857,2.527067,179.440389,2.255343,155.646398,2.134758,156.797897,2.031485,175.827552,1.884664,165.481475,1.851323,164.657867,1.754032,181.127679,1.688962,154.604051,1.495778,153.564216,1.551909,134.326203,1.503188,149.518741,1.383606,155.979872,1.215920,150.408262,1.165747,178.567869,1.124038,151.701950,0.992686,157.756892,0.909800,153.988176,0.825214,150.544074,0.796776,161.381782,0.754052,154.007643,0.801231,-47.410606
0.400000,0.000000,161.028825,1.137362,159.104253,1.246359,188.945109,1.243492,181.272018,1.444174,166.092433,1.374180,160.971741,1.500599,144.387637,1.413619,149.097804,1.464541,165.056911,1.512800,161.140377,1.509867,169.276928,1.573773,142.678960,1.619062,140.148980,1.622193,159.769081,1.668170,173.624754,1.721168,143.755271,1.747419,152.216813,1.863160,199.260517,1.941561,154.197507,1.829973,159.403493,1.908243,154.333255,1.937979,163.757975,2.008310,147.289043,2.071407,149.189357,1.934693,158.488609,1.923542,155.519946,2.089045,150.296795,2.260430,151.774911,2.219547,134.845190,2.288782,179.652243,2.250279,176.413903,2.227473,177.792615,2.369395,-47.681577
0.501000,0.000000,186.246892,1.097885,192.252897,1.047209,185.108201,1.129329,170.636211,1.227418,220.896419,1.289068,172.778927,1.167054,183.480686,1.141804,199.725214,1.479644,199.752545,1.318545,196.581530,1.346300,211.170539,1.355965,168.100835,1.510519,185.752734,1.487691,160.440842,1.724793,198.060703,1.468795,175.119468,1.560298,163.755644,1.686374,200.423434,1.837719,157.972563,1.710421,180.809730,1.846860,171.509432,1.947240,177.372029,1.931019,170.744387,1.989399,178.528246,1.949784,158.456068,1.967503,170.142436,1.917633,173.945400,1.982368,173.656043,1.915986,157.948550,2.252662,170.831243,2.223343,205.498877,2.332820,219.394319,2.211262,-48.444864
0.601000,0.000000,169.694787,-0.860221,174.816239,-0.802195,181.812741,-0.456748,167.986451,-0.594841,170.114243,-0.334233,207.897239,-0.311765,175.590353,-0.093056,209.436881,0.130739,178.018479,0.166428,168.861626,0.489857,174.719987,0.469424,161.222120,0.826520,177.994756,0.859762,187.095509,0.982117,157.174917,1.146747,167.919436,1.504450,163.891036,1.625866,184.075490,1.701288,174.510926,1.809729,164.860821,2.058294,208.377787,2.215304,203.800246,2.375062,180.082815,2.489870,188.708860,2.939526,210.096686,2.944407,185.961802,2.937761,186.036675,-3.112054,215.356741,-2.789548,182.471939,-2.900220,168.166442,-2.665718,195.823981,-2.411473,201.994927,-2.339473,-48.517124
0.701000,0.000000,194.071569,0.850763,164.580366,0.916618,159.640461,1.150107,194.041249,1.120022,191.521813,1.086724,157.648831,1.091958,156.081290,1.166833,159.800853,0.987165,189.936140,1.156604,171.837765,1.303491,140.466458,1.278362,162.844744,1.251775,181.098036,1.356518,162.836359,1.496506,155.006244,1.440175,163.251037,1.575213,149.151417,1.476062,144.853096,1.582770,147.952851,1.477082,180.512643,1.672369,161.065147,1.679254,166.811399,1.631057,164.579844,1.891219,167.692613,1.794636,182.144750,1.956904,155.330563,1.983728,159.172500,1.977402,184.798361,1.928351,156.262410,2.036338,164.202424,2.030964,214.452830,2.216311,206.587313,1.891893,-47.989302
0.801000,0.000000,196.523056,-1.397330,167.004344,-1.661815,167.574441,-1.846007,181.593400,-2.083116,165.292460,-2.448275,176.303910,-2.484347,162.311284,-2.611035,168.166245,-2.870036,174.296801,-3.101045,136.366293,2.964860,167.548812,2.670121,151.485538,2.391060,140.295592,2.144039,189.283390,2.090036,145.809473,1.854397,164.242515,1.450819,164.980836,1.503698,161.598860,1.186178,156.808067,0.964310,170.913539,0.717425,160.520620,0.572381,161.392084,0.446077,144.646475,0.127866,174.227563,-0.124084,156.691375,-0.305282,173.263729,-0.477499,162.907868,-0.662183,153.373680,-0.871229,145.385742,-1.176798,154.584247,-1.246871,144.247001,-1.455555,155.826168,-1.719161,-47.588074
0.901000,0.000000,202.973404,2.578005,189.572563,2.669670,186.036588,2.758716,159.743313,2.649240,216.008645,2.418507,186.611781,2.394790,172.021489,2.285867,164.417754,2.012156,171.865217,2.103252,185.031856,2.072345,179.950846,1.850488,212.384619,1.917931,187.339438,1.631858,159.660577,1.691308,157.316969,1.561990,198.953861,1.350706,197.503424,1.367547,169.743561,1.334150,207.214735,1.138246,186.042089,1.133372,159.420127,1.044464,178.543843,1.145498,190.299411,0.885009,205.294604,0.731323,162.657675,0.688931,194.524546,0.829947,178.611690,0.627142,175.700050,0.612434,181.621625,0.368015,201.857242,0.231453,170.209769,0.194886,186.112061,0.050381,-48.364767
