Time,BER,Ch 00 (Mag),Ch 00 (Pha),Ch 01 (Mag),Ch 01 (Pha),Ch 02 (Mag),Ch 02 (Pha),Ch 03 (Mag),Ch 03 (Pha),Ch 04 (Mag),Ch 04 (Pha),Ch 05 (Mag),Ch 05 (Pha),Ch 06 (Mag),Ch 06 (Pha),Ch 07 (Mag),Ch 07 (Pha),Ch 08 (Mag),Ch 08 (Pha),Ch 09 (Mag),Ch 09 (Pha),Ch 10 (Mag),Ch 10 (Pha),Ch 11 (Mag),Ch 11 (Pha),Ch 12 (Mag),Ch 12 (Pha),Ch 13 (Mag),Ch 13 (Pha),Ch 14 (Mag),Ch 14 (Pha),Ch 15 (Mag),Ch 15 (Pha),Ch 16 (Mag),Ch 16 (Pha),Ch 17 (Mag),Ch 17 (Pha),Ch 18 (Mag),Ch 18 (Pha),Ch 19 (Mag),Ch 19 (Pha),Ch 20 (Mag),Ch 20 (Pha),Ch 21 (Mag),Ch 21 (Pha),Ch 22 (Mag),Ch 22 (Pha),Ch 23 (Mag),Ch 23 (Pha),Ch 24 (Mag),Ch 24 (Pha),Ch 25 (Mag),Ch 25 (Pha),Ch 26 (Mag),Ch 26 (Pha),Ch 27 (Mag),Ch 27 (Pha),Ch 28 (Mag),Ch 28 (Pha),Ch 29 (Mag),Ch 29 (Pha),Ch 30 (Mag),Ch 30 (Pha),Ch 31 (Mag),Ch 31 (Pha),RSS
0.000000,0.006897,300.228291,-3.081420,310.132402,-2.785388,368.508701,-2.879692,382.086846,-3.133493,362.509853,-3.141239,324.665650,3.048474,756.686469,3.087683,360.775857,-3.059635,330.867032,2.943119,553.469747,-2.962684,318.021050,-3.059450,392.237710,2.672709,362.731542,2.912348,340.018748,2.843426,308.252783,2.578198,365.475481,2.452273,551.577683,2.216093,452.887473,2.335446,389.248277,1.970758,486.368628,2.280954,379.167446,2.479427,491.153000,2.454234,462.573509,2.466655,381.899345,2.061975,486.552274,2.013796,630.290133,2.200366,439.422199,1.899111,471.421770,2.007639,635.914745,1.117690,613.032651,2.135500,510.808309,1.268701,985.543397,1.127823,-54.812248
0.101000,0.125123,795.678065,1.935777,844.602131,2.674665,592.504420,2.866672,529.732674,-2.961472,1070.372863,-2.502881,1053.301515,-1.485286,563.488799,-1.859436,472.751348,-1.063830,433.173569,-0.955341,1165.490154,-1.075351,742.916704,0.618413,584.627658,0.792949,710.977663,1.129075,647.474816,0.963121,1068.055134,1.095335,543.560578,2.232988,904.400563,2.439581,494.498346,2.950103,597.483271,-2.885326,552.576181,-2.401241,976.101387,-1.654753,683.051501,-1.656742,566.344968,-1.695206,646.336044,-0.873921,1898.519825,-0.473432,1511.357192,0.838185,827.547451,0.734733,2743.796469,2.562447,1012.728254,0.899946,849.573139,1.808187,1541.964951,2.479045,982.002921,2.118781,-58.894162
0.201000,1.000000,1027.606943,2.683012,787.183400,3.035554,512.485271,2.442099,607.352802,2.610300,697.507097,2.285717,815.963097,2.463025,939.593483,2.764898,642.698088,2.231802,730.644102,2.726440,490.440171,2.475899,1036.159179,2.343128,700.223461,2.330574,2963.858856,1.577163,755.339070,2.064228,503.742500,2.132488,1310.684686,2.621048,887.563304,1.603051,2294.848201,1.834026,584.053555,2.189849,594.075490,1.379979,1420.783819,2.203383,2916.820103,0.845589,998.803901,1.418859,784.077685,0.537216,943.669858,0.711653,1034.413029,1.235774,839.289848,0.640446,2353.725340,2.427039,678.084684,1.063989,787.706892,0.465105,957.061404,-0.009808,980.252467,0.027147,-59.750512
0.301000,1.000000,1081.366379,1.817542,1023.539628,0.849757,471.886911,0.820973,702.587867,1.690754,553.409949,1.519455,590.963539,0.598065,888.515086,1.424557,1498.105461,1.143122,1453.266131,0.817757,951.176066,1.439901,707.524850,1.603585,1095.244122,1.964805,792.226866,2.591688,604.179438,1.405255,738.414744,2.035489,800.720889,2.567622,1217.789472,1.749094,990.508778,1.058458,1157.580917,2.610604,3467.832693,3.034297,1187.748381,2.644898,801.016193,1.845312,1106.329504,2.767668,2338.839921,1.847440,1228.528476,1.254407,795.657602,1.472212,1028.183589,2.085579,1982.030001,0.632446,1067.887892,-1.362919,1155.402597,1.317016,735.392583,1.574999,2999.498173,-0.165594,-60.392181
0.401000,1.000000,1063.018270,-0.614369,2877.450262,0.638210,1621.935382,1.189777,627.660345,0.873439,604.496048,1.954290,609.856467,2.789138,1090.579380,3.056178,2368.967752,-2.678644,1057.117229,-1.048450,753.273565,-2.066337,1471.824861,-1.467930,910.599449,-0.670412,2072.591301,-1.375739,5637.434180,-1.062989,905.969989,1.276972,1103.633742,0.563686,2931.934185,0.812264,957.058439,-3.023433,1024.233581,-1.735662,1361.009098,2.510381,2253.333372,-0.160189,812.294035,-3.043037,928.213386,-1.221525,1739.369146,-1.903079,1135.148034,-0.073702,582.903391,-0.318504,3694.263623,0.676851,641.239380,0.889693,2386.986754,-0.218953,982.091561,1.976452,840.230702,1.306854,1255.581483,2.849467,-60.900882
0.502000,1.000000,774.807642,2.628425,1478.422290,1.444362,990.035893,2.131978,804.567743,2.191231,882.469968,2.310821,834.266845,1.212732,804.386678,0.700629,994.291569,1.805514,1184.871229,0.382974,1395.343947,2.899084,1063.772669,1.137865,1190.197272,1.847585,1117.264860,1.138439,609.464918,1.360754,797.715349,1.470251,1464.847767,0.004792,1366.410431,1.647505,1272.003874,0.514794,1298.743027,-0.288812,689.458226,0.653432,1792.766097,-1.907808,2323.855235,-2.188236,1281.459987,0.401249,888.106207,-0.020198,782.794273,0.332816,1031.277408,-0.636071,1437.180371,-1.250953,1098.347815,-1.439485,951.593853,-0.779691,716.897994,-1.026039,613.604775,-0.917619,1438.072165,-1.383005,-60.782966
0.603000,0.113300,776.908344,-0.020001,1008.292369,-0.884031,3060.229758,-1.070679,1012.583771,-1.660726,738.265531,-2.636740,1076.827421,-1.756421,625.234500,2.900755,1067.826930,-2.908578,1188.256530,-2.171226,712.585972,3.038720,1646.817218,1.778006,1994.311281,2.982271,3022.769095,0.389175,452.341754,1.134230,1050.520987,0.639214,793.497955,0.905733,728.243020,0.163239,1219.776606,0.022960,741.431289,-1.050005,2606.281893,-0.946881,837.391310,-2.066292,1275.770106,-1.351145,827.409986,-2.396014,1027.173747,-2.363056,526.981045,-3.020974,467.147903,-2.997154,806.846184,3.120439,814.080785,2.540774,1151.035499,-3.070831,688.869680,2.269029,2606.648146,2.468794,759.381325,1.799657,-59.770763
0.703000,0.036735,1773.540166,-0.042484,1015.365445,-0.321671,1297.893731,-0.086022,1394.990371,-0.175132,425.442465,-0.450653,553.003781,0.172513,449.886836,-0.191430,952.565281,-0.448472,694.370319,-0.085428,816.700782,0.131973,449.061975,-0.169219,488.419472,-0.209771,648.098795,-0.659639,612.315927,-0.056028,386.573527,-0.176270,603.811262,0.409201,620.066982,-0.106253,520.362605,-0.285963,565.826393,0.226529,759.794810,0.879250,591.623127,-0.408985,608.024780,0.776138,413.128674,0.738589,581.847706,0.561853,513.987952,0.878619,412.459895,0.270509,488.005784,1.147393,535.958738,0.488760,505.567976,1.382642,366.668390,0.846318,434.182467,1.258084,570.794971,0.740208,-56.997737
0.804000,0.000000,449.936068,1.307477,350.931236,1.428653,599.325007,1.072783,326.693314,0.884257,515.620384,0.843084,342.919546,0.833795,505.238839,0.684039,600.632307,0.943583,399.357683,0.519476,341.994211,0.525324,350.255100,0.385323,467.212334,0.418989,340.653643,0.356451,450.077334,0.113269,407.670451,-0.099293,469.575136,0.246246,336.646094,0.098860,352.031255,0.123545,564.822487,-0.144948,339.757973,-0.288807,339.744325,-0.442211,282.470080,-0.525891,345.314112,-0.181313,360.886809,-0.609747,332.540781,-0.515110,331.776049,-0.661902,388.750059,-0.632455,233.088921,-0.718359,270.760025,-1.035120,244.903755,-0.746651,276.736812,-1.130684,289.164988,-0.934470,-53.548589
0.905000,0.000000,312.203388,-0.404333,344.860906,-0.218307,300.528451,-0.245793,305.932283,-0.223987,272.404657,-0.295728,374.660396,-0.285672,192.103833,-0.126407,271.154927,0.079420,379.509259,-0.217504,249.400852,-0.208087,250.806046,0.014554,253.959295,0.217321,255.969700,0.073381,344.690997,0.107664,335.385680,0.146961,233.230162,0.245790,271.758048,0.259360,346.191375,0.334411,404.847344,0.499689,206.946924,0.684726,362.044854,0.391824,345.679631,0.459737,246.822137,0.694521,381.402165,0.871588,299.763010,0.781496,285.532069,0.894557,224.593775,1.074233,247.797783,0.721827,283.782619,0.862775,325.616988,1.157246,228.043858,1.530547,251.306060,1.192857,-52.209718
