Time,BER,Ch 00 (Mag),Ch 00 (Pha),Ch 01 (Mag),Ch 01 (Pha),Ch 02 (Mag),Ch 02 (Pha),Ch 03 (Mag),Ch 03 (Pha),Ch 04 (Mag),Ch 04 (Pha),Ch 05 (Mag),Ch 05 (Pha),Ch 06 (Mag),Ch 06 (Pha),Ch 07 (Mag),Ch 07 (Pha),Ch 08 (Mag),Ch 08 (Pha),Ch 09 (Mag),Ch 09 (Pha),Ch 10 (Mag),Ch 10 (Pha),Ch 11 (Mag),Ch 11 (Pha),Ch 12 (Mag),Ch 12 (Pha),Ch 13 (Mag),Ch 13 (Pha),Ch 14 (Mag),Ch 14 (Pha),Ch 15 (Mag),Ch 15 (Pha),Ch 16 (Mag),Ch 16 (Pha),Ch 17 (Mag),Ch 17 (Pha),Ch 18 (Mag),Ch 18 (Pha),Ch 19 (Mag),Ch 19 (Pha),Ch 20 (Mag),Ch 20 (Pha),Ch 21 (Mag),Ch 21 (Pha),Ch 22 (Mag),Ch 22 (Pha),Ch 23 (Mag),Ch 23 (Pha),Ch 24 (Mag),Ch 24 (Pha),Ch 25 (Mag),Ch 25 (Pha),Ch 26 (Mag),Ch 26 (Pha),Ch 27 (Mag),Ch 27 (Pha),Ch 28 (Mag),Ch 28 (Pha),Ch 29 (Mag),Ch 29 (Pha),Ch 30 (Mag),Ch 30 (Pha),Ch 31 (Mag),Ch 31 (Pha),RSS
0.000000,0.000985,593.063857,3.055523,288.193871,2.670821,1030.341816,2.297841,414.487003,2.536802,395.736655,2.594189,584.913798,2.412923,381.675314,2.465112,332.918217,1.959464,524.957267,2.393395,364.876909,2.094637,356.072019,2.087186,327.511116,1.734647,282.694567,1.762507,411.227765,1.742476,245.222602,1.704312,442.988325,1.677543,276.664792,1.509730,331.497471,1.168711,362.864719,1.455444,292.801411,1.032669,357.741944,1.311873,343.783530,0.907034,285.881119,0.978515,395.005482,0.989857,287.395024,0.804434,300.989451,0.827704,278.828671,0.661499,294.431364,0.410957,344.073165,0.502859,217.211012,0.450279,313.774975,0.464711,244.694459,0.255342,-53.476086
0.100000,0.000985,628.267007,-0.131545,604.048797,1.228888,346.224193,0.616928,323.342811,0.695145,458.895865,0.636029,330.216266,0.979604,337.340417,1.440572,302.202596,1.152775,305.423333,1.749982,298.074181,1.589171,388.926358,1.569203,315.447176,2.131130,347.391844,2.183377,317.392156,2.064539,350.318300,2.367962,346.626670,2.299184,425.835012,2.719342,315.514298,-3.115781,280.446056,-3.090791,366.100855,-3.119075,298.501783,-2.915458,267.741357,-2.799498,253.125756,-2.542696,241.360234,-2.298690,315.977973,-2.485419,243.778054,-2.310025,249.069523,-1.814524,241.407137,-1.912689,292.180284,-1.704386,254.982428,-1.703378,274.847067,-1.448488,270.650403,-1.263041,-52.920405
0.201000,0.000000,228.147429,2.192218,271.679473,2.319817,213.608842,2.337499,224.743104,2.467906,210.818586,2.481736,215.470837,2.414975,193.450508,2.277032,222.019437,2.272630,171.189457,2.529668,196.234831,2.488145,218.311549,2.453966,187.519570,2.575628,194.443254,2.517061,196.033561,2.576006,238.669462,2.914852,200.986597,2.708341,200.403484,2.684302,167.697488,2.693008,197.112838,2.689214,214.906321,2.597479,183.911188,2.843441,192.029190,2.912535,172.193766,2.745999,179.256601,3.040150,173.728553,2.954362,198.653442,2.798655,201.918797,3.037124,182.048444,3.093361,180.507271,3.058191,165.366680,2.940794,180.475268,-3.081948,191.982215,-3.096398,-49.181375
0.301000,0.000000,195.223473,2.287162,247.878553,2.274263,205.294512,2.278895,223.926761,2.210493,228.764448,2.509851,199.178525,2.282540,179.292841,2.341392,179.050847,2.487269,171.839863,2.585311,159.895513,2.356342,168.453349,2.582998,187.929195,2.523664,159.034619,2.678267,173.745190,2.648700,163.784861,2.502566,173.672349,2.573745,155.987052,2.721026,186.707810,2.617592,187.806192,2.562223,160.600090,2.783255,167.404142,2.845155,167.391990,2.917074,154.494019,2.830210,153.022596,2.938967,152.346132,2.978889,148.058541,3.065935,139.352612,3.021751,167.944878,2.882595,136.765229,3.068342,170.415742,3.035430,158.823309,3.140297,182.011187,3.075479,-47.993786
0.401000,0.000000,213.170420,1.827614,243.392964,1.972811,234.232606,1.764054,174.919614,2.128369,185.964590,1.953965,186.755791,2.002186,198.070326,1.998268,174.364644,2.256489,197.278520,2.106118,164.813401,2.064553,191.145472,2.252000,187.916971,2.314504,170.254092,2.136819,183.443429,2.345315,203.036089,2.103097,155.589589,2.351196,188.840499,2.331462,180.001884,2.305855,193.321403,2.311879,170.784730,2.517546,142.748552,2.390204,170.413549,2.460483,154.957817,2.566991,157.619135,2.599856,159.438607,2.611589,152.503319,2.505532,156.542370,2.632454,147.820737,2.639513,161.060168,2.749758,167.519979,2.785537,170.927013,2.549007,147.007900,2.778821,-48.441724
0.501000,0.000000,239.458979,1.669728,186.486447,1.784622,207.647498,1.943342,218.566488,1.842505,217.805628,1.813188,205.661265,1.735321,172.448360,2.120982,167.519961,2.029920,212.445600,2.012711,199.475734,1.990425,199.575015,1.978564,173.040279,2.088537,189.886203,2.028808,175.242623,2.154282,183.043200,2.085126,177.769552,2.107694,164.547168,2.167399,169.272447,2.120023,156.361558,2.230649,193.421066,2.368388,191.746418,2.281751,156.044365,2.260101,162.428705,2.395108,180.101523,2.375407,149.264340,2.492860,162.053737,2.491826,156.539603,2.465769,179.487879,2.567444,154.591926,2.629578,163.266653,2.661549,153.231786,2.716156,142.301842,2.829413,-48.517547
0.601000,0.000000,181.676884,2.213594,264.863476,2.291350,230.502572,2.126435,198.237904,2.027912,211.449774,2.089187,199.640384,2.089129,182.070007,2.300895,220.005067,2.268598,180.635014,2.345504,175.758828,2.303875,179.105944,2.407881,199.296668,2.472551,188.301408,2.364555,187.716254,2.354192,197.731700,2.521384,181.421065,2.473890,168.601993,2.372586,170.793146,2.504453,177.878071,2.466023,154.801609,2.675504,195.202309,2.675251,148.550821,2.681122,154.926220,2.732656,187.240900,2.643639,141.141719,2.872062,151.802703,2.915026,160.197901,2.884088,161.780851,2.837582,174.306934,2.968445,131.710587,3.011421,148.579774,3.005738,163.714930,-3.103660,-48.429174
0.701000,0.000000,180.396155,1.742950,196.971760,1.936307,176.261577,1.838867,202.607055,2.047717,180.810401,1.954863,172.697651,1.927107,187.235784,2.072825,177.841013,2.083066,185.350638,2.164605,158.440845,2.216345,190.728505,2.059827,180.426249,2.214193,174.463211,2.297081,166.235171,2.199627,162.092152,2.252840,171.581050,2.196963,178.358294,2.568872,144.469583,2.444802,161.743195,2.539401,148.218450,2.320305,158.780724,2.417836,142.531590,2.560609,161.308739,2.523003,150.480152,2.667093,168.431008,2.690229,163.153844,2.717115,149.495049,2.678962,156.983145,2.694807,146.967987,2.721177,144.501973,2.722001,153.366721,2.750422,137.969494,2.889901,-47.612752
0.801000,0.000000,162.717266,-2.271668,135.526623,-2.327182,170.133984,-2.487969,140.524394,-2.615289,131.114624,-2.752852,142.105245,-2.916951,154.216867,-2.945695,132.224383,-2.931915,131.766511,-3.036852,138.013717,3.086810,145.094518,3.042305,144.453968,2.951289,136.094847,2.858236,137.527741,2.763885,137.794548,2.666639,129.226333,2.508542,135.479208,2.360883,123.252884,2.439258,121.895554,2.167817,126.851235,2.008251,118.313260,2.169238,121.679247,2.124219,128.127905,1.836039,128.563094,1.798844,119.806361,1.814657,122.812465,1.563757,116.039365,1.506150,143.527725,1.422278,134.854576,1.285627,118.383706,1.240801,134.557477,1.258272,129.745284,1.004178,-45.849637
0.901000,0.000000,141.382517,2.029106,146.530124,2.053954,141.124097,2.076759,139.063402,2.267630,126.350375,2.196953,117.068654,2.238814,134.380970,2.254230,123.181763,2.320873,125.301139,2.338731,105.095771,2.374437,123.789550,2.387085,129.006289,2.476299,122.709925,2.317673,112.128072,2.400390,113.957060,2.455006,116.875555,2.502187,127.693257,2.520163,122.461379,2.474806,105.683001,2.559948,115.895758,2.669455,116.551539,2.654240,120.832069,2.714410,118.891972,2.691759,124.582146,2.807259,108.342180,2.777247,128.276852,2.673021,122.313569,2.839461,125.007489,2.910413,112.971076,2.877597,102.648638,2.876743,124.317655,2.946783,113.059124,2.959869,-45.230898
