Time,BER,Ch 00 (Mag),Ch 00 (Pha),Ch 01 (Mag),Ch 01 (Pha),Ch 02 (Mag),Ch 02 (Pha),Ch 03 (Mag),Ch 03 (Pha),Ch 04 (Mag),Ch 04 (Pha),Ch 05 (Mag),Ch 05 (Pha),Ch 06 (Mag),Ch 06 (Pha),Ch 07 (Mag),Ch 07 (Pha),Ch 08 (Mag),Ch 08 (Pha),Ch 09 (Mag),Ch 09 (Pha),Ch 10 (Mag),Ch 10 (Pha),Ch 11 (Mag),Ch 11 (Pha),Ch 12 (Mag),Ch 12 (Pha),Ch 13 (Mag),Ch 13 (Pha),Ch 14 (Mag),Ch 14 (Pha),Ch 15 (Mag),Ch 15 (Pha),Ch 16 (Mag),Ch 16 (Pha),Ch 17 (Mag),Ch 17 (Pha),Ch 18 (Mag),Ch 18 (Pha),Ch 19 (Mag),Ch 19 (Pha),Ch 20 (Mag),Ch 20 (Pha),Ch 21 (Mag),Ch 21 (Pha),Ch 22 (Mag),Ch 22 (Pha),Ch 23 (Mag),Ch 23 (Pha),Ch 24 (Mag),Ch 24 (Pha),Ch 25 (Mag),Ch 25 (Pha),Ch 26 (Mag),Ch 26 (Pha),Ch 27 (Mag),Ch 27 (Pha),Ch 28 (Mag),Ch 28 (Pha),Ch 29 (Mag),Ch 29 (Pha),Ch 30 (Mag),Ch 30 (Pha),Ch 31 (Mag),Ch 31 (Pha),RSS
0.000000,0.000000,111.805109,-2.282928,131.516391,-2.250955,116.558554,-2.164190,130.151049,-2.210119,118.538542,-2.268556,111.227940,-2.186733,112.622660,-2.008645,118.534872,-2.115225,118.908923,-1.958368,129.746212,-2.044557,112.916872,-2.006182,120.922164,-1.890043,126.413954,-1.867759,116.851974,-1.852973,126.924571,-1.938315,113.521260,-1.939160,124.805679,-1.807934,122.963713,-1.706164,128.254517,-1.712838,117.042196,-1.764462,122.121332,-1.806538,123.551793,-1.605540,120.182632,-1.756961,129.613665,-1.694410,119.977114,-1.642291,126.394416,-1.631877,119.265198,-1.685295,138.085834,-1.607368,133.365945,-1.576069,128.980242,-1.545915,126.253989,-1.523986,122.448778,-1.381213,-45.237565
0.101000,0.000000,113.332106,-2.158361,99.683405,-2.124034,110.863404,-2.131844,104.164695,-2.023273,101.115882,-2.106157,116.414618,-2.042883,115.276675,-1.980713,109.588689,-2.008147,118.365128,-1.835767,142.113529,-1.867274,114.109444,-1.842448,108.650139,-1.802237,119.974520,-1.857079,114.987229,-1.831879,124.607138,-1.862813,98.615478,-1.752545,118.529177,-1.735573,126.073745,-1.742610,116.285814,-1.651908,123.795761,-1.583041,103.398903,-1.592221,110.192679,-1.509952,102.823158,-1.579194,118.709776,-1.545757,113.430912,-1.502257,107.945451,-1.556007,117.447081,-1.465554,106.573276,-1.436153,113.982167,-1.423911,116.329515,-1.403647,125.951587,-1.404628,122.953956,-1.388979,-44.850711
0.201000,0.000000,104.320416,-2.082163,107.227193,-1.906903,105.545911,-1.967941,100.583353,-1.935007,122.658975,-1.971741,112.542968,-1.860320,113.921300,-1.937281,104.150450,-1.865795,109.797846,-1.907953,107.677160,-1.879971,115.071212,-1.827896,103.871158,-1.805927,112.349505,-1.726136,120.404046,-1.726096,108.312735,-1.744849,99.838261,-1.630385,118.386655,-1.679448,108.839819,-1.633489,117.213731,-1.598045,101.157280,-1.533255,123.109425,-1.453293,101.309359,-1.536509,112.038891,-1.430091,105.947114,-1.532748,115.164685,-1.452915,113.272793,-1.455193,117.693475,-1.359625,109.031475,-1.285888,123.567764,-1.391587,112.707296,-1.401010,113.013254,-1.324673,123.022040,-1.295101,-44.457066
0.301000,0.000000,95.735422,-1.742965,109.373731,-1.828300,96.695497,-1.712731,99.078943,-1.699679,99.853645,-1.636042,107.392838,-1.640240,106.492415,-1.614599,103.667040,-1.590964,98.433792,-1.557037,113.972643,-1.524247,98.873181,-1.477114,98.262694,-1.434172,102.876738,-1.364494,102.383016,-1.511409,103.529317,-1.399592,102.369739,-1.335312,100.613112,-1.331192,99.388069,-1.228805,109.920634,-1.222726,108.377779,-1.203129,98.111834,-1.130331,118.092369,-1.222284,100.370240,-1.172367,108.980728,-1.108639,120.901677,-1.044123,118.215536,-1.129431,108.577373,-1.163494,114.031565,-1.057896,111.128891,-1.021202,113.046522,-1.095841,112.887698,-0.959540,133.490775,-0.909405,-44.466157
0.402000,0.000000,119.956095,-1.520310,111.164591,-1.397104,126.147350,-1.437577,106.214769,-1.333292,106.329139,-1.216326,108.093541,-1.369576,116.974016,-1.156850,104.530903,-1.190813,113.295315,-1.081686,117.915787,-1.071039,116.776384,-1.206866,110.794348,-1.087967,123.287315,-1.000956,118.076945,-1.104297,121.671097,-0.992121,117.702017,-1.018288,113.365610,-0.950642,121.732560,-0.905926,121.202784,-0.911720,116.125939,-0.980547,119.305371,-0.876616,109.733058,-0.918066,112.874420,-0.771898,124.125096,-0.765924,139.071408,-0.839767,121.432067,-0.720910,131.927582,-0.760543,126.784981,-0.665517,122.741436,-0.665792,116.745729,-0.625465,131.073699,-0.567848,141.860537,-0.502177,-45.075981
0.503000,0.000000,171.007659,-1.190654,152.033514,-1.139498,158.719789,-1.166683,147.807904,-1.112658,129.690489,-1.010518,201.501837,-1.203601,159.159768,-0.944055,167.843071,-0.902402,169.237052,-0.943052,165.021823,-1.017146,144.989223,-0.957125,164.117255,-0.905821,170.201782,-0.683144,181.951094,-0.841093,179.689346,-0.846627,177.852117,-0.692256,181.643195,-0.697868,179.029214,-0.789812,161.023529,-0.728049,182.281876,-0.684394,220.894942,-0.645244,206.806717,-0.500923,178.004370,-0.645950,195.442822,-0.603987,197.341110,-0.599206,176.792660,-0.512381,171.906357,-0.494356,202.943421,-0.525184,226.242599,-0.380399,174.219690,-0.251847,214.381248,-0.341494,265.347084,-0.340743,-48.427936
0.603000,0.003941,342.839334,2.907841,342.948680,3.131993,345.361906,-2.903632,553.481370,-2.671263,315.435461,-2.284546,409.828704,-2.443936,425.567708,-2.347181,541.396470,-2.176858,401.196279,-2.079109,326.612128,-1.996133,482.632998,-1.713740,434.988476,-1.369739,384.801970,-1.864423,418.312265,-1.437138,554.917880,-1.438942,431.805921,-1.204303,368.882010,-1.017964,375.295345,-0.567833,558.595685,-0.879393,477.068525,-0.264221,570.023971,-0.600451,420.809572,-0.083986,602.359328,-0.112055,636.871273,0.131623,675.884853,0.213544,949.366976,0.310279,645.887294,0.928369,792.647029,0.436085,549.028831,0.473050,489.513335,0.920051,784.060137,1.061592,524.035762,0.807203,-55.605634
0.704000,0.000000,253.933352,-0.778259,225.211649,-1.089359,274.913006,-0.954711,235.259135,-1.303919,208.834755,-1.247322,254.371940,-1.466545,267.175396,-1.543482,208.994260,-1.390117,226.664780,-2.072250,235.028504,-1.869440,224.957725,-1.885763,242.765567,-2.054817,288.178209,-2.015051,243.674243,-2.168766,231.514463,-2.338565,236.572002,-2.483200,291.962489,-2.795717,267.184081,-2.733012,234.040498,-2.786694,214.353185,-2.934992,190.831384,-3.047273,209.965131,3.074860,215.606557,3.045711,248.955179,3.123435,201.616955,2.833523,197.048331,2.721095,185.495461,2.764648,223.049705,2.657473,227.345163,2.602996,203.895661,2.309599,216.351307,2.409874,207.852965,2.328397,-50.461296
0.804000,0.000000,122.222574,-2.491928,122.444142,-2.486941,133.037641,-2.478126,134.098138,-2.417241,114.091126,-2.344844,126.130143,-2.327767,126.625987,-2.271212,124.578669,-2.319570,109.278665,-2.156406,118.993190,-2.244789,129.881253,-2.234900,122.561661,-2.276651,130.937905,-2.232039,123.933907,-2.175815,118.958986,-2.290797,126.568164,-2.060592,121.515556,-2.027773,120.215115,-2.048644,128.472098,-1.998538,126.082842,-2.045885,122.377734,-1.904138,116.898885,-2.032743,130.074260,-1.908189,123.122439,-1.882261,120.508707,-1.958337,134.853508,-1.865998,121.024453,-1.872676,121.247982,-1.777997,118.136443,-1.847671,113.172273,-1.803059,118.299090,-1.809718,119.510912,-1.677809,-45.531138
0.904000,0.000000,131.200672,2.368916,112.921814,2.602583,120.297812,2.742971,130.406558,2.899630,111.614641,3.044208,121.212218,3.122135,116.357104,-2.981071,115.603282,-2.876300,117.452574,-2.670478,108.478407,-2.554650,117.787463,-2.343848,124.245526,-2.208699,125.278753,-2.218721,118.509709,-1.991130,118.652650,-1.895663,112.946863,-1.642437,112.678691,-1.581184,122.386133,-1.374354,112.666694,-1.308973,128.749926,-1.068203,127.619657,-0.900675,114.990225,-0.743065,131.815335,-0.577347,108.485865,-0.490414,128.802494,-0.311558,123.354356,-0.204230,115.012355,-0.046619,113.383130,0.248900,107.466016,0.221391,146.266725,0.303345,148.847118,0.575026,127.170661,0.652641,-45.153759
