Time,BER,Ch 00 (Mag),Ch 00 (Pha),Ch 01 (Mag),Ch 01 (Pha),Ch 02 (Mag),Ch 02 (Pha),Ch 03 (Mag),Ch 03 (Pha),Ch 04 (Mag),Ch 04 (Pha),Ch 05 (Mag),Ch 05 (Pha),Ch 06 (Mag),Ch 06 (Pha),Ch 07 (Mag),Ch 07 (Pha),Ch 08 (Mag),Ch 08 (Pha),Ch 09 (Mag),Ch 09 (Pha),Ch 10 (Mag),Ch 10 (Pha),Ch 11 (Mag),Ch 11 (Pha),Ch 12 (Mag),Ch 12 (Pha),Ch 13 (Mag),Ch 13 (Pha),Ch 14 (Mag),Ch 14 (Pha),Ch 15 (Mag),Ch 15 (Pha),Ch 16 (Mag),Ch 16 (Pha),Ch 17 (Mag),Ch 17 (Pha),Ch 18 (Mag),Ch 18 (Pha),Ch 19 (Mag),Ch 19 (Pha),Ch 20 (Mag),Ch 20 (Pha),Ch 21 (Mag),Ch 21 (Pha),Ch 22 (Mag),Ch 22 (Pha),Ch 23 (Mag),Ch 23 (Pha),Ch 24 (Mag),Ch 24 (Pha),Ch 25 (Mag),Ch 25 (Pha),Ch 26 (Mag),Ch 26 (Pha),Ch 27 (Mag),Ch 27 (Pha),Ch 28 (Mag),Ch 28 (Pha),Ch 29 (Mag),Ch 29 (Pha),Ch 30 (Mag),Ch 30 (Pha),Ch 31 (Mag),Ch 31 (Pha),RSS
0.000000,0.000000,89.337739,0.625099,89.337476,0.697838,89.117135,0.770156,84.204675,0.733315,82.506680,0.713891,77.847903,0.812820,78.311974,0.844368,88.528592,0.919616,85.082783,0.987258,78.620922,0.969547,88.176950,1.019224,83.336368,1.116252,79.879351,1.075641,75.536819,1.126210,77.533046,1.128850,82.501866,1.253624,89.762043,1.169881,78.709227,1.243150,90.141583,1.270506,80.389228,1.372609,77.577367,1.323572,81.956043,1.449869,85.532829,1.452980,87.321865,1.436605,81.953162,1.585702,91.256837,1.609232,82.573765,1.663146,77.277859,1.543252,88.368049,1.656146,82.609433,1.578643,85.172828,1.737194,85.005354,1.686245,-42.251683
0.101000,0.000000,87.289594,0.769480,85.001499,0.814256,83.639526,0.727698,87.912520,0.801289,88.219058,0.795462,73.298990,0.897393,82.628814,0.837227,80.843533,0.926406,77.575450,0.958037,84.998202,1.026996,81.735699,0.935279,76.760100,1.087365,76.514328,1.202441,79.713125,1.108394,77.036303,1.144598,80.075049,1.221772,72.982887,1.292610,75.202373,1.293106,73.211793,1.313374,83.371278,1.391554,81.274186,1.403551,73.663659,1.410804,82.200448,1.405519,81.062648,1.392956,80.736252,1.567119,77.606015,1.575094,77.966903,1.603155,82.438646,1.621095,80.518675,1.755841,79.082600,1.772602,88.504048,1.786493,78.398176,1.765715,-41.778338
0.201000,0.000000,76.691510,0.618056,88.686218,0.673833,71.373895,0.676610,81.886825,0.776772,77.624950,0.755102,77.297952,0.746197,74.304347,0.796592,72.494150,0.800534,73.829665,0.895807,79.655884,0.965630,68.875704,0.982177,70.982989,0.938883,77.584650,1.066308,70.753401,1.096982,72.055526,1.088814,69.824982,1.060328,70.773383,1.167274,68.015783,1.210831,71.420619,1.207077,78.984962,1.277794,77.011401,1.278294,77.281775,1.332494,71.206382,1.380084,72.004886,1.423888,71.464206,1.485247,77.415781,1.478227,66.610305,1.523714,77.555609,1.541387,72.885449,1.511919,75.107116,1.524547,73.346311,1.645898,74.582361,1.628412,-41.138409
0.301000,0.000000,72.226136,0.761032,79.140690,0.671496,71.090246,0.806640,74.902786,0.785840,65.381168,0.879530,68.535653,0.841593,65.112953,0.954421,71.433775,0.979467,68.156029,0.950890,69.965669,1.036007,64.231244,1.005986,67.790415,1.040963,66.048968,1.139398,67.914472,1.131623,62.703735,1.253546,63.702367,1.249365,72.699242,1.326828,71.716183,1.332739,63.594793,1.293490,63.773182,1.379600,69.886475,1.410297,65.455947,1.342663,65.347950,1.434069,66.623771,1.456981,67.753916,1.481389,66.829422,1.581933,71.700991,1.630388,74.273684,1.644386,67.259835,1.750383,76.225041,1.684057,75.143962,1.709680,74.451727,1.775558,-40.587052
0.401000,0.000000,68.311630,2.360869,63.958942,2.250410,67.428393,2.185519,67.572113,2.092113,65.686496,1.978668,67.135853,1.919174,66.953697,1.811711,67.534550,1.737335,63.978980,1.570881,63.417564,1.558102,65.483637,1.463173,61.300128,1.348426,57.279676,1.199138,64.151858,1.148934,66.945632,1.073095,65.611980,1.001844,67.581923,0.905020,66.434144,0.763059,64.310183,0.724934,62.590788,0.652077,62.276205,0.551722,65.666347,0.451065,61.748990,0.386234,61.742724,0.278740,66.235517,0.236654,68.556097,0.124527,66.842057,0.033727,68.523655,-0.098311,68.503386,-0.163212,70.509908,-0.338253,68.598096,-0.328013,69.638779,-0.459550,-40.153855
0.502000,0.000000,68.752674,2.607676,71.901523,2.478467,66.022607,2.476298,72.901131,2.333109,66.622219,2.296814,61.743718,2.144541,67.819505,2.046847,63.031312,1.987620,67.670921,1.851576,64.155989,1.835048,67.307049,1.745161,64.647242,1.548608,62.902493,1.503558,67.416626,1.377318,60.768561,1.360847,62.962983,1.254713,65.043616,1.197343,61.980547,1.060864,61.922451,1.033198,67.409474,0.933501,63.885612,0.729602,68.643272,0.757459,63.678942,0.618679,65.048741,0.612497,63.847263,0.501345,70.155834,0.358943,71.838081,0.297708,67.794658,0.133544,65.337106,0.018590,67.992295,-0.051742,65.998959,-0.170972,71.511737,-0.191650,-40.160090
0.603000,0.000000,74.656768,0.610916,68.171172,0.685474,70.097038,0.599015,70.417535,0.681297,68.972055,0.778041,67.666093,0.762117,71.973957,0.822104,70.104891,0.855888,68.796460,0.925151,71.112016,0.947289,67.992125,0.931880,66.977481,1.028578,65.931514,0.988211,72.845945,1.068150,70.566571,1.140351,70.532926,1.154176,71.037952,1.121721,66.312720,1.190680,67.787861,1.304604,66.604643,1.271426,64.713010,1.258498,68.974931,1.376216,62.690535,1.404071,63.283258,1.467756,66.902236,1.421669,71.582049,1.453219,68.509540,1.498698,69.895446,1.545269,72.741497,1.597890,71.091896,1.622543,72.067067,1.608560,73.316992,1.628834,-40.714728
0.704000,0.000000,81.082565,2.342038,78.341146,2.233353,81.150105,2.106592,71.856495,2.049419,74.908134,1.856097,73.738879,1.967441,74.485959,1.743001,77.859078,1.739059,71.750279,1.561169,70.705259,1.524118,70.961719,1.460660,69.415607,1.405372,70.901449,1.268932,72.294137,1.135900,67.539021,1.147392,69.067704,1.058209,70.168077,0.901560,70.832940,0.888722,78.530847,0.646773,75.326129,0.626510,68.573217,0.582079,76.201316,0.517590,69.625775,0.363313,77.414269,0.283049,78.818128,0.204136,74.618651,0.075250,74.814397,0.104525,74.704539,-0.016461,76.445742,-0.023407,79.928690,-0.215772,76.980564,-0.305115,79.272127,-0.472847,-41.156674
0.804000,0.000000,82.209984,0.341971,75.612366,0.457214,83.121099,0.410283,80.363882,0.492679,82.740719,0.474506,80.369568,0.522672,72.653530,0.583129,77.384866,0.623242,80.165090,0.612266,75.202757,0.672907,75.900532,0.748518,73.601645,0.779253,71.245414,0.834592,82.852541,0.783359,82.167701,0.877083,72.239767,0.908460,78.315102,0.933355,81.189433,0.923269,76.375978,0.930998,76.743947,0.985780,78.223975,1.059722,83.552992,1.138885,78.057343,1.153225,83.114828,1.176443,82.924548,1.266769,77.779787,1.226991,79.074561,1.277103,84.007473,1.237990,78.648948,1.331366,85.243683,1.439765,84.539339,1.360690,86.999398,1.430136,-41.654172
0.904000,0.000000,85.763452,0.213738,94.888052,0.321232,89.360451,0.251531,81.536234,0.285990,86.044752,0.421536,87.689593,0.480138,85.673948,0.503246,83.286219,0.439223,85.134614,0.456850,85.835427,0.510861,85.396209,0.518043,81.620026,0.586555,93.151219,0.718911,85.108688,0.719863,92.012931,0.706784,89.885099,0.781836,78.201677,0.835404,86.801203,0.843383,93.725264,0.783739,90.538787,0.954935,85.798518,0.990949,86.950558,0.947377,88.901767,1.033930,92.065496,0.988909,98.978891,1.011030,89.562445,1.135329,87.872696,1.250247,84.215516,1.249162,86.289144,1.131519,88.052829,1.235525,93.256048,1.303089,96.467957,1.352374,-42.696365
