Time,BER,Ch 00 (Mag),Ch 00 (Pha),Ch 01 (Mag),Ch 01 (Pha),Ch 02 (Mag),Ch 02 (Pha),Ch 03 (Mag),Ch 03 (Pha),Ch 04 (Mag),Ch 04 (Pha),Ch 05 (Mag),Ch 05 (Pha),Ch 06 (Mag),Ch 06 (Pha),Ch 07 (Mag),Ch 07 (Pha),Ch 08 (Mag),Ch 08 (Pha),Ch 09 (Mag),Ch 09 (Pha),Ch 10 (Mag),Ch 10 (Pha),Ch 11 (Mag),Ch 11 (Pha),Ch 12 (Mag),Ch 12 (Pha),Ch 13 (Mag),Ch 13 (Pha),Ch 14 (Mag),Ch 14 (Pha),Ch 15 (Mag),Ch 15 (Pha),Ch 16 (Mag),Ch 16 (Pha),Ch 17 (Mag),Ch 17 (Pha),Ch 18 (Mag),Ch 18 (Pha),Ch 19 (Mag),Ch 19 (Pha),Ch 20 (Mag),Ch 20 (Pha),Ch 21 (Mag),Ch 21 (Pha),Ch 22 (Mag),Ch 22 (Pha),Ch 23 (Mag),Ch 23 (Pha),Ch 24 (Mag),Ch 24 (Pha),Ch 25 (Mag),Ch 25 (Pha),Ch 26 (Mag),Ch 26 (Pha),Ch 27 (Mag),Ch 27 (Pha),Ch 28 (Mag),Ch 28 (Pha),Ch 29 (Mag),Ch 29 (Pha),Ch 30 (Mag),Ch 30 (Pha),Ch 31 (Mag),Ch 31 (Pha),RSS
0.000000,0.000000,82.286695,-1.057937,88.410742,-1.105509,81.799187,-1.121003,80.247267,-1.102763,80.545228,-1.062415,78.308488,-1.234864,73.838139,-1.211623,74.122876,-1.204572,80.242050,-1.140064,78.579630,-1.204463,67.740783,-1.188101,78.370354,-1.233958,74.931135,-1.204380,75.238871,-1.340337,77.334403,-1.250499,78.964481,-1.291678,74.337355,-1.242906,77.603884,-1.318453,73.622564,-1.320813,70.390562,-1.210255,66.736363,-1.420816,74.261628,-1.281108,72.504891,-1.361259,70.158901,-1.430870,73.226280,-1.384634,71.623146,-1.363170,77.466175,-1.363429,77.982732,-1.440566,69.123346,-1.412210,72.481377,-1.384451,76.613744,-1.452538,78.330878,-1.497725,-41.259419
0.100000,0.000000,81.129885,-1.096242,78.413753,-1.111379,80.592061,-1.087367,81.853782,-1.146231,82.235450,-1.063841,78.434567,-1.153938,77.664800,-1.139923,75.853299,-1.168998,75.766685,-1.248152,80.579289,-1.297147,73.973982,-1.289978,79.874966,-1.302578,71.189625,-1.262547,71.600158,-1.279399,78.515060,-1.244261,74.064210,-1.302085,72.942321,-1.340276,71.291680,-1.305887,74.907852,-1.367838,72.024500,-1.295679,72.490481,-1.368619,74.290694,-1.392148,76.671593,-1.392072,72.019755,-1.446674,75.535848,-1.463854,76.937194,-1.392685,71.659865,-1.393913,73.820629,-1.477190,75.170229,-1.410819,78.614593,-1.499409,72.510455,-1.540117,78.190989,-1.459405,-41.319221
0.201000,0.000000,78.397715,-1.051792,76.194360,-1.009334,79.837616,-1.114820,79.600923,-1.061297,79.076630,-1.104757,83.098428,-1.062139,78.896897,-1.131218,74.552317,-1.166788,78.972925,-1.104020,74.968223,-1.210337,77.370863,-1.232905,78.076047,-1.188776,72.603698,-1.290657,74.924544,-1.190101,72.904825,-1.228306,69.815414,-1.255700,75.938244,-1.201765,74.002129,-1.272749,74.683162,-1.290229,70.555500,-1.290111,69.793744,-1.295247,72.566691,-1.274370,73.272633,-1.295153,70.243279,-1.320379,73.024396,-1.315411,72.975972,-1.412627,74.119588,-1.404441,74.217077,-1.342813,79.950928,-1.388840,74.512216,-1.507113,78.114533,-1.474470,77.881059,-1.447410,-41.282807
0.301000,0.000000,80.520567,-1.025969,81.271099,-1.048982,77.418625,-1.194067,79.840780,-1.167388,77.270988,-1.160302,73.275252,-1.122476,73.138109,-1.211024,75.776661,-1.178509,77.858604,-1.160573,72.149050,-1.197283,78.045904,-1.204877,76.864979,-1.288619,67.372620,-1.277503,70.308541,-1.277616,70.298729,-1.296655,75.900912,-1.273070,69.618818,-1.308891,72.102985,-1.333445,73.435119,-1.314691,73.766696,-1.285433,73.702282,-1.306507,72.352060,-1.396502,76.293962,-1.436102,71.295040,-1.422443,69.945404,-1.423055,71.215818,-1.383627,73.035484,-1.459540,73.434347,-1.443348,70.541804,-1.429465,74.731711,-1.536712,82.246513,-1.440670,78.698081,-1.498128,-41.246793
0.401000,0.000000,81.492761,-1.110877,86.161155,-1.068229,73.684761,-1.015221,78.796638,-1.035381,80.491664,-1.123883,79.105671,-1.144789,76.112175,-1.089432,79.770104,-1.039467,76.301364,-1.224090,73.418219,-1.170957,72.070721,-1.157781,73.733227,-1.195259,79.541928,-1.186115,74.121951,-1.174155,72.999247,-1.215192,76.805571,-1.176294,76.860303,-1.225837,81.170182,-1.165911,71.515949,-1.247427,74.066733,-1.301997,73.342957,-1.321519,70.535457,-1.335388,71.185323,-1.359897,80.419084,-1.314472,75.202269,-1.365204,71.382260,-1.355148,72.403936,-1.364939,73.021960,-1.482891,74.315440,-1.438013,74.963066,-1.420060,75.389333,-1.433783,76.359094,-1.417371,-41.268918
0.501000,0.000000,81.066534,-1.165418,77.653620,-1.102094,74.664950,-1.046574,77.207369,-1.164019,73.983910,-1.105413,73.877807,-1.219723,74.100080,-1.214258,76.377295,-1.098039,78.234626,-1.165413,78.046651,-1.175534,76.319747,-1.179602,77.336889,-1.226045,71.577123,-1.204045,72.918587,-1.232577,77.145257,-1.221144,76.401322,-1.310222,81.022493,-1.349594,72.991253,-1.306722,73.876846,-1.296487,73.318864,-1.322382,74.364390,-1.360154,68.179150,-1.306103,72.034623,-1.415359,77.343553,-1.505044,75.771603,-1.473465,79.199132,-1.414475,75.999287,-1.412749,78.133753,-1.449403,73.841666,-1.480302,75.815097,-1.472566,73.906945,-1.566290,74.937838,-1.451209,-41.311823
0.602000,0.000000,85.067527,-0.992038,77.576209,-1.095428,78.761074,-1.069239,82.549241,-1.080891,81.789735,-1.050127,76.765687,-1.021529,75.325019,-1.075953,78.425805,-1.154920,81.952472,-1.175543,83.571167,-1.167719,80.999768,-1.081444,81.283367,-1.200814,79.869726,-1.124729,71.594948,-1.206517,73.094013,-1.172354,76.228997,-1.215930,71.806909,-1.237653,77.845754,-1.223867,76.931888,-1.225661,78.045854,-1.364242,71.320062,-1.311137,73.644606,-1.295647,79.340630,-1.355288,73.598926,-1.357471,70.637504,-1.340360,75.857034,-1.419453,69.918233,-1.366724,71.417350,-1.356221,71.244025,-1.294701,72.300100,-1.413391,72.942676,-1.418809,75.030248,-1.348521,-41.296895
0.702000,0.000000,77.936591,-2.904592,76.158306,-2.818714,81.976097,-2.668098,79.495229,-2.588824,74.888215,-2.474358,78.061339,-2.400390,75.794926,-2.257252,77.852651,-2.138210,73.928071,-2.039059,77.448143,-1.908318,74.632335,-1.871845,73.302472,-1.707631,72.716436,-1.650912,72.804377,-1.458322,71.147927,-1.454688,71.262703,-1.223151,72.552473,-1.109591,71.205318,-1.000340,74.399618,-0.928554,72.467705,-0.746019,71.300858,-0.666716,71.547245,-0.614881,69.152654,-0.426954,75.355548,-0.367957,71.103763,-0.231769,70.703558,-0.120329,71.770422,-0.053906,73.609455,0.129098,73.957523,0.091018,79.522112,0.315280,74.411868,0.348022,80.992019,0.563979,-41.230588
0.802000,0.000000,80.983998,-1.038441,82.189770,-1.094549,86.721301,-1.012430,76.841363,-1.070257,81.577883,-1.127435,80.252763,-1.121968,82.871561,-1.157327,76.299521,-1.182965,77.664115,-1.060509,78.508908,-1.175904,73.192801,-1.127066,68.852745,-1.209073,75.521373,-1.162364,72.306961,-1.226438,75.615487,-1.315721,71.680795,-1.163494,73.564054,-1.210609,71.729001,-1.318952,74.902135,-1.354252,74.613963,-1.327975,75.514641,-1.291389,75.850645,-1.282429,72.699910,-1.322293,79.427169,-1.324593,73.881780,-1.370389,77.065395,-1.384801,76.167825,-1.359087,75.280496,-1.426300,75.699615,-1.348407,76.248093,-1.406267,80.702421,-1.547682,73.061296,-1.448100,-41.260145
0.902000,0.000000,82.686129,-1.098952,79.774331,-1.091155,77.394462,-1.012555,85.419191,-1.032477,77.797320,-1.030788,76.219608,-1.179443,75.254031,-1.246643,77.416782,-1.151120,75.410596,-1.176057,76.393689,-1.182165,74.639092,-1.212741,76.860393,-1.269517,77.903657,-1.253026,75.852885,-1.276494,73.410461,-1.256530,72.050003,-1.259351,75.101957,-1.324275,71.889389,-1.299549,72.888876,-1.380960,74.312832,-1.327462,73.625797,-1.290711,74.400646,-1.377414,72.285678,-1.404364,81.287837,-1.355692,71.834552,-1.343916,76.587855,-1.432745,79.146897,-1.453928,72.178829,-1.444626,76.453692,-1.378442,71.587517,-1.489076,76.653464,-1.459398,74.581218,-1.514694,-41.280968
