Time,BER,Ch 00 (Mag),Ch 00 (Pha),Ch 01 (Mag),Ch 01 (Pha),Ch 02 (Mag),Ch 02 (Pha),Ch 03 (Mag),Ch 03 (Pha),Ch 04 (Mag),Ch 04 (Pha),Ch 05 (Mag),Ch 05 (Pha),Ch 06 (Mag),Ch 06 (Pha),Ch 07 (Mag),Ch 07 (Pha),Ch 08 (Mag),Ch 08 (Pha),Ch 09 (Mag),Ch 09 (Pha),Ch 10 (Mag),Ch 10 (Pha),Ch 11 (Mag),Ch 11 (Pha),Ch 12 (Mag),Ch 12 (Pha),Ch 13 (Mag),Ch 13 (Pha),Ch 14 (Mag),Ch 14 (Pha),Ch 15 (Mag),Ch 15 (Pha),Ch 16 (Mag),Ch 16 (Pha),Ch 17 (Mag),Ch 17 (Pha),Ch 18 (Mag),Ch 18 (Pha),Ch 19 (Mag),Ch 19 (Pha),Ch 20 (Mag),Ch 20 (Pha),Ch 21 (Mag),Ch 21 (Pha),Ch 22 (Mag),Ch 22 (Pha),Ch 23 (Mag),Ch 23 (Pha),Ch 24 (Mag),Ch 24 (Pha),Ch 25 (Mag),Ch 25 (Pha),Ch 26 (Mag),Ch 26 (Pha),Ch 27 (Mag),Ch 27 (Pha),Ch 28 (Mag),Ch 28 (Pha),Ch 29 (Mag),Ch 29 (Pha),Ch 30 (Mag),Ch 30 (Pha),Ch 31 (Mag),Ch 31 (Pha),RSS
0.000000,0.000985,666.449683,-0.763490,335.851839,-0.964196,472.639211,-0.908494,410.387589,-0.460916,346.699597,-0.593025,399.168598,-0.296300,442.451648,-0.596391,347.004154,-0.635183,325.115247,-0.772695,302.765525,-0.640258,348.497248,-0.641132,408.334203,-0.485881,332.068822,-0.520972,426.402550,-0.595653,466.433753,-0.516286,327.894736,-0.920415,404.127947,-1.013412,294.754390,-0.752687,451.418057,-0.905199,539.294440,-1.055763,326.655537,-1.216193,336.649252,-1.014121,284.300000,-1.224540,312.874769,-0.774489,319.848591,-1.273537,309.543447,-1.235452,224.826035,-0.887983,370.932238,-1.043234,289.278041,-1.022279,370.016720,-1.249733,304.717367,-0.929619,273.423216,-0.909752,-53.797134
0.101000,0.000000,155.910080,0.939613,158.098388,1.053467,145.629022,0.937704,165.706070,0.890627,142.659131,0.917076,137.637505,0.880452,145.736438,0.815219,136.514284,0.808512,139.590444,0.846749,142.060221,0.797367,147.898596,0.737435,124.293193,0.792610,124.455821,0.727320,149.088479,0.720199,155.140922,0.671405,156.639161,0.480491,165.454871,0.639810,180.367556,0.509699,145.027128,0.555306,148.000823,0.391211,140.190163,0.361674,151.667688,0.377793,128.834143,0.437079,137.765019,0.246669,145.296257,0.406156,133.791059,0.335690,128.936414,0.373463,128.611078,0.287759,139.172304,0.161033,134.926001,0.300409,149.316009,0.298676,132.628686,0.288121,-46.629035
0.201000,0.006910,411.471035,0.785327,922.701867,0.824066,577.677194,0.558670,651.895900,0.632933,780.830177,0.334661,474.056186,0.454960,577.196472,0.381036,498.012818,-0.111946,444.572814,0.376631,632.606707,-0.266924,413.302895,-0.111561,960.739164,0.578422,637.265618,0.797434,398.727686,0.058630,405.306757,0.238475,481.793000,-0.087198,387.788783,0.084010,431.647531,0.105774,350.696920,-0.067169,682.857754,-0.317096,519.035454,-0.239905,438.409354,-0.062017,521.371147,-0.025861,459.584204,-0.167956,371.796515,-0.401130,560.611845,-0.764789,455.324128,-0.221664,347.523684,-0.239106,316.754752,-0.560024,448.176225,-0.549424,572.181788,-0.119460,323.947335,-0.405518,-55.579514
0.302000,0.000000,221.776438,-1.716334,201.044603,-1.837962,206.617411,-1.673870,213.746753,-1.836323,214.222388,-1.936366,200.375937,-1.915981,241.742736,-1.788192,230.370745,-2.019481,213.641452,-1.981794,226.069206,-1.901579,231.072937,-2.027641,208.089389,-1.949531,274.033480,-2.089335,207.545951,-1.861661,231.432716,-2.030135,228.699614,-2.148544,205.416434,-1.998013,224.963559,-2.015745,196.069268,-2.166158,227.165228,-2.213551,182.112114,-2.203376,217.598456,-2.174294,228.867802,-2.062324,212.741126,-2.018233,224.174570,-2.373727,221.410083,-2.267335,282.807945,-2.155029,242.372726,-2.240328,203.130747,-2.270270,272.572382,-2.111628,231.052078,-2.263218,233.560273,-2.399479,-49.670727
0.402000,0.000000,118.200657,-1.248385,119.757217,-1.214910,130.064182,-1.315433,119.900417,-1.254601,109.185650,-1.250830,123.517920,-1.299212,117.155819,-1.284810,126.433674,-1.398470,121.338194,-1.395558,115.618560,-1.354928,112.591645,-1.450769,109.197857,-1.395483,120.690774,-1.579274,124.371012,-1.414397,117.099752,-1.458089,126.166100,-1.531238,118.120543,-1.626756,114.120778,-1.542961,120.675700,-1.570273,114.870389,-1.577409,130.483305,-1.672676,121.149676,-1.705782,122.977273,-1.672630,116.027522,-1.651823,113.943888,-1.697737,115.536684,-1.771777,120.155290,-1.788318,117.427889,-1.709788,120.784659,-1.663715,124.509698,-1.790642,117.502728,-1.840494,133.037697,-1.911611,-45.102028
0.502000,0.000000,134.713003,-1.152110,136.362358,-1.144104,126.179023,-1.130502,127.138001,-1.008081,140.067148,-1.146476,129.778550,-1.102532,124.725278,-1.098913,132.206657,-1.082386,111.771248,-1.103242,130.752687,-1.253780,122.222915,-1.334256,131.276704,-1.321310,116.663147,-1.283114,115.597373,-1.227199,122.927895,-1.365856,120.409895,-1.250289,103.254908,-1.375604,130.790291,-1.366510,126.232048,-1.378527,123.298829,-1.453113,116.769248,-1.338380,113.583708,-1.451091,120.129716,-1.465514,114.224651,-1.533827,104.923980,-1.534348,129.485551,-1.611578,114.592637,-1.619815,136.591253,-1.539570,123.536017,-1.524812,130.536194,-1.608132,123.565665,-1.674344,131.917622,-1.624552,-45.609490
0.603000,0.000000,144.319011,-1.629030,142.605522,-1.553827,142.198782,-1.731093,127.676511,-1.714346,150.516123,-1.734005,158.599051,-1.698856,137.293038,-1.723179,121.859471,-1.897908,147.574160,-1.731840,118.510321,-1.870984,127.396502,-1.967970,130.145696,-1.932884,128.754712,-1.803097,143.637247,-1.928919,122.127696,-1.988084,123.323816,-1.940667,145.755341,-1.933085,131.926821,-1.916653,131.735837,-1.981575,114.870770,-1.996494,116.242771,-2.072780,117.113349,-1.998601,127.720812,-2.097669,129.062544,-2.184647,126.410667,-2.187260,127.984712,-2.064746,123.230822,-2.110387,134.907047,-2.122728,147.033792,-2.166793,129.096172,-2.227568,155.396903,-2.155312,120.488976,-2.318701,-45.862971
0.703000,0.000000,109.996678,-3.090470,113.470748,-3.099806,100.977250,3.139239,116.474206,2.982013,102.084916,3.061516,106.216723,2.918777,110.976650,2.967051,96.383124,3.025104,101.583747,2.964234,105.518862,3.033011,100.418707,2.911797,116.414640,2.857154,102.162238,3.016537,107.490191,2.912814,112.457464,2.824289,102.813476,2.820794,108.050669,2.901530,105.880700,2.752932,101.032818,2.790077,113.631800,2.707643,106.187412,2.584976,114.622095,2.662053,105.796376,2.712624,106.107282,2.705903,106.834119,2.630618,110.049861,2.637627,116.326474,2.539119,120.436906,2.572896,131.957192,2.527521,114.666253,2.464332,136.900586,2.540515,119.588689,2.411462,-44.399494
0.803000,0.000000,132.601538,2.263859,125.087440,2.268396,147.412144,2.210950,134.794621,2.312245,132.078030,2.355431,130.187637,2.231775,123.084900,2.317202,131.573451,2.145324,140.845881,2.260641,143.340277,2.184239,128.375233,2.127136,130.905117,2.106261,137.352014,2.176117,136.681959,2.178296,129.976742,2.047900,137.507638,2.172771,136.878128,1.938759,133.476984,1.901498,151.477330,1.898173,156.270568,2.061513,135.063328,1.886195,150.751225,1.897400,143.275786,1.860190,151.064750,1.826808,141.524509,1.920326,152.503449,1.755580,184.363322,1.773484,146.733754,1.728426,148.411983,1.694972,141.562351,1.584494,173.623905,1.567922,155.093761,1.670434,-46.251513
0.903000,0.000000,174.927898,0.815641,168.179143,0.832045,164.153753,0.681969,173.954072,0.530049,173.370222,0.925724,162.552731,0.666807,149.376519,0.669522,159.813204,0.745952,154.899150,0.700129,164.955971,0.598568,154.539229,0.566233,162.438598,0.548884,134.598342,0.531906,162.035609,0.614773,174.849621,0.480597,146.186614,0.529462,178.370381,0.427872,145.836006,0.335535,180.720729,0.314946,166.900649,0.309051,154.046323,0.215243,168.186439,0.452155,166.807292,0.217909,157.783295,0.218019,157.363302,0.209131,145.224943,0.043254,136.630443,0.107194,135.854002,0.016793,143.178030,0.009199,172.737557,0.001502,144.371034,-0.042242,136.942703,0.060947,-47.378900
