Time,BER,Ch 00 (Mag),Ch 00 (Pha),Ch 01 (Mag),Ch 01 (Pha),Ch 02 (Mag),Ch 02 (Pha),Ch 03 (Mag),Ch 03 (Pha),Ch 04 (Mag),Ch 04 (Pha),Ch 05 (Mag),Ch 05 (Pha),Ch 06 (Mag),Ch 06 (Pha),Ch 07 (Mag),Ch 07 (Pha),Ch 08 (Mag),Ch 08 (Pha),Ch 09 (Mag),Ch 09 (Pha),Ch 10 (Mag),Ch 10 (Pha),Ch 11 (Mag),Ch 11 (Pha),Ch 12 (Mag),Ch 12 (Pha),Ch 13 (Mag),Ch 13 (Pha),Ch 14 (Mag),Ch 14 (Pha),Ch 15 (Mag),Ch 15 (Pha),Ch 16 (Mag),Ch 16 (Pha),Ch 17 (Mag),Ch 17 (Pha),Ch 18 (Mag),Ch 18 (Pha),Ch 19 (Mag),Ch 19 (Pha),Ch 20 (Mag),Ch 20 (Pha),Ch 21 (Mag),Ch 21 (Pha),Ch 22 (Mag),Ch 22 (Pha),Ch 23 (Mag),Ch 23 (Pha),Ch 24 (Mag),Ch 24 (Pha),Ch 25 (Mag),Ch 25 (Pha),Ch 26 (Mag),Ch 26 (Pha),Ch 27 (Mag),Ch 27 (Pha),Ch 28 (Mag),Ch 28 (Pha),Ch 29 (Mag),Ch 29 (Pha),Ch 30 (Mag),Ch 30 (Pha),Ch 31 (Mag),Ch 31 (Pha),RSS
0.000000,0.000000,81.501159,-1.188976,72.881699,-1.160530,75.043534,-1.121899,73.150079,-1.239402,71.417768,-1.205272,71.036915,-1.161454,77.882038,-1.233055,72.008793,-1.214465,74.575264,-1.251784,72.731089,-1.224779,70.325833,-1.252068,70.414578,-1.227401,67.658350,-1.241876,69.447500,-1.338871,66.540814,-1.248308,67.618913,-1.296193,67.276987,-1.415262,71.328931,-1.361264,68.016685,-1.366001,67.990035,-1.431264,65.864762,-1.382873,66.886531,-1.378321,74.488338,-1.383053,66.802079,-1.451946,68.134131,-1.440501,76.384384,-1.484861,63.361617,-1.486268,67.130792,-1.466910,67.573984,-1.442527,71.320997,-1.502836,72.681353,-1.530660,73.337848,-1.431005,-40.853056
0.101000,0.000000,72.645995,-1.184509,76.881256,-1.190231,71.383272,-1.224842,74.952124,-1.240117,70.854663,-1.225494,81.986729,-1.295753,74.469683,-1.280032,74.359510,-1.334095,67.692968,-1.320185,71.310439,-1.336570,70.745552,-1.396815,70.884166,-1.260560,70.957780,-1.387868,66.571232,-1.289206,68.361158,-1.466439,67.891939,-1.441517,65.866410,-1.421554,71.937445,-1.449205,70.641704,-1.483396,75.062362,-1.438794,70.121403,-1.526633,76.137074,-1.474641,68.243765,-1.518384,68.065513,-1.526206,68.958709,-1.555081,70.368989,-1.540312,70.879231,-1.538137,72.527552,-1.549814,68.912016,-1.524975,72.154283,-1.600402,68.278108,-1.550391,69.712831,-1.561437,-40.889944
0.202000,0.000000,81.007482,-1.197744,71.199863,-1.163307,79.174416,-1.200948,71.962716,-1.133741,71.640631,-1.209531,73.706076,-1.285812,73.786238,-1.245486,72.639746,-1.216668,64.936255,-1.196975,74.881477,-1.268868,75.043768,-1.303288,63.247700,-1.339519,68.911330,-1.301874,71.557675,-1.303606,70.118726,-1.354359,72.109848,-1.306679,69.059738,-1.270590,70.939063,-1.394554,63.261099,-1.374401,72.103541,-1.368573,68.623815,-1.417938,73.352491,-1.438554,70.952142,-1.424466,71.731975,-1.376638,66.932886,-1.511566,75.093283,-1.469497,74.541566,-1.515371,77.413464,-1.520026,69.072707,-1.564781,69.559882,-1.500366,71.742674,-1.563167,71.241660,-1.518038,-40.834364
0.302000,0.000000,79.696986,-1.162857,76.259197,-1.176472,80.705953,-1.291165,72.755426,-1.248156,74.400204,-1.309513,75.670598,-1.295043,73.608522,-1.204734,68.066548,-1.274837,77.926506,-1.337167,75.813013,-1.335166,72.932302,-1.323219,73.647371,-1.406815,68.307112,-1.356291,73.078721,-1.337994,70.749931,-1.382266,71.345231,-1.399583,72.184145,-1.381271,74.195262,-1.400812,69.081444,-1.360219,72.258014,-1.505795,65.679184,-1.455263,70.640507,-1.424876,73.584350,-1.517708,76.567748,-1.540235,66.079351,-1.489323,71.566803,-1.540767,75.058913,-1.514039,75.951552,-1.535257,73.036129,-1.574351,76.164374,-1.527790,74.472885,-1.592628,66.285954,-1.583676,-40.931992
0.402000,0.000000,79.709770,-1.125135,73.522256,-1.215726,70.794448,-1.204392,74.075922,-1.277599,71.007721,-1.226400,73.046201,-1.250418,70.301688,-1.227978,69.449432,-1.318812,67.703948,-1.306951,71.798756,-1.389460,75.361546,-1.341823,70.110307,-1.310149,68.829576,-1.358212,69.630012,-1.302171,69.965021,-1.364818,67.762567,-1.378066,68.713566,-1.401860,71.073616,-1.299891,67.489518,-1.439708,66.566147,-1.454520,67.064186,-1.415310,73.962837,-1.513700,72.332587,-1.465271,69.947277,-1.447124,74.138676,-1.476112,68.181182,-1.539142,67.076656,-1.462242,72.595585,-1.552417,71.994302,-1.619668,70.453391,-1.496812,73.033386,-1.505567,77.182622,-1.564240,-40.890558
0.503000,0.000000,75.202094,-1.265116,78.947545,-1.197791,78.713331,-1.261957,72.375809,-1.265905,71.793171,-1.225168,70.914770,-1.221053,70.267295,-1.181550,74.951913,-1.287104,74.406331,-1.275596,73.737458,-1.239913,73.667007,-1.387387,70.490919,-1.338601,73.234143,-1.331476,70.349592,-1.363718,77.506021,-1.281851,69.901026,-1.396222,73.158345,-1.391841,73.707105,-1.358992,73.130955,-1.359433,73.460551,-1.378844,65.576012,-1.433773,66.851852,-1.368579,71.773857,-1.467324,71.446290,-1.525994,71.690581,-1.469026,72.718665,-1.516007,72.185400,-1.493806,69.242415,-1.493721,70.539500,-1.509010,69.664194,-1.532377,75.381452,-1.564576,70.553112,-1.612095,-40.859656
0.603000,0.000000,78.094376,-1.190467,73.119462,-1.193232,70.440795,-1.127454,75.229048,-1.238453,76.883158,-1.208563,66.345944,-1.185323,67.177194,-1.231555,73.458955,-1.269108,71.283400,-1.242348,67.074330,-1.306965,73.737385,-1.306835,67.207807,-1.211712,70.779388,-1.290047,70.886990,-1.381849,68.016692,-1.384327,72.177848,-1.357865,67.860539,-1.376249,73.516822,-1.388261,73.940794,-1.463314,70.550733,-1.435421,71.592369,-1.498145,70.758622,-1.465988,68.647567,-1.522681,67.128984,-1.430820,73.070607,-1.500252,71.619445,-1.538438,71.559487,-1.573874,69.949048,-1.512760,69.260198,-1.550729,70.882348,-1.548250,72.046763,-1.593776,72.459082,-1.504153,-40.848864
0.703000,0.000000,80.592797,-3.018376,77.690358,-2.940781,68.146076,-2.783969,73.920163,-2.664237,72.653732,-2.477320,71.151502,-2.484675,72.722678,-2.296159,79.526899,-2.235951,71.665446,-2.151625,75.667736,-1.997493,73.687721,-1.986938,66.503521,-1.891377,75.832438,-1.633049,70.390009,-1.539063,66.971036,-1.514132,74.514886,-1.432621,68.470691,-1.306811,72.007716,-1.123175,67.906351,-1.042236,77.820966,-0.898257,68.222268,-0.790492,69.121538,-0.710652,68.412345,-0.568095,69.127921,-0.433883,68.086755,-0.354783,72.992862,-0.254185,75.313762,-0.119429,68.426448,0.056313,72.803754,0.124063,73.496772,0.215270,74.306492,0.232494,72.772948,0.401521,-40.893454
0.803000,0.000000,74.337596,-1.265433,74.754998,-1.184153,72.416536,-1.229349,76.828358,-1.205453,77.525916,-1.283368,79.619088,-1.265090,73.926291,-1.220297,70.563804,-1.286031,73.187593,-1.280578,77.258056,-1.275305,75.060589,-1.282814,68.145669,-1.323628,69.347564,-1.354526,74.572936,-1.392389,67.075811,-1.308821,67.231130,-1.442733,70.320037,-1.444136,69.148865,-1.427401,70.082503,-1.419446,73.195572,-1.392895,66.305636,-1.434424,72.164620,-1.456071,72.121392,-1.420869,69.591594,-1.547785,67.897041,-1.501581,67.996580,-1.464169,70.306935,-1.507897,73.753049,-1.525525,68.233549,-1.504192,66.158131,-1.514268,71.968541,-1.638036,74.636834,-1.554165,-40.873948
0.903000,0.000000,75.279464,-1.177320,76.251198,-1.139235,74.665395,-1.254499,74.760158,-1.184666,66.786773,-1.225687,74.279173,-1.257941,75.555000,-1.272931,69.025764,-1.275916,76.197192,-1.251867,70.807871,-1.249275,78.701186,-1.300027,73.009284,-1.353734,72.684904,-1.353177,67.230861,-1.326328,68.955006,-1.412536,69.946697,-1.390211,69.533826,-1.344128,69.415072,-1.390981,71.317300,-1.419919,65.850056,-1.369934,63.962916,-1.448403,71.224161,-1.412118,71.327217,-1.390903,63.877353,-1.466084,70.730364,-1.509606,72.453209,-1.492937,69.810839,-1.492882,72.797430,-1.495676,74.681156,-1.482176,72.239041,-1.601863,73.258090,-1.567141,71.156700,-1.505839,-40.750651
1.003000,0.000000,75.863888,-1.130264,81.795397,-1.196040,72.766350,-1.214710,73.040226,-1.264742,72.714557,-1.229401,72.588757,-1.243264,70.313144,-1.284301,77.150921,-1.232487,70.027591,-1.261806,70.708653,-1.271807,71.583928,-1.295470,71.110061,-1.294351,67.461721,-1.288572,68.593415,-1.351320,70.175580,-1.344412,70.718366,-1.341996,74.616823,-1.293414,69.640261,-1.505980,70.490853,-1.375854,71.402680,-1.371009,69.833164,-1.458914,73.135035,-1.494265,67.974067,-1.432640,65.482381,-1.465876,65.269790,-1.477858,68.918446,-1.542559,72.582145,-1.499807,70.468511,-1.547653,71.996565,-1.571828,68.777753,-1.553506,71.718669,-1.553631,75.717223,-1.544625,-40.869088
1.103000,0.000000,76.332351,-1.198604,80.734664,-1.314628,73.154717,-1.186111,69.908054,-1.193389,76.286146,-1.145277,70.155493,-1.221042,71.349657,-1.148502,69.545476,-1.264961,72.836662,-1.351736,70.671173,-1.250336,69.724318,-1.254042,72.775259,-1.323588,67.921164,-1.328375,70.782913,-1.323427,69.763192,-1.333690,69.700769,-1.326182,74.108100,-1.321684,67.380013,-1.390670,66.432412,-1.417933,69.897892,-1.487180,68.077587,-1.424435,69.539343,-1.497471,73.161805,-1.501629,73.812869,-1.510718,65.408382,-1.539259,68.631692,-1.502470,68.373624,-1.470865,71.550415,-1.530494,67.084139,-1.562758,73.163145,-1.489703,66.100410,-1.516845,75.502306,-1.614030,-40.807957
1.203000,0.000000,76.456144,-1.154917,81.827879,-1.233584,74.270336,-1.245480,74.803418,-1.255335,77.508598,-1.210640,69.759793,-1.290155,76.504694,-1.266725,71.868394,-1.323418,69.697355,-1.258496,72.221372,-1.393706,70.757344,-1.353352,76.833482,-1.395455,71.443896,-1.311479,72.158902,-1.380104,72.004873,-1.393334,68.047130,-1.413078,71.406355,-1.423630,73.904642,-1.438071,71.801727,-1.455021,69.679967,-1.429468,66.545446,-1.421868,73.725048,-1.422574,73.774854,-1.453906,70.587207,-1.490529,70.220055,-1.502917,68.108537,-1.568438,68.521042,-1.563186,76.851925,-1.527984,72.336313,-1.536628,70.608221,-1.569759,70.907560,-1.588850,78.133633,-1.580321,-40.871637
1.303000,0.000000,75.779820,-1.100906,73.833991,-1.190277,71.363531,-1.237118,76.003670,-1.221827,75.850031,-1.137741,68.883449,-1.226067,79.478338,-1.343113,71.768212,-1.319916,74.215535,-1.267341,69.922704,-1.324965,65.989958,-1.276474,68.451728,-1.384176,71.025012,-1.356228,74.818074,-1.370571,67.511485,-1.406478,69.078569,-1.424994,71.585958,-1.456793,66.883779,-1.383762,71.329391,-1.385652,71.730319,-1.415015,75.601224,-1.461266,68.836984,-1.424055,67.297461,-1.492996,67.294703,-1.421556,69.313225,-1.508073,74.551405,-1.486349,67.114683,-1.542711,72.491409,-1.541801,78.210404,-1.478510,67.873763,-1.503171,71.473321,-1.535953,69.651418,-1.613298,-40.869897
1.403000,0.000000,80.165552,-1.225255,73.000156,-1.193518,75.121412,-1.173163,69.041167,-1.220277,76.749471,-1.272791,72.192516,-1.260116,67.569802,-1.242803,75.895512,-1.337279,72.860556,-1.284407,73.224631,-1.314738,70.715243,-1.371435,74.030813,-1.386526,71.178533,-1.255330,71.941382,-1.342744,69.705838,-1.374511,68.201924,-1.372506,72.255474,-1.397396,67.789438,-1.363203,70.248026,-1.498597,71.227440,-1.480961,70.192517,-1.413998,75.372451,-1.467039,68.154365,-1.504164,67.093822,-1.531974,71.825234,-1.542378,65.624125,-1.483865,74.305952,-1.593928,75.042224,-1.534431,72.350889,-1.535329,70.496690,-1.584740,80.079230,-1.653689,73.046437,-1.547724,-40.854437
1.503000,0.000000,81.250395,-1.208607,73.165168,-1.247575,73.954622,-1.150309,72.898392,-1.227633,70.779433,-1.307413,76.049108,-1.218285,71.570889,-1.276869,70.311013,-1.310991,65.507538,-1.227269,71.482430,-1.291476,72.843562,-1.293187,70.751793,-1.291652,72.268382,-1.247981,69.316303,-1.338980,66.620764,-1.398316,67.005860,-1.388060,70.671195,-1.427999,70.654899,-1.354403,71.220492,-1.414998,72.368746,-1.364068,68.832537,-1.399129,71.463604,-1.471695,67.908584,-1.500245,68.298860,-1.498610,71.510021,-1.462626,71.168030,-1.424773,71.458577,-1.535719,67.401347,-1.478879,71.277355,-1.420771,72.050044,-1.556397,70.559091,-1.541288,68.825152,-1.554888,-40.875129
1.604000,0.000000,76.943528,-1.254493,81.069955,-1.177039,70.310625,-1.208556,73.353544,-1.169343,72.970363,-1.217831,70.543495,-1.277248,72.334182,-1.249701,76.070002,-1.280315,70.260407,-1.291491,78.870862,-1.261262,70.340922,-1.410163,73.134364,-1.324328,70.878779,-1.388999,70.164121,-1.407726,74.114214,-1.408378,74.278670,-1.394861,63.577265,-1.415459,71.555286,-1.411576,69.760517,-1.425948,69.685139,-1.469995,72.947093,-1.478432,67.456211,-1.496006,69.273767,-1.496925,73.853098,-1.516371,72.301006,-1.493664,74.005026,-1.442688,70.138101,-1.509079,78.587291,-1.549891,67.967627,-1.452138,70.934149,-1.544731,73.604528,-1.592169,80.026903,-1.618612,-40.940203
1.705000,0.000000,81.463249,-1.189375,77.549412,-1.205140,73.043108,-1.225388,75.954205,-1.216695,73.083765,-1.271573,70.798522,-1.206873,76.012406,-1.196732,72.088632,-1.240874,74.113797,-1.297426,70.982260,-1.260629,70.719502,-1.349034,68.667376,-1.270349,71.072466,-1.373288,71.848940,-1.361707,71.033535,-1.363250,71.800967,-1.361157,70.926547,-1.369244,65.467521,-1.358930,67.994874,-1.375370,69.808967,-1.394132,66.605713,-1.446606,72.579121,-1.441977,69.001118,-1.431920,67.768620,-1.475896,68.639694,-1.482600,76.554571,-1.486247,72.233165,-1.575671,69.211630,-1.498957,71.657573,-1.562851,71.133250,-1.505544,73.044285,-1.478245,77.985066,-1.567903,-40.838936
1.805000,0.000000,78.907268,-1.216846,76.603393,-1.246953,74.598747,-1.187085,72.821123,-1.251045,78.323836,-1.286092,73.141326,-1.335492,74.903274,-1.338557,74.982698,-1.295526,72.305117,-1.251376,67.965490,-1.330689,70.188744,-1.352014,74.124501,-1.308528,70.595082,-1.291767,70.369229,-1.409355,68.604178,-1.371706,68.926006,-1.377916,75.858810,-1.398543,72.076774,-1.472091,68.151795,-1.459835,68.975429,-1.417600,72.172171,-1.421807,66.086798,-1.435668,69.764703,-1.463605,72.844511,-1.517941,66.601741,-1.529690,73.434244,-1.570333,72.651145,-1.536911,66.788734,-1.508282,69.125270,-1.535956,71.943524,-1.568962,75.387751,-1.514920,75.925362,-1.541184,-40.898564
1.905000,0.000000,79.702387,-1.186037,73.326976,-1.147389,72.921264,-1.196422,77.687272,-1.180312,73.449857,-1.238172,72.660709,-1.278717,75.529135,-1.189678,70.742790,-1.248825,73.193548,-1.267350,72.577809,-1.316936,71.592393,-1.254414,69.855560,-1.290767,70.625664,-1.336202,76.271082,-1.305448,69.706179,-1.289856,73.854019,-1.401855,66.798137,-1.404576,71.039240,-1.358886,70.040614,-1.458003,72.201538,-1.383127,68.687172,-1.462591,74.943718,-1.472866,66.525165,-1.473019,74.790842,-1.462715,64.062415,-1.533484,68.003433,-1.458833,71.381794,-1.456799,77.643715,-1.483765,69.502413,-1.520896,71.583034,-1.466671,73.677533,-1.516538,68.520787,-1.557586,-40.881682
2.005000,0.000000,78.520308,-1.206605,74.136478,-1.214055,75.764689,-1.230510,72.031413,-1.242703,67.445574,-1.140895,73.405706,-1.236266,70.016229,-1.271761,72.852114,-1.288792,72.026516,-1.218512,73.109413,-1.269828,70.879752,-1.307748,70.928079,-1.369260,73.041383,-1.352213,70.392863,-1.349128,65.585545,-1.339792,70.925830,-1.265566,69.809956,-1.384270,74.950229,-1.429309,74.837398,-1.330384,69.255656,-1.471692,71.200677,-1.482328,70.856119,-1.473708,69.862862,-1.444501,72.509958,-1.493940,68.871482,-1.486735,67.435000,-1.525855,73.100822,-1.504497,70.250068,-1.541919,71.982241,-1.500252,70.329180,-1.562338,76.102214,-1.479749,75.685110,-1.527383,-40.898144
2.105000,0.000000,76.626998,-1.143667,72.368808,-1.146232,76.218750,-1.225669,76.415939,-1.250100,78.637142,-1.176776,73.242468,-1.237432,71.615868,-1.341591,72.259139,-1.213605,73.554850,-1.299839,73.151844,-1.278268,72.750537,-1.308041,68.288304,-1.290161,72.502460,-1.317017,68.477888,-1.357499,76.362624,-1.343760,65.819295,-1.377068,69.551393,-1.337239,76.563278,-1.334380,74.934686,-1.345221,71.424149,-1.452840,68.300017,-1.506115,72.926904,-1.411070,70.791492,-1.479783,68.527726,-1.398471,78.063725,-1.474360,72.781337,-1.471495,70.681150,-1.524039,66.077458,-1.470400,66.651611,-1.566502,71.631598,-1.526267,67.209839,-1.602444,77.262902,-1.547022,-40.941555
2.205000,0.000000,71.934508,-1.180663,82.157266,-1.107428,78.215035,-1.137341,80.527709,-1.209251,74.808541,-1.271895,73.944127,-1.293956,78.325430,-1.298288,68.441862,-1.280638,68.680693,-1.284386,74.940290,-1.271825,73.655518,-1.305045,70.193831,-1.335900,68.876503,-1.367206,66.387131,-1.376201,69.089942,-1.371576,68.438165,-1.325482,65.131000,-1.414660,70.924617,-1.353657,70.621922,-1.425938,74.837399,-1.434268,69.106242,-1.395599,69.599847,-1.413461,68.099761,-1.451847,70.768622,-1.421220,74.845157,-1.407260,67.598953,-1.539625,76.045351,-1.485331,71.438564,-1.563680,70.834392,-1.520963,70.635467,-1.529920,73.802402,-1.510973,73.676050,-1.563218,-40.947049
2.306000,0.000000,83.537191,-1.157989,73.688580,-1.198318,74.984895,-1.173365,72.507307,-1.213010,77.948453,-1.227706,69.752995,-1.245665,73.072309,-1.253784,74.005560,-1.263008,77.069578,-1.232909,73.760238,-1.311284,67.013272,-1.301222,70.370738,-1.271814,69.615858,-1.284625,75.384405,-1.373079,67.481895,-1.361678,69.524156,-1.433436,68.543521,-1.420816,69.712770,-1.334324,74.875475,-1.393279,73.901232,-1.349960,71.603381,-1.439085,69.425275,-1.438751,67.487846,-1.449154,72.071343,-1.391142,73.397662,-1.523139,72.247620,-1.447148,67.450873,-1.556442,75.670793,-1.450483,69.132032,-1.573143,71.455783,-1.509637,71.101330,-1.652952,71.673623,-1.584833,-40.886181
