Time,BER,Ch 00 (Mag),Ch 00 (Pha),Ch 01 (Mag),Ch 01 (Pha),Ch 02 (Mag),Ch 02 (Pha),Ch 03 (Mag),Ch 03 (Pha),Ch 04 (Mag),Ch 04 (Pha),Ch 05 (Mag),Ch 05 (Pha),Ch 06 (Mag),Ch 06 (Pha),Ch 07 (Mag),Ch 07 (Pha),Ch 08 (Mag),Ch 08 (Pha),Ch 09 (Mag),Ch 09 (Pha),Ch 10 (Mag),Ch 10 (Pha),Ch 11 (Mag),Ch 11 (Pha),Ch 12 (Mag),Ch 12 (Pha),Ch 13 (Mag),Ch 13 (Pha),Ch 14 (Mag),Ch 14 (Pha),Ch 15 (Mag),Ch 15 (Pha),Ch 16 (Mag),Ch 16 (Pha),Ch 17 (Mag),Ch 17 (Pha),Ch 18 (Mag),Ch 18 (Pha),Ch 19 (Mag),Ch 19 (Pha),Ch 20 (Mag),Ch 20 (Pha),Ch 21 (Mag),Ch 21 (Pha),Ch 22 (Mag),Ch 22 (Pha),Ch 23 (Mag),Ch 23 (Pha),Ch 24 (Mag),Ch 24 (Pha),Ch 25 (Mag),Ch 25 (Pha),Ch 26 (Mag),Ch 26 (Pha),Ch 27 (Mag),Ch 27 (Pha),Ch 28 (Mag),Ch 28 (Pha),Ch 29 (Mag),Ch 29 (Pha),Ch 30 (Mag),Ch 30 (Pha),Ch 31 (Mag),Ch 31 (Pha),RSS
0.000000,0.000000,90.893324,-1.257397,83.142564,-1.297755,83.927246,-1.300514,96.672796,-1.200556,85.704535,-1.295108,78.932978,-1.314490,86.482501,-1.273585,88.069033,-1.235299,79.561027,-1.251555,90.263053,-1.260962,84.525457,-1.240309,84.538167,-1.221277,81.889589,-1.252356,80.132723,-1.259800,89.428870,-1.235164,84.573984,-1.266118,84.809795,-1.200947,77.456540,-1.203320,90.130345,-1.196058,89.641906,-1.245996,92.066341,-1.173779,77.224109,-1.282969,87.495437,-1.177780,84.491004,-1.313169,86.182599,-1.238188,87.402402,-1.191254,88.415968,-1.249022,96.511060,-1.187958,90.105120,-1.258495,89.895480,-1.294402,89.735189,-1.174281,93.667160,-1.297291,-42.444550
0.100000,0.000000,88.589873,-1.248675,84.813817,-1.211544,83.132137,-1.280955,86.959659,-1.251037,81.353920,-1.247444,81.595165,-1.232289,79.331611,-1.220393,75.991360,-1.217778,83.683435,-1.247370,81.025140,-1.221431,79.219770,-1.292740,80.832134,-1.206470,82.156733,-1.195503,82.039477,-1.173206,76.957851,-1.282113,80.575120,-1.166540,82.871649,-1.280506,76.819466,-1.211239,77.846374,-1.264825,80.883847,-1.208378,82.723346,-1.212399,85.947294,-1.155091,79.732323,-1.233103,78.859472,-1.173564,87.156802,-1.245269,91.833434,-1.251899,82.864311,-1.182228,92.810242,-1.179799,77.936379,-1.232240,86.285891,-1.253414,87.706409,-1.207479,88.738295,-1.197602,-42.098389
0.200000,0.000000,87.047568,-1.504856,83.738283,-1.423791,83.297163,-1.509789,76.082008,-1.452965,80.569083,-1.462359,83.140489,-1.386561,76.669782,-1.434682,78.991468,-1.389842,77.097651,-1.389590,84.496763,-1.368215,85.932183,-1.475276,79.940584,-1.384793,76.376984,-1.424183,82.232233,-1.313887,83.430423,-1.399236,79.093149,-1.401684,78.469316,-1.409411,78.810868,-1.348029,82.963253,-1.419149,78.492077,-1.340778,78.466129,-1.372790,86.627277,-1.405670,81.378137,-1.407928,81.369219,-1.382324,81.378877,-1.313079,76.916144,-1.341346,84.405025,-1.427016,86.498751,-1.342582,79.917065,-1.370314,84.465490,-1.396688,84.174673,-1.441601,88.874266,-1.384854,-41.960918
0.300000,0.000000,85.201708,-1.732563,79.129109,-1.664028,83.407859,-1.711496,83.304282,-1.732340,87.061705,-1.610513,91.426519,-1.641424,79.714726,-1.669413,76.407054,-1.655219,85.265805,-1.735694,76.885060,-1.691018,76.435833,-1.702383,77.300440,-1.763371,85.367758,-1.754569,79.687071,-1.709508,83.705974,-1.668068,74.885923,-1.647391,82.184633,-1.589880,80.699766,-1.653826,76.538459,-1.684813,75.307143,-1.638968,84.153778,-1.697239,87.762582,-1.744520,81.111669,-1.692713,77.770089,-1.679942,83.171421,-1.620161,80.004558,-1.708630,76.787765,-1.673914,79.579128,-1.645359,78.346221,-1.626196,79.644601,-1.650717,88.868154,-1.639418,85.706866,-1.671233,-42.005438
0.400000,0.000000,75.693154,-1.905105,79.153610,-1.965728,81.168002,-1.904465,81.636833,-1.868963,78.821741,-1.870863,75.842271,-1.955862,77.683932,-1.940148,73.016555,-1.877684,73.983760,-1.852390,79.634324,-1.837676,81.461490,-1.868783,76.928706,-1.916919,72.766450,-1.922490,73.523150,-1.868265,78.173393,-1.856619,83.529447,-1.896749,74.195812,-1.875740,81.542463,-1.938866,79.205215,-1.887254,76.314918,-1.881917,81.459585,-1.955617,77.844289,-1.870955,82.208033,-1.936322,83.143340,-1.857385,78.349517,-1.780452,76.757089,-1.877065,86.112322,-1.877417,78.988552,-1.921879,82.758418,-1.883708,78.538567,-1.873492,89.475728,-1.809724,83.016995,-1.825241,-41.698652
0.500000,0.000000,75.983806,-2.398552,79.682094,-2.447682,76.728289,-2.394484,76.181472,-2.510226,71.658295,-2.412606,86.646911,-2.363891,72.935953,-2.423671,79.111471,-2.403525,77.751463,-2.416091,74.927384,-2.409867,75.073638,-2.397383,72.705430,-2.404316,77.539848,-2.402855,80.634998,-2.433110,78.986237,-2.383320,74.660171,-2.428901,73.759565,-2.398085,70.197717,-2.407736,79.372513,-2.449527,82.766261,-2.382474,75.328743,-2.468928,76.015636,-2.430665,81.125684,-2.400903,78.651798,-2.423175,78.907205,-2.474765,77.780614,-2.466152,81.357933,-2.444567,82.695332,-2.365885,72.108973,-2.457396,72.903647,-2.397640,76.794213,-2.447225,82.593670,-2.487144,-41.527384
0.600000,0.000000,92.770047,-2.778505,94.999966,-2.832330,81.017924,-2.905942,92.317396,-2.798243,88.616160,-2.760093,96.404964,-2.897283,84.329204,-2.764945,80.920456,-2.823333,80.987935,-2.734508,80.522466,-2.752546,79.644398,-2.778827,81.886446,-2.807512,84.020135,-2.892953,81.305787,-2.786844,87.698703,-2.686958,83.713552,-2.886751,85.018517,-2.816452,87.240048,-2.752795,87.313052,-2.809656,85.061273,-2.833186,82.308256,-2.852663,89.844025,-2.791489,83.428226,-2.774461,93.715868,-2.783329,79.050460,-2.781470,77.286393,-2.777092,79.932621,-2.732715,85.113347,-2.810035,92.108074,-2.781349,82.215545,-2.856778,86.036442,-2.788229,89.985108,-2.730266,-42.214333
0.700000,0.000000,106.775793,-3.105073,110.993321,-3.076323,105.505577,-3.067579,124.857622,-3.079151,105.476071,-3.041070,103.328951,-3.081948,117.634375,-3.101950,102.539344,-3.029519,97.032280,-3.134472,99.341277,-3.063286,93.226860,-3.085453,106.714492,-3.033765,113.434052,-3.055234,101.470299,-3.082832,109.730175,-3.076206,110.699960,-3.084519,101.759456,-2.988497,104.591745,-3.004599,112.480840,-3.087334,96.793601,-3.099859,96.386120,-2.909875,97.781926,-3.023541,124.142605,-3.019547,104.072774,-3.023621,94.598220,-3.100021,107.661068,-3.059679,108.113139,-2.955903,112.642486,-2.984691,103.348264,-3.071294,100.682080,-3.077360,108.600615,-3.058962,103.187126,-2.877183,-44.055276
0.800000,0.000000,192.131016,3.078248,188.386744,2.978621,244.775786,3.048365,211.157909,3.116938,176.288506,3.064633,183.572327,-3.020353,186.098296,-3.060461,182.530305,3.127694,171.417691,-3.081663,176.808835,-2.933605,197.710091,-3.121709,186.413764,3.131998,182.339161,3.064450,192.210677,2.958339,204.954120,-3.115104,198.177189,3.084357,167.544585,-3.115017,183.135768,3.001716,194.145505,3.063888,177.349999,3.007752,201.233094,-3.113267,165.480799,3.023072,188.758133,-3.003453,181.969002,3.088116,229.529716,3.127010,163.756394,3.057839,199.330153,3.049021,178.060796,-3.082658,180.983335,3.000103,196.961480,3.059567,160.517275,3.086560,185.479119,2.977863,-48.509121
0.900000,0.003021,477.535274,2.512932,619.564838,3.062255,534.089857,3.026729,868.459049,2.318862,505.299956,-3.114761,510.817223,2.769808,374.674747,2.737620,611.727869,3.083428,508.337564,2.741673,376.595040,3.127037,449.930169,2.635031,333.086799,2.958497,390.316899,2.807680,519.749040,2.844565,513.441664,2.838476,465.435214,2.995868,413.438004,2.863549,490.257689,3.091844,386.904945,2.761199,397.214486,3.031405,511.005943,2.840226,366.435235,3.076355,365.138788,2.940417,389.670886,2.747899,467.621917,2.241919,823.117257,3.024141,392.311544,2.668141,306.600975,2.507202,428.498606,3.090564,282.117472,3.004976,698.776614,2.845786,720.284816,-3.139725,-55.278696
